32
1024
['380', '484', '544', '503', '476', '801', '893', '921', '663', '350', '186', '441', '48', '430', '184', '108', '44', '54', '811', '257', '117', '464', '119', '295', '82', '535', '281', '388', '42', '172']
['776', '175', '222', '348', '345', '475', '855', '630', '376', '134', '848', '372', '481', '317', '356', '244', '677', '708', '634', '703', '36', '810', '715', '737', '718', '241', '157', '277', '42', '878']
['438', '520', '183', '168', '267', '690', '338', '608', '676', '593', '571', '587', '286', '730', '712', '927', '4', '419', '902', '201', '209', '783', '652', '433', '739', '373', '220', '889', '186', '369']
['418', '916', '60', '63', '90', '141', '457', '178', '873', '572', '487', '751', '404', '891', '575', '854', '76', '167', '221', '32', '21', '830', '38', '638', '600', '584', '529', '25', '544', '255']
['15', '213', '487', '248', '40', '667', '530', '865', '922', '256', '571', '289', '754', '31', '838', '405', '857', '87', '626', '671', '588', '235', '367', '546', '563', '147', '101', '439', '848', '158']
['808', '377', '583', '426', '504', '755', '493', '627', '725', '309', '31', '335', '137', '788', '0', '694', '747', '649', '616', '88', '494', '602', '812', '226', '279', '216', '502', '358', '430', '641']
['195', '399', '916', '320', '592', '274', '202', '640', '555', '836', '520', '326', '506', '377', '791', '914', '303', '509', '472', '786', '756', '489', '590', '591', '432', '308', '58', '856', '175', '218']
['558', '155', '584', '2', '615', '486', '765', '410', '695', '110', '373', '548', '375', '216', '394', '631', '171', '292', '496', '371', '764', '903', '228', '176', '560', '775', '1', '844', '241', '845']
['51', '310', '572', '523', '124', '169', '452', '896', '780', '657', '593', '450', '734', '309', '161', '260', '789', '389', '92', '713', '633', '346', '330', '245', '929', '700', '379', '606', '134', '203']
['614', '485', '854', '427', '273', '601', '799', '880', '490', '252', '927', '237', '732', '694', '514', '276', '212', '164', '816', '911', '291', '268', '619', '793', '30', '179', '905', '785', '244', '885']
['83', '152', '255', '551', '352', '33', '431', '860', '821', '66', '369', '39', '106', '641', '714', '173', '869', '655', '41', '809', '199', '382', '74', '628', '262', '68', '798', '884', '878', '847']
['666', '455', '141', '556', '842', '861', '239', '735', '75', '301', '690', '577', '127', '755', '397', '768', '89', '833', '585', '316', '283', '387', '322', '166', '670', '77', '852', '163', '475', '154']
['223', '472', '11', '576', '412', '585', '771', '437', '660', '92', '626', '282', '95', '748', '620', '816', '246', '662', '656', '337', '804', '22', '623', '651', '65', '496', '762', '62', '811', '41']
['265', '836', '306', '744', '294', '301', '24', '636', '568', '657', '256', '129', '112', '870', '827', '252', '553', '665', '214', '820', '47', '128', '536', '413', '150', '110', '121', '784', '350', '66']
['258', '704', '63', '27', '802', '285', '803', '497', '824', '744', '168', '340', '782', '426', '8', '770', '777', '143', '576', '829', '149', '507', '610', '270', '415', '866', '564', '395', '348', '113']
['805', '432', '707', '415', '926', '670', '582', '709', '312', '929', '563', '862', '417', '894', '527', '30', '384', '792', '698', '313', '679', '271', '618', '109', '140', '560', '492', '822', '82', '262']
['825', '308', '52', '866', '731', '77', '897', '907', '769', '700', '147', '454', '28', '133', '578', '179', '562', '144', '696', '325', '145', '879', '500', '613', '681', '775', '67', '545', '535', '68']
['91', '190', '873', '908', '196', '853', '859', '142', '422', '568', '676', '139', '512', '725', '621', '148', '182', '910', '660', '639', '923', '411', '787', '917', '312', '769', '617', '581', '376', '781']
['219', '254', '60', '684', '834', '843', '396', '823', '611', '306', '183', '393', '206', '583', '904', '381', '763', '232', '11', '234', '153', '86', '647', '659', '707', '52', '53', '706', '222', '13']
['672', '573', '90', '398', '370', '928', '743', '118', '561', '294', '267', '595', '368', '504', '661', '299', '105', '156', '412', '794', '69', '194', '678', '710', '926', '731', '515', '43', '345', '259']
['49', '482', '638', '7', '579', '874', '329', '658', '130', '413', '433', '796', '685', '226', '736', '296', '238', '191', '651', '328', '637', '767', '45', '361', '109', '613', '383', '436', '737', '442']
['668', '506', '206', '782', '368', '127', '697', '46', '512', '734', '754', '365', '445', '34', '705', '732', '151', '355', '102', '170', '23', '174', '547', '685', '717', '375', '421', '741', '48', '106']
