31
31
['921', '55', '80']
['380', '545', '254']
['57', '348', '350']
['393', '611', '277']
['325', '746', '825']
['875', '393', '277']
['189', '306', '150']
['749', '8', '926']
['672', '725', '640']
['795', '45', '210']
['681', '24', '590']
['671', '110', '623']
['133', '443', '80']
['92', '115', '129']
['346', '568', '926']
['327', '81', '926']
['861', '581', '609']
['633', '435', '210']
['477', '445', '699']
['886', '529', '659']
['318', '678', '350']
['101', '282', '469']
['957', '38', '699']
['715', '11', '456']
['586', '150']
['541', '391', '590']
['416', '100', '33']
['95', '196', '595']
['126', '79', '595']
['736', '787', '190']
['586', '190']
['654', '579', '33']
['4', '375', '595']
['578', '237', '68']
['197', '20', '233']
['902', '891', '233']
['177', '554', '640']
['891', '114', '233']
['758', '328', '469']
['660', '376', '68']
['44', '791', '623']
['445', '584', '699']
['352', '514', '277']
['504', '244', '590']
['195', '694', '645']
['83', '240', '366']
['677', '377', '33']
['282', '342', '469']
['479', '707', '675']
['457', '363', '233']
['919', '653', '366']
['700', '828', '190']
['628', '552', '623']
['941', '194', '623']
['878', '673', '350']
['586', '210']
['750', '932', '640']
['124', '415', '210']
['414', '784', '456']
['551', '438', '645']
['367', '852', '366']
['652', '796', '150']
['135', '96', '609']
['553', '664', '645']
['202', '824', '675']
['400', '101', '469']
['880', '123', '254']
['473', '184', '129']
['61', '65', '609']
['291', '69', '484']
['383', '857', '129']
['781', '537', '926']
['723', '44', '623']
['390', '299', '595']
['342', '838', '469']
['535', '269', '33']
['59', '398', '321']
['738', '280', '254']
['568', '569', '926']
['804', '308', '190']
['103', '354', '640']
['348', '389', '350']
['224', '542', '484']
['125', '283', '469']
['67', '168', '618']
['280', '573', '254']
['747', '347', '80']
['586', '659']
['324', '772', '623']
['673', '773', '350']
['240', '864', '366']
['564', '40', '590']
['689', '851', '150']
['308', '198', '190']
['136', '556', '33']
['805', '668', '618']
['526', '882', '233']
['184', '46', '129']
['38', '727', '699']
['510', '615', '254']
['146', '468', '623']
['243', '840', '350']
['260', '658', '233']
['555', '319', '618']
['231', '676', '277']
['942', '372', '825']
['171', '502', '456']
['889', '297', '825']
['523', '284', '675']
['604', '756', '618']
['802', '141', '675']
['748', '142', '277']
['586', '254']
['328', '665', '469']
['188', '374', '190']
['56', '721', '210']
['30', '487', '659']
['489', '708', '659']
['307', '457', '233']
['289', '248', '699']
['515', '157', '321']
['831', '292', '825']
['356', '399', '456']
['614', '199', '699']
['154', '793', '659']
['373', '281', '595']
['709', '149', '609']
['398', '220', '321']
['244', '524', '590']
['246', '667', '161']
['391', '504', '590']
['105', '106', '609']
['697', '60', '350']
['752', '846', '161']
['465', '871', '825']
['913', '533', '645']
['722', '661', '68']
['301', '786', '926']
['562', '313', '825']
['667', '810', '161']
['586', '595']
['817', '638', '161']
['73', '822', '210']
['107', '470', '675']
['775', '930', '456']
['724', '74', '366']
['502', '951', '456']
['923', '685', '409']
['6', '806', '618']
