100
10
['956', '852', '356', '41', '955', '754', '303', '8', '115', '648']
['724', '595', '971', '379', '588', '267', '913', '597', '452', '772']
['342', '456', '535', '247', '879', '401', '74', '432', '183', '712']
['760', '372', '179', '891', '530', '451', '164', '337', '87', '467']
['148', '70', '470', '987', '679', '950', '275', '675', '472', '922']
['920', '634', '37', '26', '938', '226', '223', '515', '731', '411']
['821', '632', '307', '208', '713', '162', '690', '181', '841', '368']
['742', '710', '116', '843', '886', '983', '54', '994', '927', '888']
['963', '856', '839', '265', '202', '323', '373', '773', '194', '734']
['621', '996', '897', '517', '302', '209', '388', '985', '977', '752']
['118', '288', '931', '584', '743', '157', '203', '281', '580', '982']
['573', '130', '718', '857', '705', '788', '930', '239', '399', '553']
['81', '274', '145', '546', '49', '250', '978', '166', '602', '322']
['459', '516', '478', '525', '836', '468', '98', '441', '298', '605']
['423', '107', '324', '329', '641', '995', '804', '151', '89', '219']
['998', '33', '150', '257', '686', '369', '16', '685', '892', '306']
['917', '555', '438', '601', '678', '958', '295', '349', '454', '904']
['185', '537', '833', '644', '375', '520', '199', '20', '494', '694']
['251', '56', '871', '109', '263', '169', '455', '360', '156', '75']
['873', '154', '331', '908', '296', '409', '890', '676', '22', '924']
['135', '86', '124', '211', '210', '790', '365', '301', '673', '88']
['659', '750', '822', '593', '503', '755', '321', '361', '215', '835']
['933', '784', '973', '92', '339', '826', '669', '559', '284', '21']
['121', '767', '624', '163', '544', '38', '443', '753', '90', '582']
['253', '449', '133', '195', '721', '846', '959', '483', '633', '136']
['78', '417', '389', '143', '380', '31', '625', '57', '338', '802']
['610', '881', '532', '909', '600', '299', '612', '954', '510', '55']
['358', '511', '775', '877', '167', '381', '803', '905', '895', '266']
['193', '611', '748', '466', '316', '725', '497', '201', '684', '965']
['314', '425', '4', '397', '416', '672', '76', '66', '805', '975']
['258', '749', '400', '863', '867', '789', '290', '533', '406', '596']
['13', '94', '490', '792', '657', '650', '437', '285', '770', '422']
['949', '628', '638', '563', '531', '335', '277', '404', '885', '43']
['139', '149', '614', '986', '238', '308', '571', '543', '174', '153']
['7', '765', '318', '993', '453', '170', '651', '410', '709', '583']
['969', '319', '768', '294', '656', '391', '823', '774', '947', '359']
['198', '64', '14', '499', '426', '488', '719', '29', '695', '444']
['224', '547', '699', '542', '837', '200', '348', '514', '104', '997']
['717', '485', '827', '916', '393', '683', '567', '18', '668', '127']
['128', '311', '711', '332', '618', '608', '779', '313', '747', '569']
