200
5
['447', '35', '18', '137', '758']
['995', '534', '491', '326', '93']
['335', '785', '854', '326', '534']
['771', '756', '150', '441', '922']
['429', '199', '599', '244', '382']
['672', '117', '333', '350', '526']
['831', '521', '6', '369', '755']
['397', '612', '670', '533', '246']
['0', '540', '236', '563', '556']
['474', '404', '128', '799', '951']
['578', '301', '742', '711', '581']
['283', '482', '11', '880', '676']
['842', '918', '210', '543', '659']
['239', '566', '581', '761', '807']
['671', '191', '665', '634', '900']
['54', '563', '783', '981', '166']
['961', '417', '937', '183', '945']
['224', '4', '485', '920', '160']
['995', '974', '789', '387', '778']
['140', '847', '275', '798', '81']
['516', '691', '20', '265', '354']
['372', '235', '456', '396', '701']
['638', '965', '12', '792', '364']
['465', '910', '938', '643', '663']
['618', '171', '378', '539', '735']
['60', '317', '558', '785', '774']
['864', '506', '942', '786', '476']
['423', '919', '772', '521', '395']
['890', '13', '180', '583', '593']
['871', '183', '539', '211', '647']
['493', '758', '790', '703', '640']
['11', '206', '33', '107', '98']
['50', '271', '347', '295', '535']
['135', '628', '213', '80', '448']
['681', '630', '111', '894', '776']
['665', '488', '106', '857', '793']
['50', '219', '271', '196', '464']
['629', '907', '345', '740', '212']
['855', '37', '466', '633', '523']
['913', '618', '162', '686', '13']
['642', '371', '485', '635', '624']
['542', '968', '310', '162', '169']
['909', '270', '702', '147', '281']
['710', '60', '298', '130', '210']
['985', '402', '162', '920', '396']
['201', '127', '998', '121', '895']
['304', '982', '345', '862', '591']
['154', '123', '84', '522', '990']
['836', '281', '301', '289', '905']
['398', '705', '189', '389', '515']
['365', '791', '43', '375', '293']
['900', '671', '489', '450', '918']
['76', '417', '475', '259', '112']
['539', '457', '845', '850', '378']
['190', '583', '529', '309', '896']
['645', '333', '115', '441', '922']
['161', '73', '439', '694', '858']
['441', '285', '903', '845', '645']
['220', '562', '373', '421', '837']
['378', '184', '636', '73', '787']
['410', '784', '884', '754', '146']
['193', '43', '136', '822', '333']
['845', '922', '771', '518', '700']
['460', '481', '14', '964', '619']
['219', '661', '426', '27', '271']
['630', '562', '681', '155', '754']
['753', '974', '726', '778', '961']
['9', '251', '87', '895', '202']
['29', '314', '501', '357', '647']
['328', '398', '471', '515', '703']
['868', '928', '654', '551', '735']
['886', '139', '120', '729', '637']
['131', '856', '500', '323', '64']
['288', '846', '140', '376', '459']
['457', '644', '322', '248', '102']
['749', '757', '85', '495', '713']
['641', '383', '343', '91', '185']
['258', '682', '801', '496', '211']
['152', '570', '209', '689', '556']
['609', '184', '744', '694', '73']
['619', '298', '810', '123', '710']
['173', '527', '340', '133', '716']
['261', '994', '433', '559', '654']
['450', '460', '802', '29', '745']
['463', '338', '153', '332', '109']
['867', '145', '90', '876', '609']
['438', '290', '47', '520', '773']
['167', '827', '594', '414', '474']
['944', '844', '73', '739', '64']
['744', '56', '242', '801', '969']
['541', '865', '800', '432', '398']
['897', '836', '845', '500', '406']
['657', '244', '700', '429', '115']
['236', '570', '463', '209', '142']
['947', '656', '285', '449', '821']
['300', '467', '946', '593', '766']
['289', '51', '465', '910', '555']
['547', '859', '549', '788', '650']
['227', '987', '615', '22', '866']
['664', '264', '354', '186', '831']
['344', '715', '861', '58', '77']
['133', '215', '290', '655', '683']
['60', '651', '307', '118', '660']
['697', '605', '459', '15', '678']
['963', '998', '680', '375', '241']
['627', '828', '21', '475', '187']
['559', '242', '921', '350', '1']
['131', '856', '843', '952', '114']
['739', '772', '940', '728', '10']
['235', '490', '517', '48', '731']
['802', '310', '70', '311', '228']
['674', '818', '706', '435', '143']
