31
57
['130', '437', '441']
['128', '478', '283']
['478', '465', '426']
['133', '465', '441']
['441', '344', '437']
['401', '441', '465']
['141', '150', '206']
['206', '141', '478']
['169', '401', '332']
['307', '135', '206']
['284', '465', '344']
['457', '307', '332']
['426', '190', '490']
['426', '130', '133']
['332', '321', '283']
['321', '457', '479']
['321', '141', '190']
['465', '169', '283']
['281', '190', '457']
['128', '130', '307']
['401', '426', '169']
['307', '437', '387']
['190', '169', '344']
['326', '283', '133']
['326', '59', '190']
['401', '293', '141']
['281', '401', '293']
['190', '282', '344']
['478', '441', '141']
['59', '426', '465']
['130', '206', '281']
['437', '135', '282']
['387', '282', '321']
['479', '437', '326']
['59', '437', '283']
['169', '128', '293']
['344', '307', '465']
['387', '141', '284']
['150', '133', '437']
['293', '283', '206']
['307', '426', '282']
['479', '150', '426']
['344', '59', '150']
['426', '59', '150']
['281', '307', '190']
['221', '441', '190']
['437', '344', '206']
['478', '387', '479']
['332', '387', '281']
['133', '457', '284']
['344', '128', '284']
['321', '326', '141']
['281', '437', '150']
['283', '332', '465']
['437', '457', '479']
['307', '293', '190']
['426', '283', '401']
['387', '490', '479']
['135', '190', '150']
['59', '293', '282']
['141', '321', '59']
['441', '332', '128']
['332', '457', '130']
['326', '135', '479']
['128', '307', '478']
['344', '59', '281']
['190', '479', '321']
['457', '133', '141']
['307', '293', '401']
['490', '293', '128']
['150', '344', '457']
['150', '326', '426']
['150', '441', '479']
['441', '293', '59']
['150', '281', '59']
['190', '490', '307']
['282', '307', '426']
['281', '293', '190']
['293', '387', '332']
['326', '169', '190']
['59', '457', '478']
['293', '190', '387']
['437', '332', '344']
['465', '401', '150']
['190', '284', '326']
['190', '332', '321']
['479', '344', '332']
['133', '59', '490']
['426', '169', '293']
['321', '326', '387']
['437', '479', '441']
['479', '221', '150']
['141', '457', '190']
['282', '437', '387']
['387', '479', '293']
['284', '441', '130']
['221', '479', '332']
['133', '284', '457']
['135', '293', '221']
['141', '332', '478']
['332', '401', '221']
['332', '130', '206']
['283', '135', '169']
['401', '326', '221']
['283', '344', '133']
['282', '221', '478']
['401', '150', '437']
['441', '169', '190']
['478', '321', '465']
['479', '457', '437']
['221', '478', '387']
['344', '465', '206']
['401', '321', '441']
['478', '441', '332']
['169', '150', '465']
['190', '135', '130']
['221', '169', '190']
['307', '150', '457']
['490', '135', '281']
['133', '479', '281']
['437', '332', '479']
['284', '307', '133']
['321', '479', '387']
['59', '283', '437']
['282', '206', '441']
['437', '457', '401']
['130', '326', '332']
['128', '479', '206']
['479', '441', '150']
['332', '169', '326']
['190', '437', '281']
['283', '282', '130']
['490', '321', '150']
['190', '281', '321']
['332', '387', '426']
['141', '135', '169']
['479', '437', '344']
['401', '190', '133']
['437', '283', '387']
['326', '307', '135']
['169', '293', '332']
['321', '426', '457']
['283', '490', '130']
['321', '150', '465']
['479', '150', '59']
['293', '426', '221']
['457', '141', '59']
['332', '441', '401']
['206', '457', '490']
['150', '190', '169']
['293', '490', '135']
['478', '133', '169']
['150', '307', '190']
['387', '321', '284']
['128', '282', '130']
['293', '479', '130']
['479', '206', '465']
['128', '307', '457']
['387', '150', '321']
['326', '128', '401']
['457', '401', '190']
['206', '133', '284']
['135', '283', '59']
['479', '321', '441']
['206', '150', '479']
['332', '221', '465']
['344', '59', '426']
['457', '283', '190']
['221', '478', '437']
['426', '387', '284']
['206', '465', '332']
['321', '190', '293']
['307', '321', '130']
['332', '441', '221']
['130', '401', '479']
['150', '293', '141']
['150', '478', '344']
['150', '490', '133']
['307', '401', '437']
['401', '221', '293']
['321', '479', '332']
['490', '307', '437']
['206', '135', '128']
['307', '441', '401']
['141', '478', '282']
['221', '206', '169']
['321', '169', '293']
['457', '332', '150']
['293', '190', '490']
['281', '426', '332']
['284', '465', '490']
['490', '478', '326']
['59', '490', '130']
['437', '490', '426']
['490', '437', '426']
['326', '283', '307']
['465', '326', '283']
['465', '128', '490']
['135', '401', '332']
['284', '282', '457']
['465', '128', '326']
['478', '441', '465']
['150', '441', '426']
['283', '281', '344']
['59', '344', '206']
['133', '457', '169']
['130', '284', '326']
['401', '283', '133']
['128', '437', '59']
['128', '130', '141']
['128', '401', '426']
['441', '150', '332']
['221', '133', '59']
['281', '426', '133']
['457', '387', '282']
['281', '321', '307']
['307', '478', '457']
['426', '490', '326']
['387', '437', '169']
['441', '128', '190']
['457', '293', '478']
['133', '332', '326']
['283', '490', '426']
['283', '332', '478']
['465', '190', '478']
['441', '457', '281']
['457', '426', '150']
['284', '283', '141']
['141', '190', '135']
['169', '135', '284']
['344', '190', '457']
['190', '457', '135']
['130', '441', '307']
['283', '282', '478']
['284', '479', '457']
['478', '401', '281']
['128', '332', '190']
['221', '190', '141']
['135', '457', '326']
['426', '282', '457']
['128', '169', '130']
['282', '479', '478']
['283', '59', '401']
['457', '282', '190']
['426', '478', '441']
['478', '150', '59']
['457', '293', '321']
['401', '130', '321']
['135', '141', '293']
['465', '321', '130']
['457', '133', '332']
['387', '169', '150']
['293', '284', '437']
['344', '457', '437']
['135', '283', '457']
['281', '150', '128']
['128', '133', '293']
['190', '401', '332']
['190', '441', '283']
['59', '437', '401']
['281', '169', '490']
['141', '332', '426']
['281', '150', '190']
['321', '221', '457']
['221', '284', '307']
['130', '141', '479']
['284', '281', '321']
['128', '307', '387']
['441', '457', '401']
['284', '344', '282']
['307', '59', '293']
['150', '141', '284']
['465', '387', '326']
['169', '457', '437']
['283', '479', '332']
['190', '326', '401']
['426', '59', '457']
['478', '344', '490']
['457', '59', '190']
['387', '293', '437']
['135', '307', '457']
['457', '426', '133']
['293', '457', '282']
['128', '169', '344']
['59', '478', '190']
['293', '465', '387']
['59', '133', '437']
['221', '169', '59']
['141', '387', '293']
['321', '284', '59']
['128', '441', '284']
['281', '437', '401']
['190', '221', '128']
['479', '130', '490']
['128', '479', '437']
['321', '130', '465']
['133', '437', '130']
['130', '206', '190']
['293', '282', '465']
['293', '141', '437']
['169', '283', '426']
['281', '401', '437']
['282', '307', '401']
['130', '206', '141']
['221', '141', '457']
['283', '387', '59']
['401', '344', '284']
['479', '169', '321']
['441', '141', '321']
['321', '206', '141']
['190', '457', '326']
['135', '150', '321']
['293', '130', '321']
['282', '465', '441']
['490', '321', '135']
['135', '344', '332']
['281', '332', '284']
['206', '457', '284']
['282', '426', '321']
['141', '281', '321']
['284', '387', '282']
['332', '190', '133']
['133', '281', '190']
['206', '130', '133']
['282', '59', '169']
['293', '426', '221']
['130', '150', '426']
['437', '478', '221']
['426', '437', '307']
['282', '128', '441']
['479', '321', '206']
['441', '135', '344']
['441', '190', '130']
['141', '457', '321']
['206', '221', '59']
['59', '221', '307']
['326', '387', '401']
['332', '59', '206']
['150', '221', '401']
['206', '437', '141']
['284', '401', '221']
['130', '344', '135']
['321', '387', '465']
['478', '437', '326']
['128', '150', '441']
['59', '457', '221']
['284', '130', '221']
['437', '141', '326']
['133', '332', '282']
['437', '130', '490']
['437', '59', '206']
['457', '437', '332']
['281', '221', '293']
['282', '141', '284']
['293', '387', '135']
['441', '401', '284']
['133', '326', '457']
['401', '479', '326']
