9
60
['52', '332']
['145', '316']
['110', '190']
['152', '165']
['190', '246']
['123', '356']
['71', '252']
['74', '288']
['146', '213']
['128', '222']
['6', '292']
['47', '119']
['71', '141']
['20', '75']
['40', '308']
['43', '346']
['28', '320']
['19', '200']
['130', '272']
['55', '100']
['41', '219']
['221', '337']
['118', '278']
['66', '245']
['265', '328']
['70', '94']
['147', '185']
['281', '328']
['173', '351']
['104', '122']
['219', '347']
['156', '168']
['102', '222']
['121', '327']
['185', '328']
['103', '192']
['107', '261']
['127', '179']
['21', '360']
['24', '132']
['134', '185']
['269', '297']
['128', '354']
['256', '343']
['92', '230']
['3', '152']
['97', '213']
['296', '345']
['249', '351']
['69', '135']
['74', '239']
['77', '199']
['99', '253']
['27', '72']
['117', '139']
['85', '263']
['199', '259']
['95', '265']
['207', '323']
['6', '92']
['82', '165']
['174', '301']
['111', '137']
['262', '304']
['184', '262']
['113', '160']
['8', '212']
['11', '65']
['92', '295']
['37', '87']
['100', '252']
['121', '337']
['124', '234']
['197', '236']
['126', '194']
['56', '122']
['4', '311']
['63', '130']
['241', '328']
['134', '171']
['247', '342']
['49', '190']
['113', '345']
['27', '169']
['320', '349']
['71', '224']
['168', '342']
['227', '318']
['84', '157']
['178', '307']
['58', '166']
['216', '327']
['1', '155']
['54', '346']
['97', '306']
['12', '317']
['163', '356']
['18', '84']
['92', '243']
['205', '300']
['25', '190']
['44', '110']
['210', '277']
['139', '332']
['182', '290']
['114', '258']
['24', '113']
['137', '201']
['138', '217']
['97', '128']
['65', '127']
['109', '142']
['260', '347']
['122', '235']
['68', '99']
['13', '275']
['4', '157']
['61', '92']
['192', '346']
['140', '333']
['14', '338']
['242', '326']
['179', '331']
['90', '306']
['36', '298']
['182', '212']
['76', '308']
['165', '292']
['24', '231']
['46', '210']
['159', '172']
['260', '322']
['195', '216']
['55', '177']
['185', '261']
['257', '301']
['95', '197']
['33', '262']
['35', '189']
['142', '270']
['199', '220']
['165', '348']
['18', '159']
['176', '266']
['72', '331']
['86', '289']
['18', '65']
['294', '329']
['81', '284']
['279', '337']
['123', '300']
['73', '106']
['41', '113']
['22', '61']
['82', '232']
['245', '300']
['175', '218']
['71', '341']
['149', '353']
['63', '175']
['174', '347']
['68', '186']
['15', '264']
['230', '329']
['69', '197']
['198', '294']
['96', '146']
['4', '251']
['264', '328']
['33', '234']
['34', '216']
['70', '305']
['238', '360']
['59', '192']
['228', '339']
['40', '190']
['204', '287']
['105', '358']
['88', '170']
['2', '230']
['116', '181']
['73', '139']
['54', '103']
['132', '354']
['152', '235']
['120', '287']
['31', '349']
['81', '212']
['155', '231']
['16', '303']
['184', '224']
['21', '141']
['204', '278']
['62', '193']
['139', '254']
['15', '213']
['253', '319']
['187', '295']
['101', '288']
['47', '228']
['32', '131']
['305', '347']
['142', '200']
['54', '126']
['117', '352']
['87', '297']
['154', '198']
['63', '256']
['66', '100']
['33', '290']
['240', '319']
['60', '183']
['243', '337']
['23', '61']
['83', '270']
['49', '117']
['72', '210']
['17', '140']
['1', '202']
['22', '255']
['209', '306']
['301', '332']
['49', '307']
['126', '291']
['142', '211']
['91', '335']
['92', '188']
['57', '134']
['111', '319']
['153', '237']
['47', '82']
['129', '223']
['64', '335']
['121', '274']
['108', '179']
['2', '320']
['225', '316']
['168', '247']
['24', '284']
['45', '250']
['122', '169']
['306', '349']
['270', '346']
['142', '218']
['95', '158']
['8', '154']
['120', '308']
['249', '298']
['124', '177']
['1', '314']
['78', '237']
['133', '179']
['154', '287']
['208', '311']
['13', '232']
['179', '269']
['262', '338']
['66', '233']
['162', '350']
['91', '147']
['54', '261']
['3', '191']
['187', '330']
['169', '240']
['115', '281']
['73', '167']
['111', '333']
['55', '224']
['71', '303']
['271', '290']
['186', '285']
['26', '348']
['9', '316']
['261', '333']
['59', '284']
['116', '144']
['92', '348']
['57', '153']
['188', '290']
['153', '192']
['103', '124']
['13', '340']
['26', '308']
['245', '283']
['67', '106']
['107', '195']
['155', '258']
['66', '270']
['109', '183']
['111', '226']
['116', '159']
['5', '194']
['42', '89']
['225', '344']
['118', '279']
['246', '344']
['250', '320']
['87', '253']
['14', '82']
['143', '191']
['159', '197']
['90', '131']
['144', '221']
['311', '323']
['22', '146']
['152', '173']
['152', '354']
['116', '297']
['170', '308']
['267', '281']
['251', '291']
['146', '205']
['56', '307']
['202', '318']
['75', '315']
['41', '178']
['172', '297']
['239', '259']
['190', '278']
['34', '313']
['91', '264']
['291', '346']
['39', '119']
['115', '190']
['43', '112']
['280', '350']
['249', '350']
['122', '212']
['35', '266']
['146', '196']
['151', '181']
['191', '281']
['17', '49']
['77', '87']
['60', '241']
['39', '341']
['5', '69']
['44', '347']
['174', '306']
['105', '150']
['194', '305']
['188', '343']
['99', '148']
['28', '136']
['12', '82']
['75', '344']
['149', '210']
['81', '132']
['45', '353']
['189', '289']
['214', '299']
['216', '321']
['108', '311']
['114', '352']
['62', '128']
['265', '354']
['254', '317']
['93', '225']
['115', '140']
['173', '329']
['305', '356']
['310', '354']
['113', '297']
['173', '218']
['178', '304']
['125', '236']
['34', '45']
['76', '125']
['317', '357']
['136', '186']
['228', '256']
['46', '267']
['30', '65']
['31', '93']
['89', '254']
['144', '170']
['218', '282']
['115', '347']
['42', '204']
['235', '248']
['96', '247']
['22', '190']
['99', '130']
['9', '219']
['119', '272']
['63', '104']
['194', '201']
['30', '355']
['178', '344']
['126', '354']
['238', '333']
['18', '170']
['114', '259']
['6', '70']
['139', '220']
['308', '359']
['237', '344']
['112', '324']
['115', '154']
['8', '202']
['81', '289']
['62', '285']
['102', '355']
['92', '269']
['130', '238']
['208', '359']
['7', '131']
['164', '324']
['312', '325']
['93', '298']
['242', '327']
['17', '174']
['94', '347']
['205', '332']
['97', '323']
['43', '196']
['247', '316']
['175', '309']
['87', '151']
['53', '99']
['151', '300']
['7', '107']
['81', '282']
['230', '303']
['123', '227']
['16', '113']
['99', '330']
['11', '253']
