20
25
['18', '44', '74', '99', '102', '135', '171', '193', '219', '230', '268', '281', '315', '348', '352', '392', '401', '425', '467', '490']
['3', '32', '67', '98', '114', '134', '161', '186', '212', '236', '255', '284', '317', '334', '368', '397', '412', '433', '466', '494']
['6', '45', '50', '94', '108', '144', '164', '192', '204', '226', '260', '288', '323', '347', '359', '389', '415', '430', '460', '480']
['24', '26', '59', '92', '118', '140', '155', '177', '209', '232', '273', '295', '320', '337', '350', '375', '405', '449', '450', '493']
['5', '30', '73', '99', '117', '141', '166', '184', '201', '238', '257', '293', '307', '340', '369', '382', '422', '448', '460', '485']
['9', '39', '50', '83', '106', '146', '150', '176', '218', '243', '268', '292', '323', '345', '367', '384', '400', '434', '465', '482']
['4', '46', '50', '92', '118', '131', '172', '183', '223', '243', '252', '289', '311', '343', '365', '381', '420', '445', '473', '499']
['8', '42', '52', '85', '106', '140', '167', '180', '215', '231', '267', '286', '306', '340', '372', '389', '403', '426', '460', '493']
['17', '31', '61', '84', '105', '129', '170', '185', '207', '238', '253', '292', '315', '347', '350', '382', '421', '425', '456', '495']
['17', '27', '70', '77', '105', '149', '160', '184', '223', '244', '260', '279', '312', '326', '351', '395', '421', '449', '450', '481']
['13', '40', '56', '77', '117', '143', '163', '184', '215', '240', '260', '280', '301', '331', '363', '377', '412', '440', '453', '475']
['19', '43', '64', '95', '111', '147', '156', '182', '210', '241', '256', '279', '312', '332', '352', '387', '409', '426', '470', '490']
['11', '26', '69', '81', '118', '142', '161', '197', '222', '228', '259', '297', '306', '331', '357', '377', '419', '448', '462', '492']
['15', '45', '65', '77', '117', '137', '165', '194', '219', '225', '266', '294', '320', '329', '374', '392', '411', '445', '471', '496']
['9', '26', '68', '84', '102', '138', '171', '181', '201', '248', '258', '289', '313', '344', '372', '384', '409', '437', '468', '486']
['10', '30', '62', '78', '117', '132', '166', '196', '202', '245', '266', '293', '324', '346', '351', '384', '407', '430', '451', '488']
['20', '27', '56', '77', '115', '149', '157', '190', '224', '244', '264', '296', '320', '347', '366', '395', '419', '440', '461', '475']
['15', '40', '50', '85', '117', '129', '160', '194', '214', '245', '268', '277', '308', '346', '369', '389', '419', '431', '458', '479']
['14', '39', '57', '90', '118', '145', '154', '178', '216', '239', '251', '285', '303', '336', '365', '395', '421', '448', '456', '478']
['17', '42', '58', '86', '121', '125', '174', '175', '207', '233', '264', '285', '303', '334', '367', '388', '416', '447', '465', '492']
['18', '28', '50', '84', '109', '136', '167', '198', '212', '243', '273', '293', '320', '342', '367', '398', '417', '428', '473', '482']
['10', '33', '72', '93', '106', '141', '156', '192', '212', '239', '273', '292', '309', '341', '363', '389', '407', '436', '468', '495']
['9', '44', '74', '97', '104', '135', '164', '197', '206', '229', '253', '275', '323', '340', '364', '395', '414', '447', '468', '485']
['24', '40', '70', '78', '110', '127', '163', '178', '206', '236', '254', '291', '307', '327', '357', '397', '423', '432', '453', '488']
['22', '31', '57', '90', '109', '143', '151', '178', '200', '241', '254', '284', '317', '343', '357', '383', '422', '444', '457', '487']
['24', '25', '55', '82', '100', '142', '169', '194', '210', '234', '256', '294', '324', '346', '351', '398', '409', '446', '470', '479']
['21', '34', '68', '91', '119', '142', '162', '189', '205', '237', '265', '279', '315', '335', '358', '381', '418', '432', '465', '483']
['13', '30', '59', '76', '124', '149', '172', '189', '204', '243', '267', '293', '300', '329', '361', '378', '402', '430', '466', '492']
['19', '34', '59', '78', '109', '142', '163', '180', '220', '244', '256', '278', '324', '349', '373', '398', '403', '430', '464', '488']
