20
20
['a198', 'a367', 'a241', 'a17', 'a164', 'a201']
['a106', 'a367', 'a188', 'a110', 'a290', 'a40']
['a174', 'a292', 'a80', 'a344', 'a26', 'a339']
['a274', 'a22', 'a36', 'a77', 'a70', 'a338']
['a329', 'a340', 'a188', 'a310', 'a393', 'a334']
['a93', 'a197', 'a64', 'a120', 'a111', 'a90']
['a181', 'a189', 'a230', 'a333', 'a11', 'a177']
['a97', 'a303', 'a86', 'a308', 'a0', 'a270']
['a235', 'a239', 'a19', 'a170', 'a52', 'a169']
['a265', 'a137', 'a1', 'a107', 'a399', 'a115']
['a120', 'a169', 'a165', 'a269', 'a340', 'a4']
['a4', 'a8', 'a268', 'a99', 'a289', 'a120']
['a142', 'a129', 'a210', 'a181', 'a124', 'a62']
['a300', 'a18', 'a382', 'a217', 'a207', 'a309']
['a343', 'a53', 'a42', 'a22', 'a65', 'a171']
['a174', 'a239', 'a221', 'a172', 'a265', 'a78']
['a167', 'a360', 'a231', 'a155', 'a89', 'a138']
['a275', 'a207', 'a46', 'a200', 'a306', 'a174']
['a294', 'a0', 'a344', 'a372', 'a98', 'a214']
['a237', 'a55', 'a355', 'a277', 'a274', 'a182']
['a202', 'a181', 'a160', 'a289', 'a70', 'a56']
['a39', 'a108', 'a245', 'a26', 'a47', 'a206']
['a107', 'a374', 'a269', 'a186', 'a241', 'a139']
['a137', 'a118', 'a142', 'a184', 'a90', 'a84']
['a276', 'a117', 'a243', 'a12', 'a199', 'a91']
['a216', 'a379', 'a164', 'a81', 'a156', 'a170']
['a322', 'a163', 'a300', 'a50', 'a103', 'a51']
['a177', 'a129', 'a21', 'a6', 'a23', 'a317']
['a156', 'a124', 'a244', 'a82', 'a44', 'a181']
['a135', 'a77', 'a172', 'a61', 'a113', 'a90']
