13
30
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'John']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'William']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'James']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Charles']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'George']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Frank']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Joseph']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Thomas']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Henry']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Robert']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Edward']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Harry']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Walter']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Arthur']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Fred']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Albert']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Samuel']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'David']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Louis']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Joe']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Charlie']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Clarence']
['Peter', 'Edgar', 'Milton', 'Lester', 'Claud', 'Harley', 'Emanuel', 'Bruce', 'Green', 'Judson', 'King', 'Wayne', 'Richard']
