20
25
['ZRO', 'CRF']
['TUK', 'JMO']
['RBJ', 'TQM']
['HPV', 'LHD']
['NDB', 'LLX']
['PAU', 'GGP']
['WGY', 'BZI']
['FSW', 'ZCF']
['LXJ', 'XXQ']
['PME', 'WJS']
['APD', 'GXJ']
['YTQ', 'ZPA']
['GYM', 'LWA']
['WHJ', 'MJV']
['YYG', 'OVZ']
['QYA', 'BCW']
['POJ', 'SCK']
['IAM', 'YAR']
['IUE', 'WKY']
['KVY', 'JVR']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'TUK']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'JMO']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'RBJ']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'TQM']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'HPV']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'LHD']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'NDB']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'LLX']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'PAU']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'GGP']
['TMR', 'OXU', 'SUQ', 'QTJ', 'WED', 'RYE', 'KNO', 'NQL', 'HUN', 'HGF', 'VWX', 'GPH', 'CHA', 'YLS', 'VZX', 'VAC', 'SGO', 'QFE', 'UNW', 'HQB', 'BHL', 'EOF', 'FKU', 'WGY']
