100
400
['65', '384', '337', '376', '444']
['261', '209', '489', '213', '394', '222', '93', '419', '291', '27', '197', '15', '379', '223', '11', '95', '262', '251', '451', '343']
['208', '118', '109', '228', '317', '80', '107', '400', '290', '271', '212', '347', '450', '462', '375', '388', '325', '296', '232', '90']
['259', '446', '439', '276', '424', '195', '358', '431', '13', '448', '478', '378', '81', '150', '38', '315', '338', '307', '467', '109']
['144', '459', '342', '132', '466', '496', '240', '462', '225', '362', '69', '336', '17', '97', '75', '102', '244', '497', '206', '353']
['444', '464', '263', '264', '163', '410', '220', '42', '40', '134', '333', '112', '468', '204', '285', '148', '97', '326', '127', '9']
['312', '332', '285', '81', '111', '406', '269', '446', '90', '398', '320', '129', '181', '145', '118', '104', '363', '213', '274', '243']
['406', '413', '394', '289', '71', '51', '44', '121', '205', '108', '468', '162', '362', '111', '66', '238', '87', '206', '395', '174']
['65', '279', '476', '413', '240', '206', '113', '67', '87', '5', '384', '73', '227', '368', '213', '252', '312', '244', '276', '493']
['378', '71', '389', '280', '485', '133', '237', '380', '135', '449', '437', '58', '370', '12', '445', '169', '221', '344', '10', '186']
['388', '263', '214', '44', '477', '147', '382', '91', '373', '360', '345', '275', '216', '38', '386', '235', '130', '284', '239', '159']
['313', '453', '30', '95', '407', '206', '492', '380', '434', '120', '72', '26', '49', '71', '469', '207', '375', '119', '29', '328']
['274', '205', '92', '130', '277', '246', '296', '124', '6', '304', '312', '202', '408', '472', '163', '200', '79', '396', '234', '468']
['187', '494', '76', '486', '353', '200', '445', '295', '430', '32', '278', '116', '287', '168', '337', '327', '359', '400', '456', '366']
['412', '143', '456', '427', '111', '239', '137', '7', '25', '307', '312', '20', '313', '132', '147', '252', '478', '356', '176', '369']
['460', '479', '301', '357', '400', '103', '342', '188', '240', '453', '282', '126', '380', '134', '392', '371', '92', '112', '208', '322']
['336', '78', '321', '145', '349', '12', '13', '275', '124', '161', '54', '430', '200', '427', '74', '307', '186', '432', '353', '344']
['213', '485', '232', '258', '97', '443', '445', '54', '273', '140', '452', '3', '278', '417', '89', '235', '12', '336', '86', '237']
['244', '433', '220', '144', '19', '394', '342', '368', '369', '38', '429', '212', '490', '24', '129', '69', '259', '119', '408', '190']
['43', '499', '450', '359', '134', '116', '13', '119', '250', '81', '384', '55', '114', '399', '165', '192', '72', '346', '80', '154']
