100
10
['CD', 'JO', 'DJ', 'OB', 'EX', 'LN', 'RK', 'QL', 'PY', 'GI']
['KQ', 'KB', 'I', 'KV', 'ST', 'MK', 'LG', 'QL', 'NX', 'NS']
['MO', 'HB', 'CQ', 'JF', 'BL', 'BM', 'ON', 'OI', 'RS', 'NV']
['X', 'MY', 'BE', 'OG', 'LI', 'DK', 'LN', 'Q', 'GJ', 'CJ']
['KQ', 'HC', 'HY', 'RN', 'G', 'KI', 'DS', 'MC', 'HU', 'MV']
['HZ', 'MX', 'DP', 'MB', 'QX', 'QM', 'IQ', 'NY', 'U', 'MD']
['CL', 'HH', 'BV', 'IQ', 'FU', 'BE', 'OB', 'RM', 'JW', 'GW']
['HM', 'DE', 'SG', 'IK', 'LA', 'OK', 'ML', 'PK', 'PC', 'MD']
['EA', 'EB', 'RA', 'FU', 'JP', 'Y', 'GC', 'JA', 'MH', 'PK']
['BR', 'SP', 'HC', 'KZ', 'I', 'IU', 'RM', 'CI', 'DS', 'RF']
['MQ', 'EU', 'MY', 'LD', 'NW', 'PR', 'FS', 'EI', 'OP', 'HX']
['OS', 'GQ', 'JO', 'NP', 'FD', 'ER', 'T', 'QM', 'NT', 'JT']
['EO', 'QG', 'DC', 'DU', 'RN', 'ME', 'FF', 'JS', 'LH', 'BK']
['JE', 'IV', 'CD', 'SC', 'OB', 'FF', 'QU', 'NV', 'HV', 'PB']
['IO', 'CZ', 'SW', 'GM', 'LM', 'NZ', 'LP', 'BW', 'CI', 'MR']
['EL', 'DE', 'O', 'QA', 'JY', 'KP', 'EX', 'II', 'R', 'NB']
['OS', 'SG', 'QE', 'IN', 'JM', 'DK', 'ND', 'HU', 'SX', 'SF']
['SJ', 'BQ', 'DO', 'PE', 'LP', 'CS', 'CM', 'ML', 'CX', 'MZ']
['KQ', 'LZ', 'SH', 'OE', 'FE', 'NK', 'LW', 'LK', 'RQ', 'CT']
['FH', 'IP', 'NO', 'TF', 'KF', 'SU', 'GE', 'KT', 'NY', 'NV']
['OD', 'MN', 'JY', 'DP', 'OY', 'JS', 'TB', 'MF', 'RW', 'BA']
['DM', 'GJ', 'PE', 'SK', 'BM', 'HQ', 'CP', 'FP', 'NT', 'CH']
['ET', 'SA', 'LA', 'DD', 'OQ', 'SM', 'KA', 'LY', 'NM', 'MZ']
['GD', 'BF', 'KT', 'DZ', 'DF', 'FK', 'OY', 'HM', 'LS', 'BI']
['MU', 'NI', 'IX', 'OU', 'QQ', 'KH', 'LV', 'GZ', 'SY', 'LO']
['HR', 'NR', 'LU', 'MK', 'FS', 'MA', 'HK', 'B', 'NB', 'NW']
['DU', 'HA', 'KX', 'QR', 'PR', 'RL', 'LO', 'P', 'FG', 'KJ']
['QY', 'DO', 'IC', 'CY', 'DK', 'II', 'GJ', 'KO', 'RS', 'RE']
['MU', 'GM', 'EU', 'SK', 'NI', 'JP', 'OG', 'QK', 'SM', 'KA']
['QF', 'QO', 'MG', 'QB', 'FL', 'Z', 'EC', 'NU', 'MC', 'DQ']
['EL', 'L', 'BD', 'LL', 'OG', 'FI', 'MJ', 'SY', 'RM', 'JW']
['GM', 'MG', 'EN', 'SV', 'GP', 'HK', 'JH', 'J', 'PP', 'CO']
['EB', 'KS', 'BJ', 'DW', 'MK', 'CS', 'GZ', 'SS', 'GO', 'NS']
['EA', 'PX', 'TA', 'S', 'OG', 'KV', 'SQ', 'QB', 'SV', 'ND']
['OZ', 'HI', 'SK', 'JU', 'GC', 'JA', 'MI', 'QS', 'J', 'HV']
