25
20
['C96CD6', '0264AF', '93D432', '2D4D61', '2B8F4B', 'EB9D60', '9BAC71', '026256', '7334F9', '2D56C1', 'D65E29']
['113E1F', 'DCB902', '1D39ED', 'F545E1', 'F85131', '1FBE40', 'D9180C', '6833E8', '511040', 'BB9072', 'B49939']
['BA6187', '992AEE', '49EB71', 'B56D74', 'B2A692', 'B8B01F', 'B2CB4D', '160ED4', '7F8E1D', '463E2C', '9B09E5']
['739ABF', '78DB65', 'B2C27D', '18D668', '7FE1F2', 'D363AB', '3D830C', 'CD5322', '2B3DD7', 'A911EF', '45CE10']
['7848BA', '54C37C', '1600AD', '9C5DCF', '5C0D69', '7AADBC', '326662', '1866E0', '7C730C', 'DBDDB5', '83ACF7']
['6DCBC8', '4AE7C7', '189812', 'EB7E6A', 'D883C0', '5ADC6D', '0FC6EE', '4BD8B1', 'F2B7FD', '244528', '38515C']
['8254EB', 'AF83FA', '9DF876', '4BC7D0', 'A5F27A', 'E492E0', '9D8AD8', '01E026', 'BC38A8', '49EEB4', 'BA7ED0']
['43F505', 'C8F1A7', 'D31361', '206150', '2C02B7', '15AA36', '4BBAFA', '24A4D1', '035E05', '38EA17', '82B105']
['3D4600', '1B06C5', '833C34', 'FBB00D', '09944C', '468F31', '1986A0', '364B78', '57FCD8', '848C87', '9330C0']
['861E09', 'B6ACFC', '83752D', 'B4257C', 'D98FB6', 'C60FE7', '1656DC', '605983', '26DB4C', '3B6837', '316244']
['CC9A13', '0C4437', '66F8EA', '56B4C2', '42EE34', '1C3933', '76131B', 'D2BDB6', '90E78E', '846154', 'B32674']
['FD1DAC', '565E46', '292CB3', '177A03', 'D50881', '2F584A', '77EB41', '72D023', '420711', 'C0A19A', '0231A4']
['3E7F60', '95F017', '81E0FA', 'F33ACF', 'D8849E', 'E0044F', 'E277CB', 'F4C13E', 'F1DB81', '3CB50A', 'C2A74D']
['14A3E7', '3235BA', 'F448AE', 'EED7BB', '1350AD', '187923', '601CA7', '9923B4', '31C6A3', '219F75', '1D9893']
['EF37A6', 'D2EB79', '9C0B9D', 'B38307', '5AF312', '8F75EC', '1743CD', 'AC34B5', 'C3678B', 'D8492F', '7647CD']
['5D4F2F', '82BD08', 'E9F19A', '92C42A', '7B325B', '29267F', '3FAE1E', '0D6A28', '6C1A62', 'FCB503', '22394B']
['B78EF9', '75002A', 'B00B7F', 'C1CAB9', 'E8C5B8', '0AC7A0', '4AC817', 'F3EDD7', '5E4F6B', '4D74EB', '5C016B']
['52FB79', 'D049CD', 'CBE0EA', '6EEE66', '9C4CA5', '068D28', '2B8E0B', '0A3E48', '04279E', '40C7FF', '33ABEE']
['EFBA0C', '4EBF50', '88FFF8', '380FF7', '7FADE3', '593840', 'DDA295', '7C8A3D', '29BFBC', '718436', '5ABFA9']
['1E571E', 'CED5FC', 'E8A38A', 'FAB638', 'D2F8E5', 'FC75E7', '26C6B9', 'D0E36A', '94AED5', '69FD70', '62BC31']
['CC4384', '2BEC39', '7D4045', '75C017', '51197D', '18AEFC', '2E4B9D', '58ED2B', '882258', '8FF839', '73271F']
['0AFD91', '4C0FCD', '539972', '9C4F00', 'F9EB1F', 'C19610', '5A681E', 'C9EF6D', '4FCF52', '4C1D36', 'F13455']
['628552', '5BEDDF', 'FECCAB', 'B85F11', '19EFAF', '46371B', 'B6FA16', '74ADA7', '608F21', '3F75A9', 'A89402']
['E46F9E', 'FD33F7', '1DD8D0', '47063A', '823C51', 'E15D93', 'FE7E47', '6AFCAC', '5E2607', '552199', '273165']
['B0F05D', '52BFE5', '3A0D10', 'E77DD8', 'C54164', '1D528C', '7CC3A7', 'E33128', 'ABE83F', '6D4DDC', 'A4FCD1']
['5C91EE', '89A551', '503A55', 'D83AF7', 'E81232', '81A0D3', '77042F', '97D861', '747199', 'C5416A', '3D046E']
['F4EDF8', '8883AC', 'F1B367', 'D0E5BE', '55B952', '672145', '6C3CD5', '34ACF3', 'F7F9CB', 'AD6105', '41AFC9']
['39CAB7', '03B42D', 'E1A380', '81A856', '30EA83', '593AF4', '478A7C', 'B13536', '1F4650', '28CCA5', '052CC7']
['BE3703', 'F32B0B', 'DE6241', 'E2701A', '400D20', 'D6F426', '00C269', '8DF985', '1A770B', '865328', '1D4417']
['EB90EE', 'C69699', 'D324E7', 'D78522', '9ABAFB', '0525B9', '5A5DE8', 'C0EA59', 'E93252', '5451FF', '20C0D0']
['A03FB7', 'E191B0', '5B4152', '29D22B', '8AC55C', '8806E7', '5D5C76', '4430C2', 'B166D1', 'FBF275', '0C3AFF']
['CD374A', '3EF396', '25B295', '369765', 'C34593', 'AB96B9', '5F88E7', '5C4F81', '36FCBF', '7B306C', '60B803']
['8BEC15', '66B93A', '2819EE', '98497D', '893D61', '6E3DED', '73F93C', 'D79D49', '2F46CD', 'C4882F', '4DBE20']
['09CFE9', 'EC35B5', '87EE7F', '5248A9', '414B77', '35DA72', '2E6B38', '1D0C35', '029563', '82F466', '88E0AE']
['80F9BC', 'EE9200', '4E8355', '9CE56C', '6D4C8F', '920715', '770A4C', '917501', 'B0C2D3', '2961DB', '5C5B8D']
['D78532', '31B801', '0FE5DD', 'EC2626', 'CC66B0', 'F28C7F', 'B4BD91', 'CB5EDA', 'E4C3BA', 'DF5F9C', '3963FC']
['A4F4BB', '255208', '0E6FA7', '943005', '9FCB42', '1CAAAC', '0B99EF', '935873', '8D43AD', 'CA893B', '923B8C']
['81DA52', 'FCD63D', 'EEF23E', '71AE93', '4A32EA', '3E6399', 'A4EAD9', '940AC5', 'DFE9C6', '8EC8D8', '09FFA6']
['8E8C76', '118FE2', '66C38E', '6E7E64', '2D2248', 'EDB261', '415552', '0E78AA', '037831', 'CC08F5', '05F2DC']
['DB6CBF', 'A1D29E', 'AAAF0B', '1D216B', '1E0B30', '66547C', '85CFC7', '31B17E', '34E9FE', 'CE0D10', 'C07CCC']
['1F4650', '552199', 'A4FCD1', '81DA52', '2DE42A', 'C34593', 'C96CD6', 'E8A38A', '26C6B9', '0E6FA7', '5451FF']
['26B294', 'BB9072', '833C34', '18AEFC', 'A89402', 'D78522', '0E78AA', 'FF3177', 'B56D74', 'BE3703', 'D50881']
['C69699', 'C5416A', '34ACF3', '34E9FE', 'D98FB6', '2EDC82', '739ABF', '747199', '6D4DDC', 'B8B01F', '5ABFA9']
['26C6B9', '0C4437', '608F21', '369765', 'E2701A', '26DA83', 'D0E36A', 'E4C3BA', '4AE7C7', 'E1B665', 'B8B01F']
['D2EB79', '7647CD', '6C1A62', 'E0044F', 'F4EDF8', '33ABEE', '47063A', '6DCBC8', '82BD08', '935873', '6C5208']
['463E2C', 'F85131', 'B166D1', '1D528C', 'FE7E47', '81A0D3', '3E6399', '77EB41', '052CC7', 'DBF47C', '0AC7A0']
['15AA36', '77EB41', 'EB3718', '823C51', '31C6A3', '31B801', '7B325B', '7D4045', '88E0AE', '6C1A62', '380FF7']
['78E144', 'B0F05D', 'F3EDD7', '882258', 'E1A380', '4FCF52', 'CC4384', 'E9F19A', '40C7FF', '3E6399', '1D216B']
['F1B367', '9923B4', '865328', '187923', '823C51', 'E7EFA5', 'EED7BB', '565E46', '992AEE', '846154', 'C69699']
['605983', '35DA72', '2215AE', 'A1D29E', '05473A', 'EB90EE', 'F4EDF8', 'E1B665', '9C5DCF', 'F3EDD7', '833C34']
['593840', 'DF44F5', '6C1A62', '5D5C76', '1D4417', '0E78AA', '478A7C', 'EED7BB', '09CFE9', '9BAC71', 'D8492F']
['468F31', '187923', '219F75', '696B37', 'DCB902', '9CE56C', '26C6B9', 'F4EDF8', '9923B4', '9330C0', '1A770B']
['4A32EA', 'DDB7C8', '823C51', '7AADBC', '2215AE', '177A03', 'DB6CBF', '893D61', 'CB5EDA', 'C748A2', '31B17E']
['C54164', '026256', '93D432', 'C0EA59', 'CED5FC', '478A7C', 'E191B0', '920715', 'F85131', 'F7F9CB', '1E571E']
['923B8C', 'FBB00D', '037831', 'CC66B0', '4FCF52', 'EB7E6A', '3E6399', 'A89402', '05F2DC', '398310', '66B93A']
