22
22
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['0', '7']
['0', '8']
['0', '9']
['0', '10']
['0', '11']
['0', '12']
['0', '13']
['0', '14']
['0', '15']
['0', '16']
['0', '17']
['0', '18']
['0', '19']
['0', '20']
['0', '21']
['22', '23', '1']
['23', '24', '1']
['24', '25', '1']
['25', '26', '1']
['26', '27', '1']
['27', '28', '1']
['28', '29', '1']
['29', '30', '1']
['30', '31', '1']
['31', '32', '1']
['32', '33', '1']
['33', '34', '1']
['34', '35', '1']
['35', '36', '1']
['36', '37', '1']
['37', '38', '1']
['38', '39', '1']
['39', '40', '1']
['40', '41', '1']
['41', '42', '1']
['42', '43', '1']
['44', '45', '2']
['45', '46', '2']
['46', '47', '2']
['47', '48', '2']
['48', '49', '2']
['49', '50', '2']
['50', '51', '2']
['51', '52', '2']
['52', '53', '2']
['53', '54', '2']
['54', '55', '2']
['55', '56', '2']
['56', '57', '2']
['57', '58', '2']
['58', '59', '2']
['59', '60', '2']
['60', '61', '2']
['61', '62', '2']
['62', '63', '2']
['63', '64', '2']
['64', '65', '2']
['66', '67', '3']
['67', '68', '3']
['68', '69', '3']
['69', '70', '3']
['70', '71', '3']
['71', '72', '3']
['72', '73', '3']
['73', '74', '3']
['74', '75', '3']
['75', '76', '3']
['76', '77', '3']
['77', '78', '3']
['78', '79', '3']
['79', '80', '3']
['80', '81', '3']
['81', '82', '3']
['82', '83', '3']
['83', '84', '3']
['84', '85', '3']
['85', '86', '3']
['86', '87', '3']
['88', '89', '4']
['89', '90', '4']
['90', '91', '4']
['91', '92', '4']
['92', '93', '4']
['93', '94', '4']
['94', '95', '4']
['95', '96', '4']
['96', '97', '4']
['97', '98', '4']
['98', '99', '4']
['99', '100', '4']
['100', '101', '4']
['101', '102', '4']
['102', '103', '4']
['103', '104', '4']
['104', '105', '4']
['105', '106', '4']
['106', '107', '4']
['107', '108', '4']
['108', '109', '4']
['110', '111', '5']
['111', '112', '5']
['112', '113', '5']
['113', '114', '5']
['114', '115', '5']
['115', '116', '5']
['116', '117', '5']
['117', '118', '5']
['118', '119', '5']
['119', '120', '5']
['120', '121', '5']
['121', '122', '5']
['122', '123', '5']
['123', '124', '5']
['124', '125', '5']
['125', '126', '5']
['126', '127', '5']
['127', '128', '5']
['128', '129', '5']
['129', '130', '5']
['130', '131', '5']
['132', '133', '6']
['133', '134', '6']
['134', '135', '6']
['135', '136', '6']
['136', '137', '6']
['137', '138', '6']
['138', '139', '6']
['139', '140', '6']
['140', '141', '6']
['141', '142', '6']
['142', '143', '6']
['143', '144', '6']
['144', '145', '6']
['145', '146', '6']
['146', '147', '6']
