20
40
['0', '1', '2']
['21', '1', '6', '10', '11']
['42', '35', '4', '12', '13']
['38', '4', '5', '23', '33']
['8', '12', '43', '2', '26']
['0', '34', '16', '12', '40']
['45', '48', '29', '34', '19']
['1', '8', '47', '40', '6']
['35', '15', '7', '46', '40']
['5', '44', '39', '8', '37']
['21', '31', '37', '15', '22']
['24', '3', '39', '18', '35']
['32', '0', '3', '46', '23']
['16', '21', '44', '45', '40']
['18', '16', '20', '33', '19']
['3', '16', '4', '7', '39']
['46', '26', '1', '13', '27']
['24', '19', '18', '46', '37']
['7', '42', '21', '36', '2']
['44', '46', '24', '19', '37']
['16', '24', '39', '18', '22']
['29', '1', '23', '2', '33']
['34', '17', '30', '48', '12']
['25', '1', '29', '26', '36']
['19', '0', '26', '33', '23']
['40', '24', '48', '34', '41']
['47', '8', '31', '5', '40']
['24', '15', '27', '7', '17']
['11', '12', '47', '8', '13']
['47', '41', '25', '5', '3']
['21', '46', '47', '48', '35']
['2', '38', '10', '18', '17']
['32', '12', '23', '45', '33']
['42', '31', '1', '36', '34']
['8', '1', '17', '42', '40']
['16', '30', '15', '32', '31']
['32', '10', '24', '3', '2']
['12', '34', '4', '49', '33']
['39', '3', '16', '45', '43']
['16', '25', '27', '14', '15']
['47', '31', '17', '16', '6']
['26', '46', '49', '30', '33']
['8', '22', '34', '49', '29']
['5', '15', '16', '12', '18']
['6', '45', '10', '1', '12']
['7', '43', '49', '12', '44']
['16', '20', '15', '7', '2']
['2', '46', '11', '29', '13']
['16', '11', '10', '45', '8']
['32', '12', '5', '25', '4']
['37', '5', '11', '3', '30']
['23', '39', '44', '14', '38']
['0', '11', '40', '1', '44']
['34', '42', '23', '9', '49']
['38', '29', '13', '39', '16']
['48', '36', '12', '24', '2']
['45', '42', '3', '44', '34']
['45', '32', '23', '25', '1']
['16', '27', '18', '32', '49']
['27', '31', '49', '14', '0']
['48', '37', '20', '47', '2']
['4', '5', '44', '17', '38']
['16', '46', '12', '5', '38']
['32', '26', '49', '43', '31']
['31', '47', '3', '12', '0']
['20', '2', '39', '38', '22']
['19', '49', '41', '33', '24']
['5', '42', '47', '40', '34']
['38', '36', '5', '19', '40']
['37', '38', '36', '14', '44']
['36', '15', '10', '47', '26']
['31', '17', '7', '15', '10']
['7', '20', '22', '32', '18']
['48', '3', '27', '30', '6']
['5', '19', '34', '47', '40']
['16', '13', '10', '8', '17']
['17', '6', '39', '22', '49']
['49', '48', '45', '25', '34']
['31', '28', '30', '36', '16']
['33', '47', '29', '46', '45']
['30', '26', '15', '22', '49']
['39', '17', '1', '41', '16']
['23', '17', '11', '28', '18']
['31', '36', '15', '24', '43']
['7', '11', '30', '43', '19']
['7', '37', '48', '31', '34']
['8', '27', '26', '19', '14']
['29', '22', '41', '46', '45']
['45', '6', '12', '4', '20']
['33', '42', '47', '16', '37']
['24', '7', '28', '25', '41']
['5', '9', '1', '16', '13']
['15', '23', '12', '39', '48']
['14', '15', '25', '33', '17']
['5', '25', '20', '41', '42']
['31', '32', '23', '24', '12']
['36', '33', '6', '41', '31']
['26', '40', '18', '21', '9']
['32', '39', '28', '36', '19']
['45', '42', '10', '23', '6']
['43', '4', '29', '49', '21']
['47', '3', '1', '22', '16']
['48', '49', '29', '11', '3']
['11', '38', '17', '26', '46']
['41', '1', '31', '34', '4']
['36', '4', '37', '15', '44']
['33', '40', '19', '6', '16']
['21', '49', '30', '38', '0']
['46', '24', '48', '36', '34']
['42', '21', '29', '45', '17']
['44', '42', '7', '38', '1']
['31', '24', '8', '41', '2']
['7', '23', '33', '31', '25']
['31', '20', '32', '36', '11']
['3', '46', '2', '32', '37']
['24', '15', '10', '36', '17']
['7', '44', '13', '28', '35']
['8', '4', '1', '34', '23']
['43', '45', '28', '29', '10']
['27', '40', '14', '7', '41']
['37', '3', '5', '4', '23']
['24', '12', '47', '30', '20']
['34', '10', '41', '33', '4']
['37', '3', '2', '27', '7']
['46', '20', '18', '8', '1']
['13', '36', '33', '15', '5']
['39', '47', '5', '31', '16']
['3', '2', '27', '30', '1']
['42', '12', '15', '4', '39']
['14', '20', '4', '39', '48']
['28', '35', '25', '37', '38']
['16', '43', '22', '24', '14']
['37', '39', '11', '12', '46']
['21', '37', '17', '16', '8']
['0', '1', '48', '11', '30']
['1', '48', '42', '6', '8']
['13', '20', '33', '5', '31']
['49', '32', '1', '46', '37']
['41', '6', '47', '10', '3']
['13', '48', '22', '25', '18']
['31', '25', '16', '19', '0']
['0', '5', '10', '1', '36']
['27', '32', '41', '39', '25']
['36', '17', '3', '20', '42']
['44', '28', '32', '7', '31']
['14', '37', '39', '11', '19']
['30', '34', '11', '40', '10']
['42', '34', '5', '14', '39']
['14', '17', '46', '42', '33']
['5', '35', '47', '34', '9']
['10', '28', '30', '5', '16']
['48', '34', '18', '13', '12']
['23', '19', '48', '46', '32']
['3', '20', '7', '17', '4']
['16', '19', '20', '12', '24']
['34', '40', '13', '8', '30']
['35', '2', '45', '24', '9']
['0', '47', '31', '8', '15']
['33', '37', '19', '36', '8']
['8', '40', '33', '43', '39']
['31', '42', '20', '30', '19']
['48', '37', '31', '20', '16']
['26', '27', '49', '0', '43']
['40', '23', '18', '0', '27']
['9', '38', '23', '20', '27']
['49', '48', '5', '12', '19']
['9', '45', '39', '7', '16']
['36', '13', '0', '28', '1']
['26', '19', '16', '41', '11']
['42', '33', '20', '39', '0']
['11', '26', '24', '38', '10']
['29', '11', '40', '21', '43']
['40', '37', '20', '0', '17']
['13', '9', '29', '49', '11']
['16', '13', '15', '32', '5']
['29', '7', '34', '14', '42']
['24', '3', '21', '39', '40']
['12', '11', '35', '14', '6']
['18', '5', '9', '2', '24']
['11', '30', '32', '20', '29']
['46', '20', '12', '24', '9']
['1', '0', '4', '34', '11']
['7', '22', '32', '43', '25']
['9', '44', '40', '31', '13']
['40', '25', '29', '24', '49']
['4', '2', '28', '29', '36']
['33', '27', '20', '14', '34']
['6', '23', '26', '14', '11']
['10', '25', '39', '24', '46']
['25', '30', '40', '5', '28']
['16', '36', '42', '10', '28']
['41', '24', '38', '23', '33']
['11', '2', '26', '47', '32']
['36', '38', '42', '0', '3']
['9', '5', '47', '35', '46']
['1', '36', '46', '17', '40']
['36', '28', '19', '44', '5']
['28', '23', '11', '33', '47']
['27', '22', '33', '9', '4']
['43', '10', '22', '18', '47']
['21', '39', '37', '12', '19']
['11', '49', '0', '30', '1']
['14', '6', '4', '29', '25']
['5', '33', '48', '19', '7']
['23', '13', '19', '40', '0']
['28', '8', '44', '21', '24']
['27', '19', '17', '29', '23']
['40', '21', '24', '0', '11']
['32', '17', '25', '44', '6']
['31', '22', '20', '38', '15']
