9
37
['9', '38', '93', '130', '170', '179', '227', '246', '306']
['26', '53', '102', '117', '160', '196', '213', '259', '289']
['30', '50', '96', '131', '158', '194', '228', '263', '307']
['17', '49', '80', '129', '161', '177', '214', '255', '303']
['10', '40', '92', '122', '144', '203', '221', '261', '314']
['3', '44', '72', '109', '148', '200', '230', '250', '309']
['1', '37', '79', '120', '156', '328', '243', '257', '281']
['7', '63', '90', '135', '157', '197', '211', '254', '292']
['25', '69', '73', '119', '163', '180', '235', '269', '308']
['15', '68', '325', '113', '159', '208', '222', '279', '297']
['8', '43', '78', '118', '171', '175', '238', '270', '305']
['0', '59', '70', '132', '327', '199', '226', '260', '280']
['12', '64', '97', '128', '152', '183', '210', '258', '296']
['14', '48', '104', '116', '145', '205', '242', '265', '284']
['31', '65', '81', '105', '173', '202', '237', '268', '295']
['32', '46', '98', '139', '155', '186', '220', '275', '313']
['6', '41', '94', '137', '143', '193', '241', '271', '294']
['323', '61', '76', '112', '150', '176', '225', '253', '288']
['18', '35', '85', '121', '147', '188', '224', '278', '298']
['20', '36', '86', '124', '140', '209', '215', '252', '299']
['23', '60', '84', '326', '172', '181', '212', '249', '311']
['16', '47', '82', '111', '154', '190', '234', '245', '310']
['22', '52', '83', '138', '169', '207', '216', '262', '283']
['13', '67', '95', '123', '146', '178', '219', '274', '293']
['4', '57', '103', '133', '153', '195', '233', '272', '291']
['21', '54', '87', '125', '142', '206', '229', '330', '302']
['34', '56', '71', '108', '164', '192', '244', '251', '285']
['28', '55', '91', '136', '141', '182', '239', '273', '290']
['11', '45', '74', '106', '174', '185', '223', '264', '287']
['5', '66', '88', '107', '151', '191', '232', '256', '301']
['2', '51', '100', '115', '149', '201', '236', '266', '282']
['27', '324', '89', '126', '165', '198', '217', '247', '331']
['19', '39', '75', '127', '166', '189', '218', '277', '312']
['24', '58', '99', '114', '168', '187', '240', '276', '300']
['33', '42', '101', '134', '162', '184', '329', '248', '286']
['29', '62', '77', '110', '167', '204', '231', '267', '304']
