4
18
['2', '47', '42']
['24', '47', '42']
['42', '24', '2']
['24', '42', '47']
['24', '47', '2']
['47', '2', '24']
['2', '47', '24']
['2', '24', '42']
['2', '42', '47']
['42', '47', '2']
['47', '24', '2']
['42', '2', '47']
['24', '47', '2']
['24', '47', '42']
['42', '2', '47']
['47', '42', '24']
['24', '42', '2']
['24', '42', '2']
['2', '42', '24']
['42', '24', '47']
['2', '42', '47']
['24', '47', '2']
['47', '24', '42']
['2', '42', '24']
['47', '24', '42']
['47', '24', '2']
['2', '42', '47']
['2', '24', '42']
['47', '2', '24']
['42', '2', '24']
['2', '47', '42']
['24', '47', '2']
['2', '42', '47']
['42', '2', '47']
['47', '42', '24']
['24', '47', '2']
['24', '2', '42']
['24', '47', '2']
['24', '2', '42']
['42', '47', '2']
['24', '47', '42']
['2', '24', '42']
['2', '42', '47']
['47', '42', '2']
['2', '24', '42']
['42', '24', '47']
['42', '47', '24']
['2', '24', '47']
['2', '42', '24']
['47', '42', '24']
['2', '47', '24']
['42', '47', '2']
['47', '2', '42']
['24', '42', '2']
['42', '2', '47']
['2', '42', '24']
['42', '2', '24']
['47', '42', '24']
['2', '47', '42']
['2', '42', '24']
['2', '42', '24']
['42', '2', '47']
['2', '47', '24']
['2', '24', '42']
['2', '24', '47']
['42', '2', '24']
['2', '47', '42']
['42', '47', '24']
['24', '47', '2']
['2', '42', '47']
['24', '2', '47']
['24', '47', '42']
['42', '47', '2']
['2', '24', '42']
['47', '24', '2']
['47', '24', '42']
['24', '47', '2']
['24', '47', '2']
['24', '2', '47']
['47', '24', '42']
['24', '2', '47']
['42', '47', '2']
['42', '47', '24']
['2', '47', '24']
['42', '24', '47']
['2', '24', '42']
['2', '47', '24']
['24', '42', '2']
['2', '42', '24']
['24', '47', '2']
['24', '2', '42']
['47', '24', '2']
['2', '47', '24']
['24', '42', '47']
['24', '2', '47']
['47', '2', '42']
['47', '24', '2']
['47', '42', '2']
['24', '2', '42']
['24', '42', '47']
