7
8
['10', '20', '30', '40', '50', '60', '70']
['10', '11', '12', '13', '14', '15', '16']
['10', '21', '22', '23', '24', '25', '26']
['10', '31', '32', '33', '34', '35', '36']
['10', '41', '42', '43', '44', '45', '46']
['10', '51', '52', '53', '54', '55', '56']
['10', '61', '62', '63', '64', '65', '66']
['10', '71', '72', '73', '74', '75', '76']
['20', '31', '32', '33', '34', '35', '36']
['30', '41', '42', '43', '44', '45', '46']
['40', '51', '52', '53', '54', '55', '56']
['50', '61', '62', '63', '64', '65', '66']
['60', '71', '72', '73', '74', '75', '76']
['33', '16', '36', '76', '46', '11', '14']
['42', '32', '65', '54', '60', '43', '33']
['51', '31', '12', '52', '71', '43', '62']
['71', '64', '36', '56', '70', '43', '10']
['12', '66', '15', '21', '33', '26', '41']
['10', '13', '56', '75', '40', '36', '63']
['23', '43', '21', '56', '61', '66', '10']
['42', '70', '12', '73', '45', '34', '24']
['26', '13', '10', '51', '36', '70', '76']
['65', '63', '16', '25', '11', '61', '45']
['24', '15', '40', '60', '22', '46', '65']
['66', '10', '70', '50', '41', '25', '55']
['65', '50', '32', '72', '55', '46', '23']
['25', '20', '26', '60', '32', '21', '71']
['70', '71', '61', '55', '60', '63', '35']
['72', '56', '73', '61', '62', '74', '25']
['13', '43', '70', '53', '14', '22', '20']
['25', '60', '26', '43', '41', '56', '21']
['13', '34', '21', '71', '31', '30', '63']
['40', '35', '16', '24', '75', '63', '36']
['60', '72', '22', '65', '70', '40', '71']
['14', '12', '30', '52', '41', '25', '26']
['44', '24', '42', '52', '53', '34', '43']
['60', '74', '53', '16', '40', '15', '46']
['52', '62', '16', '25', '30', '15', '36']
['41', '13', '53', '25', '30', '51', '32']
['46', '12', '15', '14', '23', '33', '44']
['55', '23', '52', '12', '25', '43', '72']
['50', '51', '24', '21', '62', '70', '25']
['50', '53', '60', '11', '41', '23', '55']
['30', '44', '51', '74', '12', '53', '42']
['24', '60', '56', '62', '70', '41', '33']
['46', '33', '74', '42', '14', '41', '71']
['22', '13', '12', '21', '30', '54', '66']
['42', '72', '64', '65', '23', '54', '74']
['72', '52', '50', '51', '25', '75', '26']
['35', '20', '70', '40', '65', '64', '76']
['34', '55', '40', '53', '13', '24', '45']
['24', '42', '36', '11', '41', '23', '22']
['16', '21', '32', '53', '71', '22', '45']
['25', '40', '22', '74', '36', '54', '75']
['63', '43', '75', '13', '44', '22', '33']
['56', '41', '40', '70', '31', '65', '74']
['31', '34', '11', '23', '70', '24', '46']
['15', '63', '13', '64', '71', '34', '25']
['36', '40', '73', '23', '74', '63', '44']
['20', '46', '43', '21', '60', '75', '42']
['64', '51', '10', '54', '25', '41', '33']
['75', '43', '72', '10', '76', '73', '53']
['24', '14', '11', '42', '41', '55', '72']
['26', '54', '25', '45', '51', '11', '66']
['43', '11', '61', '32', '56', '13', '21']
['53', '13', '50', '34', '32', '70', '20']
['26', '20', '42', '25', '21', '64', '53']
['26', '76', '53', '54', '66', '70', '16']
['52', '55', '72', '13', '62', '25', '66']
['22', '54', '72', '12', '50', '25', '61']
['56', '43', '52', '41', '74', '53', '10']
['13', '12', '51', '40', '70', '34', '62']
['70', '51', '61', '72', '35', '20', '56']
['13', '53', '36', '15', '23', '42', '16']
['15', '73', '36', '53', '56', '14', '65']
['74', '36', '54', '62', '73', '63', '66']
['52', '72', '11', '60', '12', '20', '33']
['71', '11', '52', '74', '53', '34', '12']
['26', '53', '51', '72', '73', '30', '55']
['31', '72', '16', '43', '44', '54', '52']
['25', '35', '70', '42', '54', '40', '23']
['35', '40', '74', '75', '61', '26', '25']
['56', '33', '64', '12', '70', '15', '46']
['66', '32', '20', '45', '71', '41', '30']
['24', '52', '71', '33', '15', '12', '34']
['31', '22', '41', '70', '13', '24', '51']
['15', '73', '14', '26', '31', '61', '11']
['43', '26', '54', '63', '40', '25', '44']
['25', '33', '21', '65', '55', '54', '76']
['62', '71', '35', '11', '36', '32', '14']
['26', '45', '50', '12', '32', '16', '64']
['34', '20', '11', '53', '73', '13', '25']
['15', '21', '55', '12', '74', '43', '63']
['64', '70', '23', '11', '72', '35', '24']
['50', '73', '13', '74', '31', '20', '14']
['33', '14', '20', '64', '52', '32', '41']
['10', '43', '12', '72', '61', '45', '26']
['44', '73', '62', '72', '40', '10', '15']
['13', '64', '40', '36', '71', '10', '32']
['74', '76', '62', '36', '30', '65', '43']
