4
50
['0', '1']
['1', '2']
['2', '0']
['0', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['0', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['0', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['1', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['1', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['1', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['2', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['2', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['0', '3']
['0', '17']
['1', '18']
['1', '32']
['2', '33']
['2', '47']
['0', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47']
['34', '33', '25', '29', '23', '44', '26', '0', '27', '42', '28', '43', '18', '19', '36', '47', '39', '46', '38', '21', '30', '22', '40', '20', '45', '24', '37', '41', '32', '31', '35']
['44', '35', '36', '29', '43', '24', '20', '27', '32', '0', '22', '26', '33', '38', '39', '19', '34', '46', '23', '18', '30', '31', '37', '25', '47', '28', '45', '42', '21', '40', '41']
['39', '40', '18', '23', '45', '29', '43', '25', '21', '46', '44', '19', '22', '28', '38', '41', '20', '24', '33', '34', '31', '26', '47', '42', '37', '32', '0', '30', '36', '27', '35']
['47', '30', '41', '23', '34', '31', '25', '44', '33', '20', '22', '43', '18', '21', '27', '19', '39', '45', '36', '26', '0', '37', '35', '46', '38', '32', '28', '24', '42', '29', '40']
['33', '0', '43', '31', '27', '46', '37', '32', '40', '47', '28', '26', '19', '39', '23', '45', '38', '21', '20', '35', '41', '18', '22', '25', '24', '42', '34', '44', '29', '36', '30']
['36', '33', '37', '44', '46', '0', '42', '35', '21', '29', '19', '22', '34', '45', '20', '40', '26', '30', '43', '47', '23', '25', '31', '41', '18', '32', '24', '27', '38', '39', '28']
['44', '47', '26', '36', '31', '25', '30', '35', '33', '32', '0', '38', '37', '46', '24', '20', '21', '40', '23', '43', '22', '28', '34', '42', '18', '29', '45', '19', '39', '27', '41']
['22', '19', '20', '41', '33', '43', '39', '35', '37', '18', '40', '24', '21', '23', '32', '26', '42', '30', '38', '44', '31', '45', '36', '29', '34', '28', '27', '25', '46', '47', '0']
['19', '31', '34', '21', '33', '37', '26', '23', '29', '30', '27', '22', '24', '25', '18', '46', '41', '40', '45', '20', '39', '42', '38', '0', '44', '47', '32', '36', '28', '35', '43']
['21', '33', '25', '32', '46', '18', '36', '20', '43', '31', '42', '44', '45', '38', '24', '23', '26', '37', '0', '27', '34', '29', '40', '35', '22', '47', '39', '41', '30', '28', '19']
['1', '33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43', '44', '45', '46', '47', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17']
['36', '13', '14', '11', '9', '43', '17', '16', '4', '8', '33', '5', '3', '1', '47', '45', '40', '10', '12', '42', '37', '41', '15', '38', '44', '35', '39', '6', '34', '46', '7']
['35', '46', '13', '4', '6', '14', '42', '38', '44', '36', '33', '47', '3', '5', '39', '1', '37', '11', '15', '43', '12', '16', '45', '8', '7', '9', '17', '10', '34', '41', '40']
