5
10
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['0', '7']
['0', '8']
['0', '9']
['0', '10']
['0', '11']
['0', '12']
['0', '13']
['0', '14']
['0', '15']
['0', '16']
['0', '17']
['0', '18']
['0', '19']
['0', '20']
['0', '21']
['0', '22']
['0', '23']
['0', '24']
['0', '25']
['0', '26']
['0', '27']
['0', '28']
['0', '29']
['0', '30']
['0', '31']
['0', '32']
['0', '33']
['0', '34']
['0', '35']
['0', '36']
['0', '37']
['0', '38']
['0', '39']
['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19']
['10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23', '24', '25', '26', '27', '28', '29']
['20', '21', '22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32', '33', '34', '35', '36', '37', '38', '39']
['30', '31', '32', '33', '34', '35', '36', '37', '38', '39']
['8', '35', '34', '13', '19', '10', '0', '40', '2', '11', '4', '39', '30', '18', '12', '23', '25', '7', '31', '38']
['11', '7', '9', '15', '20', '37', '3', '14', '36', '23', '4', '12', '2', '30', '32', '19', '21', '6', '24', '25']
['2', '13', '22', '36', '39', '38', '0', '8', '40', '11', '34', '27', '12', '3', '32', '17', '26', '15', '31', '5']
['31', '32', '39', '40', '26', '3', '15', '30', '14', '34', '29', '16', '7', '23', '17', '22', '10', '1', '21', '35']
['15', '2', '12', '4', '22', '14', '11', '20', '33', '36', '7', '21', '13', '37', '8', '25', '32', '10', '26', '18']
['28', '11', '16', '15', '0', '23', '33', '20', '5', '10', '26', '35', '7', '1', '22', '32', '36', '8', '12', '40']
['3', '16', '8', '28', '27', '17', '38', '40', '29', '23', '32', '21', '15', '35', '37', '22', '19', '1', '25', '14']
['1', '13', '27', '5', '14', '37', '34', '21', '3', '4', '7', '19', '28', '12', '0', '32', '36', '33', '29', '17']
['12', '23', '37', '28', '32', '13', '2', '40', '38', '30', '21', '9', '3', '10', '16', '19', '27', '31', '5', '6']
['7', '26', '28', '3', '18', '31', '4', '21', '10', '9', '22', '20', '24', '13', '23', '17', '36', '2', '33', '5']
['27', '11', '14', '35', '37', '28', '38', '34', '32', '2', '33', '29', '19', '6', '1', '3', '30', '26', '10', '18']
['29', '13', '40', '16', '20', '22', '21', '5', '9', '3', '25', '1', '6', '27', '2', '32', '28', '37', '19', '12']
['22', '37', '2', '17', '20', '16', '28', '4', '40', '34', '14', '23', '33', '11', '8', '21', '32', '31', '39', '26']
['10', '1', '29', '40', '30', '18', '22', '19', '32', '35', '11', '4', '8', '14', '0', '21', '20', '16', '31', '34']
['26', '34', '9', '13', '16', '15', '18', '17', '36', '0', '33', '25', '38', '8', '19', '23', '1', '27', '5', '11']
['7', '13', '19', '5', '22', '11', '35', '1', '31', '16', '9', '24', '3', '37', '32', '40', '2', '27', '12', '23']
['32', '19', '3', '8', '23', '16', '26', '14', '11', '36', '40', '13', '7', '34', '24', '18', '1', '15', '29', '28']
['12', '36', '18', '27', '24', '1', '35', '29', '3', '22', '26', '20', '28', '39', '31', '25', '33', '37', '32', '13']
['1', '7', '6', '26', '37', '12', '25', '22', '30', '9', '39', '36', '4', '29', '2', '17', '28', '13', '27', '38']
['27', '5', '18', '31', '16', '30', '23', '39', '29', '10', '22', '0', '37', '26', '1', '15', '40', '25', '24', '36']
['8', '21', '3', '14', '38', '16', '24', '11', '20', '0', '19', '40', '18', '22', '30', '17', '10', '15', '27', '23']
['12', '6', '34', '7', '29', '30', '1', '19', '37', '35', '36', '38', '9', '17', '39', '21', '4', '13', '25', '14']
['35', '4', '31', '39', '11', '13', '19', '30', '21', '29', '23', '27', '32', '17', '25', '36', '1', '26', '20', '12']
['25', '8', '3', '38', '37', '28', '39', '20', '10', '1', '31', '32', '15', '5', '23', '18', '30', '40', '35', '21']
['17', '40', '4', '16', '38', '22', '15', '1', '21', '13', '20', '30', '29', '0', '24', '3', '9', '6', '7', '14']
['27', '10', '40', '32', '11', '9', '20', '29', '23', '13', '37', '34', '38', '22', '3', '33', '21', '0', '5', '36']
['12', '37', '28', '21', '20', '7', '9', '24', '2', '6', '25', '22', '1', '40', '17', '18', '15', '0', '23', '33']
['36', '14', '15', '28', '40', '26', '0', '33', '39', '19', '21', '13', '4', '7', '23', '1', '2', '34', '24', '32']
