5
5
['12', '2', '18', '11', '17']
['22', '20', '24', '4', '8']
['23', '16', '1', '25', '6']
['14', '3', '5', '10', '19']
['9', '13', '21', '7', '15']
['12', '22', '20', '24', '4', '6']
['12', '23', '16', '1', '25', '19']
['12', '14', '3', '5', '10', '15']
['12', '9', '13', '21', '7', '17']
['2', '22', '20', '24', '4', '6']
['2', '23', '16', '1', '25', '19']
['2', '14', '3', '5', '10', '15']
['2', '9', '13', '21', '7', '17']
['18', '22', '20', '24', '4', '6']
['18', '23', '16', '1', '25', '19']
['18', '14', '3', '5', '10', '15']
['18', '9', '13', '21', '7', '17']
['11', '22', '20', '24', '4', '6']
['11', '23', '16', '1', '25', '19']
['11', '14', '3', '5', '10', '15']
['11', '9', '13', '21', '7', '17']
['8', '22', '20', '24', '4', '6']
['8', '23', '16', '1', '25', '19']
['8', '14', '3', '5', '10', '15']
['8', '9', '13', '21', '7', '17']
['22', '12', '2', '18', '11', '8']
['22', '23', '16', '1', '25', '19']
['22', '14', '3', '5', '10', '15']
['22', '9', '13', '21', '7', '17']
['20', '12', '2', '18', '11', '8']
['20', '23', '16', '1', '25', '19']
['20', '14', '3', '5', '10', '15']
['20', '9', '13', '21', '7', '17']
['24', '12', '2', '18', '11', '8']
['24', '23', '16', '1', '25', '19']
['24', '14', '3', '5', '10', '15']
['24', '9', '13', '21', '7', '17']
['4', '12', '2', '18', '11', '8']
['4', '23', '16', '1', '25', '19']
['4', '14', '3', '5', '10', '15']
['4', '9', '13', '21', '7', '17']
['6', '12', '2', '18', '11', '8']
['6', '23', '16', '1', '25', '19']
['6', '14', '3', '5', '10', '15']
['6', '9', '13', '21', '7', '17']
['23', '12', '2', '18', '11', '8']
['23', '22', '20', '24', '4', '6']
['23', '14', '3', '5', '10', '15']
['23', '9', '13', '21', '7', '17']
['16', '12', '2', '18', '11', '8']
['16', '22', '20', '24', '4', '6']
['16', '14', '3', '5', '10', '15']
['16', '9', '13', '21', '7', '17']
['1', '12', '2', '18', '11', '8']
['1', '22', '20', '24', '4', '6']
['1', '14', '3', '5', '10', '15']
['1', '9', '13', '21', '7', '17']
['25', '12', '2', '18', '11', '8']
['25', '22', '20', '24', '4', '6']
['25', '14', '3', '5', '10', '15']
['25', '9', '13', '21', '7', '17']
['19', '12', '2', '18', '11', '8']
['19', '22', '20', '24', '4', '6']
['19', '14', '3', '5', '10', '15']
['19', '9', '13', '21', '7', '17']
['14', '12', '2', '18', '11', '8']
['14', '22', '20', '24', '4', '6']
['14', '23', '16', '1', '25', '19']
['14', '9', '13', '21', '7', '17']
['3', '12', '2', '18', '11', '8']
['3', '22', '20', '24', '4', '6']
['3', '23', '16', '1', '25', '19']
['3', '9', '13', '21', '7', '17']
['5', '12', '2', '18', '11', '8']
['5', '22', '20', '24', '4', '6']
['5', '23', '16', '1', '25', '19']
['5', '9', '13', '21', '7', '17']
['10', '12', '2', '18', '11', '8']
['10', '22', '20', '24', '4', '6']
['10', '23', '16', '1', '25', '19']
['10', '9', '13', '21', '7', '17']
['15', '12', '2', '18', '11', '8']
['15', '22', '20', '24', '4', '6']
['15', '23', '16', '1', '25', '19']
['15', '9', '13', '21', '7', '17']
['9', '12', '2', '18', '11', '8']
['9', '22', '20', '24', '4', '6']
['9', '23', '16', '1', '25', '19']
['9', '14', '3', '5', '10', '15']
['13', '12', '2', '18', '11', '8']
['13', '22', '20', '24', '4', '6']
['13', '23', '16', '1', '25', '19']
['13', '14', '3', '5', '10', '15']
['21', '12', '2', '18', '11', '8']
['21', '22', '20', '24', '4', '6']
['21', '23', '16', '1', '25', '19']
