10
5
['1', '2', '3', '4', '5']
['6', '7', '8', '9', '10']
['11', '12', '13', '14', '15']
['16', '17', '18', '19', '20']
['21', '22', '23', '24', '25']
['26', '27', '28', '29', '30']
['31', '32', '33', '34', '35']
['36', '37', '38', '39', '40']
['41', '42', '43', '44', '45']
['46', '47', '48', '49', '50']
['1', '2', '3', '4', '50']
['6', '7', '8', '9', '5']
['11', '12', '13', '14', '10']
['16', '17', '18', '19', '15']
['21', '22', '23', '24', '20']
['26', '27', '28', '29', '25']
['31', '32', '33', '34', '30']
['36', '37', '38', '39', '35']
['41', '42', '43', '44', '40']
['46', '47', '48', '49', '45']
['1', '2', '3', '4', '45']
['6', '7', '8', '9', '50']
['11', '12', '13', '14', '5']
['16', '17', '18', '19', '10']
['21', '22', '23', '24', '15']
['26', '27', '28', '29', '20']
['31', '32', '33', '34', '25']
['36', '37', '38', '39', '30']
['41', '42', '43', '44', '35']
['46', '47', '48', '49', '40']
['1', '2', '3', '4', '40']
['6', '7', '8', '9', '45']
['11', '12', '13', '14', '50']
['16', '17', '18', '19', '5']
['21', '22', '23', '24', '10']
['26', '27', '28', '29', '15']
['31', '32', '33', '34', '20']
['36', '37', '38', '39', '25']
['41', '42', '43', '44', '30']
['46', '47', '48', '49', '35']
['1', '2', '3', '4', '35']
['6', '7', '8', '9', '40']
['11', '12', '13', '14', '45']
['16', '17', '18', '19', '50']
['21', '22', '23', '24', '5']
['26', '27', '28', '29', '10']
['31', '32', '33', '34', '15']
['36', '37', '38', '39', '20']
['41', '42', '43', '44', '25']
['46', '47', '48', '49', '30']
