15
5
['0', '1']
['0', '2']
['0', '3']
['0', '4']
['0', '5']
['0', '6']
['0', '7']
['0', '8']
['0', '9']
['0', '10']
['0', '11']
['0', '12']
['0', '13']
['0', '14']
['0', '15']
['0', '16']
['0', '17']
['0', '18']
['0', '19']
['0', '20']
['0', '21']
['0', '22']
['0', '23']
['0', '24']
['0', '25']
['0', '26']
['0', '27']
['0', '28']
['0', '29']
['1', '5', '26']
['1', '6', '26']
['1', '6', '27']
['1', '7', '25']
['1', '7', '27']
['1', '7', '28']
['1', '8', '25']
['1', '8', '29']
['1', '9', '26']
['1', '9', '28']
['1', '9', '29']
['2', '5', '25']
['2', '5', '28']
['2', '5', '29']
['2', '6', '26']
['2', '6', '27']
['2', '6', '28']
['2', '6', '29']
['2', '7', '26']
['2', '7', '27']
['2', '7', '28']
['2', '7', '29']
['2', '8', '25']
['2', '8', '27']
['2', '8', '28']
['3', '5', '26']
['3', '5', '28']
['3', '6', '25']
['3', '6', '28']
['3', '6', '29']
['3', '7', '25']
['3', '7', '27']
['3', '7', '28']
['3', '7', '29']
['3', '8', '25']
['3', '8', '26']
['3', '8', '28']
['3', '9', '25']
['3', '9', '26']
['3', '9', '28']
['4', '5', '27']
['4', '6', '27']
['4', '7', '25']
['4', '7', '26']
['4', '7', '29']
['4', '8', '26']
['4', '8', '27']
['4', '8', '28']
['4', '9', '26']
['4', '9', '27']
['4', '9', '29']
