15
5
['34', '22']
['0', '18']
['1', '11']
['9', '12']
['0', '9']
['1', '4']
['1', '2']
['2', '11']
['3', '6']
['0', '5']
['1', '7']
['1', '4']
['16', '25']
['2', '5']
['17', '5']
['8', '6']
['24', '11']
['12', '23']
['2', '15']
['23', '7']
['8', '17']
['16', '11']
['0', '10']
['2', '37']
['4', '7']
['11', '4']
['10', '7']
['9', '10']
['18', '13']
['19', '22']
['26', '19']
['0', '7']
['8', '3']
['3', '6']
['17', '12']
['14', '15']
['18', '14']
['33', '15']
['3', '21']
['5', '7']
['3', '5']
['25', '4']
['49', '5']
['39', '7']
['33', '23']
['1', '41']
['3', '31']
['19', '29']
['19', '31']
['41', '4']
['0', '10']
['16', '11']
['11', '4']
['49', '5']
['3', '6']
['19', '29']
['9', '12']
['2', '11']
['1', '4']
['0', '5']
['2', '37']
['1', '4']
['17', '12']
['16', '25']
['2', '11']
['1', '4']
['2', '11']
['11', '4']
['33', '15']
['17', '12']
['17', '5']
['4', '7']
['9', '12']
['0', '7']
['33', '23']
['11', '4']
['3', '6']
['3', '21']
['16', '25']
['16', '11']
['1', '7']
['0', '18']
['1', '4']
['1', '4']
['25', '4']
['39', '7']
['24', '11']
['3', '5']
['10', '7']
['18', '13']
['8', '6']
['11', '4']
['19', '29']
['8', '17']
['1', '41']
['17', '5']
['1', '11']
['3', '5']
['2', '5']
['23', '7']
