6
10
['0', '1', '2']
['42', '14', '25', '28', '40']
['34', '41', '26', '13', '23']
['12', '48', '3', '17', '7']
['14', '25', '17', '31', '8']
['27', '21', '25', '46', '12']
['31', '4', '29', '13', '15']
['36', '10', '14', '16', '49']
['41', '14', '2', '29', '26']
['46', '48', '40', '1', '45']
['5', '6', '17', '11', '44']
['9', '49', '34', '46', '33']
['2', '42', '11', '16', '14']
['23', '25', '4', '10', '29']
['38', '43', '24', '47', '41']
['6', '5', '24', '48', '21']
['46', '45', '20', '40', '39']
['27', '40', '28', '19', '13']
['1', '37', '36', '6', '30']
['34', '45', '21', '43', '5']
['48', '9', '42', '11', '4']
['5', '18', '46', '19', '3']
['47', '48', '45', '19', '18']
['17', '46', '44', '1', '12']
['3', '8', '26', '28', '12']
['0', '3', '16', '40', '35']
['47', '45', '27', '15', '40']
['17', '47', '33', '44', '38']
['30', '46', '18', '33', '22']
['18', '44', '47', '5', '23']
['13', '22', '29', '18', '42']
['49', '30', '37', '32', '45']
['13', '25', '1', '35', '48']
['27', '35', '1', '21', '25']
['8', '21', '28', '6', '14']
['47', '8', '41', '42', '40']
['3', '45', '0', '43', '41']
['29', '13', '14', '44', '38']
['20', '40', '5', '1', '19']
['31', '11', '1', '35', '10']
['18', '39', '15', '43', '17']
['33', '47', '29', '40', '30']
['45', '43', '19', '23', '9']
['16', '31', '21', '0', '42']
['13', '29', '40', '0', '38']
['24', '25', '6', '29', '7']
['29', '16', '25', '28', '43']
['39', '8', '35', '33', '22']
['23', '49', '48', '19', '4']
['14', '16', '26', '30', '45']
