5
10
['12lala', '44lala']
['9lala', '39lala']
['36lala', '33lala']
['34lala', '30lala']
['25lala', '3lala']
['4lala', '2lala']
['4lala', '36lala']
['1lala', '38lala']
['1lala', '29lala']
['28lala', '13lala']
['39lala', '3lala']
['28lala', '10lala']
['21lala', '48lala']
['17lala', '15lala']
['47lala', '9lala']
['11lala', '47lala']
['28lala', '45lala']
['46lala', '28lala']
['21lala', '34lala']
['19lala', '33lala']
['10lala', '13lala']
['13lala', '35lala']
['47lala', '21lala']
['22lala', '7lala']
['38lala', '46lala']
['15lala', '11lala']
['43lala', '30lala']
['9lala', '32lala']
['4lala', '31lala']
['2lala', '39lala']
['7lala', '45lala']
['20lala', '34lala']
['44lala', '40lala']
['0lala', '44lala']
['34lala', '45lala']
['19lala', '27lala']
['5lala', '45lala']
['22lala', '36lala']
['2lala', '33lala']
['9lala', '5lala']
['46lala', '7lala']
['7lala', '6lala']
['24lala', '39lala']
['40lala', '12lala']
['24lala', '29lala']
['37lala', '45lala']
['5lala', '36lala']
['35lala', '48lala']
['37lala', '46lala']
['27lala', '40lala']
['11lala', '36lala']
['36lala', '34lala']
['49lala', '18lala']
['11lala', '1lala']
['11lala', '18lala']
['4lala', '0lala']
['15lala', '19lala']
['45lala', '38lala']
['19lala', '38lala']
['26lala', '4lala']
['43lala', '18lala']
['16lala', '31lala']
['1lala', '49lala']
['23lala', '20lala']
['9lala', '6lala']
['3lala', '5lala']
['33lala', '23lala']
['34lala', '33lala']
['6lala', '2lala']
['11lala', '39lala']
['43lala', '31lala']
['2lala', '10lala']
['43lala', '12lala']
['1lala', '29lala']
['8lala', '30lala']
['37lala', '10lala']
['46lala', '19lala']
['8lala', '37lala']
['20lala', '31lala']
['1lala', '5lala']
['17lala', '36lala']
['14lala', '27lala']
['44lala', '36lala']
['38lala', '4lala']
['30lala', '5lala']
['2lala', '28lala']
['28lala', '10lala']
['34lala', '29lala']
['1lala', '12lala']
['2lala', '38lala']
['38lala', '22lala']
['17lala', '12lala']
['23lala', '42lala']
['42lala', '9lala']
['43lala', '36lala']
['8lala', '37lala']
['25lala', '10lala']
['41lala', '47lala']
['20lala', '34lala']
['33lala', '43lala']
