8
10
['AAH', 'ABU', 'ABH', 'ABQ', 'AAU']
['AAU', 'ABU', 'AAO', 'ABH', 'AAW']
['AAP', 'ABU', 'AAW', 'AAU', 'AAO']
['ABU', 'AAU', 'AAW', 'AAO', 'ABQ']
['ABU', 'AAH', 'AAP', 'ABQ', 'AAW']
['AAO', 'ABQ', 'ABH', 'AAH', 'ABU']
['AAH', 'AAW', 'ABQ', 'AAU', 'AAP']
['ABU', 'AAO', 'ABQ', 'AAU', 'AAH']
['ABU', 'AAO', 'ABH', 'ABQ', 'AAH']
['ABQ', 'AAU', 'ABU', 'AAH', 'AAO']
['AAP', 'AAW', 'ABH', 'ABQ', 'ABU']
['ABH', 'ABU', 'AAH', 'AAP', 'AAW']
['ABH', 'AAU', 'AAP', 'AAH', 'AAO']
['AAO', 'AAU', 'AAP', 'ABH', 'AAH']
['ABU', 'AAO', 'AAP', 'AAW', 'ABH']
['AAU', 'AAO', 'ABH', 'AAH', 'ABU']
['AAX', 'AAN', 'ABT', 'ABC', 'AAE']
['AAN', 'AAX', 'AAY', 'ABG', 'ABC']
['AAE', 'ABT', 'AAX', 'ABC', 'AAY']
['AAX', 'AAN', 'AAY', 'ABG', 'ABT']
['AAN', 'ABP', 'AAE', 'ABT', 'AAX']
['ABP', 'AAE', 'AAN', 'ABG', 'ABC']
['AAN', 'ABG', 'AAY', 'ABC', 'AAX']
['ABC', 'ABG', 'AAX', 'ABP', 'AAE']
['AAE', 'ABG', 'ABC', 'ABP', 'AAX']
['ABT', 'AAN', 'ABP', 'AAX', 'AAE']
['ABC', 'AAX', 'ABP', 'AAY', 'ABT']
['AAX', 'ABP', 'AAE', 'AAY', 'ABG']
['ABG', 'ABP', 'AAN', 'ABC', 'ABT']
['ABP', 'ABT', 'ABG', 'AAY', 'AAX']
['AAY', 'ABP', 'AAX', 'ABG', 'ABT']
['AAE', 'ABC', 'AAX', 'ABG', 'ABT']
['ABO', 'ABL', 'ABA', 'ABB', 'ABY']
['ABB', 'AAD', 'ABL', 'ABO', 'ABY']
['ABA', 'ABN', 'AAD', 'AAB', 'ABO']
['AAB', 'ABO', 'ABB', 'ABN', 'ABL']
['AAB', 'AAD', 'ABB', 'ABY', 'ABL']
['AAD', 'ABL', 'ABB', 'ABN', 'ABY']
['AAD', 'ABA', 'ABN', 'ABL', 'AAB']
['AAD', 'ABN', 'ABO', 'ABL', 'ABY']
['ABA', 'ABY', 'AAD', 'ABN', 'ABB']
['AAD', 'ABO', 'ABA', 'AAB', 'ABL']
['ABL', 'ABN', 'AAD', 'ABA', 'ABO']
['ABB', 'ABN', 'ABO', 'ABL', 'ABY']
['ABA', 'AAD', 'AAB', 'ABB', 'ABN']
['ABL', 'ABB', 'AAB', 'ABA', 'ABN']
['ABL', 'ABO', 'ABY', 'ABB', 'ABA']
['AAB', 'ABO', 'ABL', 'ABY', 'AAD']
