['194', '410', '660', '160', '119', '524', '210', '328', '199', '583', '559', '121', '736', '943', '233', '807', '562', '977', '176', '600', '13', '646', '976', '679', '37', '152', '719']
['795', '232', '451', '275', '156', '297', '311', '78', '65', '177', '165', '883', '780', '217', '11', '666', '899', '481', '480', '571', '356', '761', '551', '893', '967', '786', '665']
['727', '810', '774', '286', '529', '765', '631', '941', '534', '885', '678', '892', '108', '591', '266', '218', '809', '492', '198', '981', '486', '731', '841', '767', '887', '782', '949']
['351', '753', '915', '250', '759', '611', '473', '479', '982', '985', '447', '331', '34', '830', '603', '865', '874', '173', '711', '488', '692', '304', '344', '971', '226', '443', '236', '939']
['399', '112', '33', '863', '955', '251', '847', '758', '560', '837', '261', '556', '783', '636', '368', '722', '963', '143', '638', '773', '182', '158', '464', '538', '860', '439', '856', '706']
['663', '989', '195', '635', '821', '771', '100', '341', '609', '392', '454', '98', '362', '962', '932', '512', '222', '832', '958', '659', '87', '179', '587', '751', '127', '744', '576', '145']
['620', '558', '861', '440', '770', '573', '118', '900', '162', '824', '545', '906', '364', '928', '83', '140', '894', '371', '605', '463', '504', '271', '568', '438', '191', '284', '201', '926']
['285', '917', '748', '714', '387', '772', '305', '836', '828', '884', '287', '643', '208', '613', '219', '625', '763', '672', '141', '407', '153', '584', '521', '889', '923', '724', '739', '702']
['511', '223', '648', '325', '623', '888', '831', '120', '904', '570', '938', '10', '205', '167', '903', '721', '315', '416', '482', '130', '269', '178', '468', '70', '45', '920', '357', '460']
['95', '673', '277', '793', '898', '855', '589', '628', '565', '664', '80', '844', '365', '150', '335', '681', '728', '608', '172', '332', '340', '817', '520', '857', '604', '878', '530', '911']
['586', '539', '633', '973', '128', '404', '367', '930', '563', '881', '241', '794', '797', '170', '993', '879', '502', '802', '712', '996', '245', '804', '134', '453', '737', '79', '116', '959']
['318', '627', '209', '5', '827', '849', '420', '835', '577', '853', '215', '909', '919', '97', '157', '390', '616', '431', '921', '735', '189', '954', '507', '373', '353', '415', '718', '84']
['383', '925', '561', '812', '148', '360', '147', '785', '515', '974', '610', '48', '244', '637', '476', '811', '575', '216', '111', '323', '58', '796', '621', '472', '475', '82', '252', '988', '138']
['242', '536', '593', '683', '180', '316', '161', '441', '377', '113', '680', '272', '749', '458', '430', '282', '937', '875', '674', '22', '240', '437', '867', '694', '89', '376', '710', '321', '27']
['845', '532', '969', '238', '31', '813', '640', '602', '854', '506', '135', '99', '720', '975', '675', '639', '709', '730', '877', '228', '687', '171', '19', '74', '50', '752', '840', '288', '361']
['433', '246', '669', '525', '224', '685', '59', '494', '184', '418', '185', '843', '734', '497', '348', '324', '485', '649', '110', '869', '490', '870', '510', '873', '580', '918', '944', '784', '897']
['289', '757', '106', '320', '535', '450', '579', '572', '307', '803', '327', '834', '314', '826', '352', '544', '55', '229', '43', '132', '423', '412', '806', '403', '513', '656', '426', '994', '370']
['466', '17', '71', '691', '864', '278', '896', '552', '389', '471', '302', '394', '442', '322', '595', '388', '445', '51', '594', '945', '657', '446', '7', '281', '927', '18', '319', '940', '333']
['469', '359', '670', '668', '384', '306', '872', '336', '741', '61', '505', '273', '248', '262', '725', '309', '913', '850', '548', '998', '829', '704', '567', '260', '733', '815', '755', '707', '740']
['211', '125', '645', '890', '684', '20', '997', '516', '107', '992', '819', '16', '2', '478', '212', '557', '38', '614', '346', '690', '624', '342', '790', '658', '256', '14', '105', '207', '24']
['651', '555', '789', '946', '234', '983', '596', '588', '429', '230', '168', '354', '301', '459', '308', '566', '848', '705', '501', '995', '428', '984', '329', '978', '126', '295', '931', '474', '942']
['901', '696', '146', '581', '129', '414', '366', '519', '933', '585', '632', '991', '950', '231', '221', '961', '661', '422', '30', '461', '612', '114', '715', '952', '617', '547', '553', '68', '689']
['708', '8', '634', '369', '434', '375', '541', '776', '227', '381', '788', '574', '47', '910', '163', '358', '255', '197', '966', '452', '15', '444', '948', '6', '647', '970', '543', '592', '882']
