['664', '897', '364', '289', '796', '285', '44', '281', '721', '877', '571', '28', '339', '192', '191', '892', '360', '591', '132', '745', '807', '545', '473', '138', '746', '94', '486', '226', '309', '729', '644', '961', '867', '959', '406', '540', '220', '57', '625', '879', '922', '188', '291', '509', '723', '677', '415', '344', '468']
['609', '292', '718', '902', '41', '238', '939', '70', '376', '553', '944', '719', '828', '628', '349', '240', '435', '781', '751', '951', '627', '862', '147', '137', '439', '501', '948', '969', '209', '649', '926', '255', '669', '194', '495', '512', '382', '425', '74', '392', '841', '708', '144', '492', '210', '890', '742', '510', '409']
['937', '136', '258', '160', '81', '204', '899', '227', '536', '248', '97', '861', '546', '778', '513', '150', '470', '977', '976', '452', '911', '357', '530', '682', '185', '558', '689', '653', '416', '936', '17', '363', '707', '61', '480', '844', '125', '559', '931', '869', '127', '650', '239', '22', '825', '293', '968', '76', '715']
['323', '784', '834', '907', '822', '811', '401', '970', '603', '183', '946', '799', '391', '335', '914', '860', '806', '105', '499', '161', '532', '552', '567', '576', '207', '379', '711', '840', '166', '589', '856', '956', '324', '502', '301', '279', '770', '935', '320', '832', '635', '843', '622', '165', '176', '118', '954', '906', '266']
['131', '270', '884', '498', '942', '333', '247', '346', '224', '102', '596', '5', '846', '80', '384', '421', '332', '271', '527', '684', '964', '168', '71', '18', '891', '905', '302', '827', '141', '287', '659', '950', '395', '218', '662', '760', '551', '783', '713', '800', '777', '660', '314', '550', '152', '9', '602', '619', '515']
['114', '326', '75', '962', '802', '598', '654', '871', '394', '972', '115', '607', '852', '428', '547', '202', '701', '63', '881', '213', '661', '916', '674', '383', '203', '878', '86', '419', '773', '726', '487', '140', '798', '107', '234', '696', '447', '932', '274', '313', '331', '616', '216', '938', '69', '975', '37', '479', '600']
['297', '504', '663', '39', '763', '673', '181', '16', '573', '876', '172', '371', '111', '500', '128', '647', '196', '374', '242', '915', '850', '231', '402', '574', '407', '761', '237', '705', '580', '885', '903', '0', '534', '356', '7', '361', '820', '303', '60', '483', '122', '222', '816', '32', '245', '494', '370', '503', '520']
['895', '133', '538', '463', '296', '436', '243', '645', '475', '831', '928', '1', '429', '801', '482', '792', '749', '275', '257', '299', '184', '373', '695', '365', '810', '139', '123', '187', '113', '588', '808', '372', '913', '747', '525', '604', '467', '523', '286', '854', '637', '282', '874', '427', '422', '389', '170', '710', '465']
['149', '457', '853', '730', '477', '143', '668', '617', '65', '791', '894', '539', '769', '264', '965', '755', '246', '305', '393', '414', '423', '327', '613', '462', '193', '642', '967', '250', '431', '772', '803', '925', '634', '79', '211', '251', '581', '315', '449', '739', '775', '397', '259', '178', '230', '249', '311', '570', '387']
['632', '785', '244', '116', '142', '563', '353', '676', '450', '269', '87', '868', '403', '875', '531', '261', '754', '918', '328', '973', '66', '587', '195', '940', '839', '601', '219', '362', '12', '27', '228', '330', '556', '952', '254', '516', '889', '582', '793', '898', '697', '836', '336', '584', '568', '544', '88', '909', '608']
['98', '48', '847', '555', '765', '651', '548', '454', '779', '908', '631', '655', '599', '163', '923', '870', '750', '461', '953', '590', '359', '789', '720', '340', '716', '308', '186', '29', '329', '851', '253', '20', '934', '420', '955', '786', '8', '910', '633', '19', '448', '90', '130', '692', '691', '518', '54', '643', '294']
