['208', '6', '127', '737', '358', '622', '344', '71']
['129', '592', '908', '893', '630', '102', '653', '64']
['365', '109', '909', '602', '248', '187', '650', '659']
['902', '475', '443', '117', '661', '131', '473', '389']
['478', '378', '258', '635', '33', '803', '11', '985']
['89', '706', '77', '84', '370', '605', '531', '489']
['700', '796', '921', '987', '515', '824', '236', '254']
['366', '585', '98', '340', '569', '207', '590', '426']
['963', '994', '791', '405', '165', '892', '506', '850']
['332', '831', '221', '233', '793', '671', '774', '562']
['757', '596', '890', '822', '816', '715', '245', '713']
['911', '992', '319', '811', '907', '583', '518', '537']
['474', '946', '577', '19', '599', '20', '222', '942']
['274', '429', '447', '839', '703', '927', '32', '146']
['114', '387', '717', '398', '790', '72', '247', '873']
['956', '206', '66', '525', '231', '352', '651', '3']
['571', '951', '939', '60', '719', '714', '974', '557']
['373', '864', '865', '83', '773', '960', '836', '806']
['912', '559', '138', '377', '219', '87', '101', '472']
['986', '978', '637', '59', '823', '390', '16', '467']
['843', '751', '842', '294', '303', '459', '53', '130']
['739', '705', '371', '414', '521', '672', '648', '517']
['304', '718', '954', '67', '450', '116', '975', '82']
['693', '139', '288', '376', '626', '482', '623', '463']
['778', '225', '279', '27', '716', '364', '697', '763']
['460', '242', '787', '884', '74', '534', '35', '249']
['586', '511', '695', '827', '218', '694', '278', '466']
['38', '514', '810', '988', '928', '63', '931', '291']
['265', '546', '558', '415', '646', '830', '17', '457']
['619', '143', '185', '769', '507', '244', '609', '685']
['24', '745', '292', '283', '880', '767', '289', '446']
['736', '820', '234', '182', '838', '148', '691', '812']
['184', '707', '43', '284', '227', '618', '564', '78']
['666', '299', '406', '169', '30', '307', '721', '122']
['993', '735', '684', '668', '663', '80', '580', '667']
['813', '272', '501', '159', '92', '452', '612', '10']
['532', '519', '368', '490', '134', '400', '456', '601']
['215', '343', '953', '357', '106', '959', '943', '454']
['542', '497', '570', '413', '329', '345', '655', '36']
['917', '349', '866', '775', '965', '502', '847', '44']
['761', '334', '31', '879', '538', '449', '75', '957']
['494', '423', '573', '834', '679', '982', '339', '214']
['153', '487', '897', '991', '730', '193', '642', '753']
['720', '804', '574', '261', '621', '230', '575', '800']
['195', '543', '808', '933', '85', '795', '21', '825']
['895', '199', '937', '476', '312', '701', '136', '47']
['163', '293', '144', '384', '754', '624', '867', '246']
['726', '25', '914', '722', '615', '470', '904', '645']
