['182', '884', '847', '845', '781', '628', '926', '554', '259', '220', '541', '462', '98', '606', '545', '885', '172', '143', '718', '12', '860', '251', '39', '714', '567', '173', '809', '74', '550']
['769', '617', '581', '376', '710', '919', '344', '379', '203', '670', '77', '852', '163', '475', '154', '582', '897', '924', '682', '855', '467', '531', '709', '907', '746', '669', '630', '817', '270']
['731', '515', '43', '345', '805', '825', '807', '401', '776', '749', '477', '432', '308', '58', '856', '175', '218', '707', '52', '53', '706', '222', '13', '415', '866', '564', '395', '348', '113']
['798', '878', '241', '719', '810', '247', '287', '157', '402', '243', '715', '210', '906', '465', '277', '321', '109', '613', '383', '436', '737', '442', '388', '42', '566', '140', '264', '20', '36']
['903', '228', '176', '560', '775', '1', '844', '517', '469', '559', '492', '67', '225', '324', '177', '822', '767', '361', '119', '295', '82', '535', '281', '699', '888', '681', '357', '262', '68']
['28', '73', '208', '609', '331', '420', '9', '543', '742', '644', '144', '392', '871', '894', '133', '723', '877', '814', '837', '423', '236', '527', '578', '793', '30', '905', '341', '562', '599']
['760', '727', '343', '701', '271', '269', '597', '618', '698', '696', '280', '165', '634', '215', '45', '815', '643', '146', '313', '325', '654', '363', '703', '443', '604', '533', '679', '145', '881']
['879', '408', '421', '502', '729', '227', '540', '99', '500', '483', '889', '901', '358', '197', '180', '211', '505', '129', '430', '184', '108', '44', '179', '279', '641', '869', '548', '216', '394']
['496', '371', '764', '762', '900', '528', '70', '250', '62', '466', '390', '569', '327', '538', '191', '54', '811', '257', '117', '464', '342', '65', '790', '779', '655', '41', '199', '382', '292']
['174', '602', '97', '648', '513', '71', '912', '915', '192', '302', '812', '858', '298', '887', '835', '656', '296', '238', '651', '328', '94', '635', '305', '494', '56', '300', '642', '631', '171']
['22', '680', '537', '662', '868', '570', '526', '792', '623', '162', '125', '406', '674', '863', '693', '159', '637', '263', '511', '337', '347', '354', '629', '804', '867', '26', '864', '246', '384']
['495', '204', '414', '470', '336', '121', '391', '565', '826', '416', '892', '332', '231', '784', '741', '921', '663', '350', '186', '441', '48', '739', '821', '66', '369', '106', '695', '373', '375']
['360', '683', '115', '38', '132', '774', '841', '449', '49', '482', '638', '7', '579', '874', '329', '374', '557', '600', '552', '558', '155', '2', '615', '446', '830', '319', '720', '828', '272']
['529', '448', '920', '501', '10', '440', '468', '25', '451', '233', '290', '380', '484', '544', '503', '476', '801', '893', '522', '83', '152', '255', '352', '33', '431', '584', '486', '765', '410']
['417', '923', '411', '917', '312', '687', '359', '633', '346', '330', '245', '929', '588', '235', '367', '546', '563', '850', '185', '428', '50', '862', '429', '759', '253', '797', '122', '207', '189']
