['496', '660', '22', '412', '662', '223', '10', '440', '748', '92', '623', '585', '656', '472', '620', '62', '626', '651', '771', '337', '11', '811', '282', '65', '437', '804', '576', '246', '95']
['73', '208', '609', '331', '760', '727', '701', '495', '204', '414', '470', '554', '420', '247', '9', '742', '644', '919', '344', '391', '565', '749', '477', '57', '750', '192', '302', '877', '814']
['64', '574', '752', '844', '617', '581', '719', '392', '807', '723', '379', '483', '852', '280', '58', '505', '906', '101', '383', '924', '654', '53', '281', '738', '357', '746', '20', '564', '599']
['85', '622', '794', '43', '269', '401', '307', '287', '606', '402', '243', '163', '165', '856', '200', '465', '439', '848', '436', '682', '363', '706', '388', '883', '264', '669', '881', '395', '603']
['228', '668', '343', '678', '800', '400', '871', '776', '330', '597', '322', '693', '590', '423', '327', '367', '45', '385', '643', '647', '119', '428', '888', '491', '604', '66', '610', '740', '207']
['910', '176', '917', '517', '526', '359', '245', '177', '166', '159', '591', '236', '538', '546', '361', '624', '146', '659', '816', '793', '30', '295', '50', '566', '531', '533', '270', '74', '189']
['417', '884', '560', '312', '271', '792', '99', '894', '929', '618', '670', '698', '432', '527', '822', '563', '109', '582', '313', '707', '82', '862', '140', '709', '679', '415', '384', '809', '262']
['182', '513', '105', '912', '5', '16', '789', '887', '89', '125', '303', '351', '211', '857', '238', '673', '263', '763', '212', '44', '691', '785', '305', '632', '629', '777', '251', '479', '171']
['104', '758', '124', '774', '842', '474', '592', '353', '233', '40', '579', '304', '773', '834', '476', '103', '913', '458', '6', '802', '3', '352', '334', '821', '615', '196', '714', '720', '370']
['167', '891', '376', '572', '38', '141', '221', '916', '575', '25', '487', '638', '457', '32', '60', '854', '544', '751', '600', '178', '63', '76', '255', '404', '584', '873', '173', '869', '830']
['19', '116', '710', '523', '314', '386', '132', '556', '925', '320', '806', '451', '248', '7', '242', '14', '684', '485', '427', '799', '503', '625', '552', '193', '349', '27', '733', '549', '319']
['875', '689', '411', '160', '194', '501', '169', '825', '861', '114', '70', '274', '157', '667', '571', '318', '843', '801', '21', '675', '136', '864', '369', '486', '36', '853', '90', '677', '928']
['435', '688', '51', '478', '100', '666', '849', '195', '886', '449', '15', '49', '722', '79', '219', '614', '380', '81', '374', '596', '55', '258', '499', '724', '558', '91', '890', '672', '229']
['878', '481', '241', '360', '810', '345', '421', '708', '528', '317', '492', '134', '715', '475', '634', '175', '356', '277', '737', '855', '703', '222', '244', '42', '372', '718', '630', '2', '348']
['909', '126', '310', '115', '455', '795', '399', '898', '468', '213', '482', '813', '364', '254', '484', '766', '557', '275', '463', '704', '284', '152', '519', '551', '155', '190', '446', '573', '589']
['267', '333', '419', '438', '529', '730', '220', '593', '227', '690', '902', '520', '889', '433', '338', '201', '183', '186', '739', '608', '209', '4', '907', '286', '373', '676', '382', '725', '68']
['761', '702', '452', '872', '239', '762', '607', '202', '832', '892', '530', '329', '518', '471', '396', '893', '646', '18', '918', '230', '803', '59', '431', '84', '765', '859', '41', '272', '743']
['648', '299', '846', '447', '407', '260', '298', '768', '224', '914', '120', '180', '405', '296', '61', '605', '381', '276', '164', '108', '362', '635', '525', '300', '770', '598', '534', '631', '148']
['315', '425', '683', '896', '217', '540', '735', '123', '640', '882', '332', '865', '658', '686', '459', '823', '880', '921', '818', '745', '831', '35', '497', '653', '339', '410', '142', '266', '118']
['28', '639', '787', '775', '769', '879', '121', '144', '133', '67', '98', '700', '500', '77', '696', '308', '578', '545', '147', '613', '897', '325', '52', '535', '454', '681', '145', '866', '562']
['97', '661', '311', '453', '539', '729', '161', '858', '397', '131', '791', '819', '197', '838', '736', '521', '726', '904', '237', '514', '184', '524', '94', '17', '56', '8', '580', '716', '621']
['764', '923', '537', '69', '543', '508', '633', '225', '283', '674', '756', '409', '390', '588', '637', '532', '354', '153', '117', '850', '779', '429', '26', '149', '39', '249', '655', '199', '797']
['371', '680', '868', '542', '721', '713', '162', '316', '406', '786', '188', '466', '671', '328', '273', '650', '347', '234', '291', '619', '257', '905', '80', '790', '460', '867', '829', '37', '253']
['783', '798', '293', '288', '841', '652', '138', '712', '290', '874', '366', '601', '490', '927', '732', '93', '473', '587', '522', '187', '885', '285', '824', '168', '612', '664', '33', '860', '828']
['174', '368', '355', '34', '734', '547', '127', '102', '506', '705', '741', '754', '685', '697', '820', '170', '206', '48', '365', '717', '46', '23', '83', '151', '106', '445', '568', '375', '512']
['424', '1', '845', '259', '541', '462', '96', '203', '210', '154', '215', '218', '181', '321', '158', '442', '467', '443', '13', '172', '444', '12', '817', '908', '567', '695', '113', '398', '550']
['198', '595', '456', '434', '448', '772', '408', '450', '261', '577', '645', '326', '323', '901', '289', '796', '876', '480', '393', '441', '516', '757', '111', '78', '340', '403', '711', '548', '139']
['561', '418', '29', '107', '781', '753', '336', '780', '461', '75', '469', '839', '555', '594', '231', '922', '130', '692', '728', '611', '663', '895', '510', '840', '135', '641', '422', '394', '498']
['602', '504', '649', '808', '788', '502', '309', '900', '812', '755', '616', '377', '0', '358', '31', '226', '493', '88', '583', '694', '430', '335', '279', '627', '494', '426', '747', '137', '216']
['71', '156', '915', '920', '851', '731', '378', '805', '389', '835', '833', '278', '509', '488', '250', '87', '191', '297', '511', '232', '54', '778', '342', '240', '642', '143', '72', '899', '292']
['903', '628', '926', '570', '826', '416', '687', '346', '559', '324', '387', '863', '489', '837', '569', '235', '767', '205', '815', '86', '268', '179', '464', '185', '699', '759', '507', '586', '341', '122']
['294', '847', '665', '265', '870', '515', '657', '536', '301', '214', '836', '827', '784', '256', '413', '24', '306', '252', '350', '129', '911', '150', '636', '47', '744', '782', '553', '112', '110', '128']
