['385', '241', '157', '645', '299', '566', '609', '817', '284', '67', '683', '346', '197', '712', '222', '84', '891', '76', '584', '367', '501', '740', '819', '869', '173', '842', '353', '587', '20', '728', '580', '111', '607', '351', '264', '840', '541', '859', '99', '62', '191', '694', '527']
['660', '653', '743', '155', '666', '887', '543', '235', '394', '633', '894', '711', '441', '848', '614', '280', '322', '31', '797', '421', '163', '705', '306', '868', '690', '879', '652', '569', '127', '591', '525', '48', '677', '650', '81', '695', '166', '557', '384', '854', '637', '847', '398']
['479', '8', '220', '177', '799', '855', '34', '58', '296', '434', '313', '670', '51', '412', '142', '386', '26', '755', '255', '357', '716', '727', '268', '80', '679', '522', '309', '4', '460', '252', '545', '115', '528', '687', '292', '800', '432', '110', '407', '744', '588', '597', '674']
['300', '706', '631', '201', '542', '621', '15', '141', '209', '465', '216', '630', '496', '841', '717', '661', '345', '721', '361', '49', '391', '474', '598', '207', '150', '811', '459', '323', '832', '45', '546', '888', '160', '143', '876', '464', '382', '436', '33', '601', '502', '2', '756']
['117', '365', '105', '290', '898', '230', '83', '396', '194', '613', '199', '571', '250', '433', '229', '734', '462', '698', '454', '413', '520', '308', '574', '374', '478', '794', '515', '161', '402', '852', '828', '68', '836', '790', '387', '702', '317', '452', '79', '226', '826', '77', '218']
['846', '624', '506', '725', '373', '440', '221', '777', '844', '338', '579', '875', '274', '91', '44', '213', '258', '43', '148', '659', '476', '724', '872', '75', '672', '445', '60', '331', '552', '301', '97', '629', '708', '425', '362', '786', '275', '822', '225', '291', '801', '119', '164']
['389', '287', '589', '505', '508', '484', '513', '896', '585', '273', '531', '860', '198', '814', '312', '238', '36', '57', '234', '490', '523', '217', '865', '247', '837', '521', '503', '232', '125', '35', '843', '664', '174', '547', '829', '497', '443', '537', '30', '812', '884', '368', '481', '107']
['162', '182', '380', '65', '759', '200', '492', '70', '134', '298', '667', '458', '509', '228', '682', '636', '540', '642', '24', '186', '482', '796', '870', '136', '168', '378', '731', '320', '122', '722', '393', '485', '240', '146', '39', '866', '742', '704', '568', '129', '758', '256', '719', '516', '263', '793']
['379', '343', '804', '553', '823', '530', '342', '662', '205', '615', '606', '475', '253', '419', '560', '815', '701', '604', '397', '340', '648', '554', '897', '53', '408', '749', '821', '818', '450', '684', '586', '535', '538', '774', '375', '825', '262', '593', '831', '573', '106', '471', '750', '507', '784', '850']
['417', '180', '98', '86', '185', '562', '61', '123', '400', '526', '66', '798', '47', '350', '249', '431', '555', '634', '318', '890', '246', '210', '71', '422', '556', '243', '415', '809', '154', '623', '564', '881', '245', '294', '622', '673', '544', '685', '406', '424', '18', '461', '524', '549', '590', '416']
['208', '856', '757', '696', '447', '473', '858', '517', '610', '493', '893', '581', '179', '697', '489', '827', '619', '114', '594', '617', '411', '27', '195', '582', '805', '358', '470', '347', '281', '776', '830', '880', '270', '170', '366', '733', '514', '845', '665', '403', '732', '772', '227', '17', '22', '761']
['261', '429', '627', '153', '802', '6', '159', '561', '212', '376', '886', '423', '219', '438', '778', '41', '883', '457', '303', '494', '810', '583', '184', '314', '729', '693', '278', '113', '446', '456', '628', '730', '236', '649', '602', '283', '352', '74', '558', '488', '499', '491', '567', '315', '533', '56']
['211', '767', '32', '158', '21', '738', '747', '512', '90', '626', '723', '295', '833', '640', '12', '137', '69', '765', '349', '764', '289', '864', '789', '54', '271', '9', '337', '224', '223', '171', '25', '483', '72', '688', '644', '285', '369', '700', '206', '803', '190', '739', '851', '92', '1', '116']
['307', '133', '646', '405', '40', '668', '3', '466', '873', '737', '536', '625', '675', '449', '863', '592', '780', '426', '895', '707', '286', '467', '835', '272', '550', '463', '231', '451', '686', '771', '563', '834', '13', '55', '332', '395', '824', '82', '333', '335', '651', '341', '741', '781', '348', '691']
['390', '773', '87', '608', '548', '269', '183', '78', '669', '532', '576', '820', '638', '16', '63', '813', '189', '254', '745', '410', '787', '279', '710', '130', '124', '188', '101', '377', '64', '595', '187', '144', '656', '172', '359', '611', '616', '575', '762', '769', '678', '572', '791', '23', '364', '565']
['469', '577', '248', '324', '334', '428', '453', '699', '751', '720', '237', '354', '192', '689', '816', '95', '663', '795', '267', '468', '175', '518', '736', '867', '871', '715', '156', '118', '126', '435', '427', '52', '316', '618', '85', '321', '5', '714', '878', '477', '244', '612', '599', '193', '392', '214']
['360', '657', '165', '726', '305', '147', '647', '93', '259', '251', '372', '167', '766', '233', '439', '399', '498', '304', '282', '620', '103', '718', '50', '600', '196', '120', '10', '135', '288', '404', '785', '139', '149', '635', '339', '654', '605', '265', '152', '500', '108', '839', '145', '504', '344', '632']
['448', '11', '692', '455', '329', '414', '472', '709', '102', '94', '203', '242', '181', '418', '401', '849', '363', '178', '681', '788', '444', '539', '889', '257', '838', '713', '853', '112', '330', '420', '862', '658', '763', '603', '808', '437', '578', '38', '570', '302', '319', '169', '138', '7', '42', '327']
['326', '746', '266', '96', '735', '19', '121', '510', '336', '519', '770', '104', '534', '277', '140', '760', '409', '0', '28', '783', '325', '551', '892', '861', '381', '655', '752', '388', '37', '792', '782', '775', '641', '643', '276', '748', '807', '100', '874', '703', '676', '14', '486', '671', '753', '529']
['511', '596', '131', '779', '754', '59', '882', '204', '639', '89', '311', '885', '877', '383', '899', '857', '151', '202', '680', '293', '46', '356', '88', '260', '297', '487', '215', '29', '176', '310', '495', '355', '128', '370', '132', '239', '768', '73', '109', '480', '328', '430', '559', '442', '806', '371']
