['163', '30', '744', '229', '743', '41', '383', '640', '22', '522', '696', '808', '207', '740', '820', '668', '112', '210', '659', '341', '791', '620', '182', '753', '552', '228', '107', '402', '474', '761', '613', '151', '798']
['720', '186', '711', '115', '456', '616', '103', '429', '275', '378', '144', '244', '650', '412', '334', '575', '793', '593', '475', '105', '391', '270', '636', '211', '646', '789', '97', '24', '675', '264', '199', '619', '405']
['531', '156', '206', '153', '209', '146', '632', '467', '106', '12', '392', '780', '448', '698', '201', '3', '297', '242', '250', '356', '353', '785', '639', '728', '57', '572', '727', '496', '840', '591', '327', '225', '672']
['386', '212', '566', '631', '282', '331', '628', '579', '787', '506', '340', '652', '16', '382', '494', '40', '267', '685', '482', '376', '247', '59', '322', '117', '612', '663', '133', '774', '147', '683', '316', '82', '523']
['577', '849', '141', '260', '584', '782', '230', '123', '187', '551', '573', '806', '241', '755', '702', '439', '803', '730', '505', '157', '217', '819', '822', '578', '52', '23', '399', '195', '189', '454', '465', '355', '466']
['509', '271', '533', '689', '653', '500', '365', '35', '269', '594', '136', '621', '760', '801', '473', '411', '25', '222', '308', '520', '415', '291', '718', '839', '700', '830', '342', '314', '737', '160', '408', '462', '337']
['751', '127', '304', '560', '710', '362', '556', '762', '215', '140', '543', '389', '332', '203', '10', '66', '490', '581', '34', '529', '204', '679', '2', '651', '287', '273', '423', '358', '715', '641', '184', '469', '71']
['363', '58', '841', '384', '838', '235', '595', '781', '130', '223', '550', '361', '854', '784', '645', '303', '329', '330', '167', '691', '178', '633', '259', '85', '453', '827', '444', '561', '310', '440', '851', '256', '150']
['460', '27', '162', '532', '586', '853', '80', '5', '306', '479', '729', '501', '169', '752', '309', '766', '704', '540', '661', '678', '676', '638', '669', '483', '213', '197', '54', '708', '654', '407', '154', '846', '272', '764']
['441', '524', '472', '796', '430', '627', '350', '508', '837', '132', '20', '44', '113', '507', '37', '797', '656', '63', '404', '257', '614', '777', '503', '170', '9', '312', '319', '196', '517', '783', '852', '373', '570', '338']
['11', '601', '736', '56', '748', '416', '776', '104', '17', '161', '72', '754', '292', '33', '726', '684', '202', '366', '812', '86', '347', '29', '548', '687', '834', '98', '262', '680', '425', '369', '813', '128', '175', '699']
['539', '46', '83', '409', '181', '36', '370', '295', '521', '265', '249', '108', '398', '693', '463', '804', '171', '318', '397', '596', '216', '478', '135', '525', '129', '55', '559', '323', '733', '49', '301', '442', '179', '623', '555']
['84', '705', '599', '610', '807', '375', '252', '553', '1', '433', '8', '238', '7', '847', '336', '608', '116', '828', '832', '598', '538', '335', '176', '188', '769', '110', '833', '712', '749', '617', '349', '750', '313', '707', '385']
['746', '111', '758', '246', '488', '121', '208', '498', '81', '695', '18', '734', '231', '239', '137', '534', '792', '227', '419', '515', '825', '219', '790', '836', '756', '438', '788', '745', '218', '535', '302', '174', '75', '738', '60']
['697', '200', '368', '681', '706', '722', '13', '449', '289', '293', '283', '582', '28', '294', '266', '609', '395', '826', '145', '558', '348', '164', '682', '618', '647', '451', '588', '443', '571', '119', '326', '321', '220', '731', '311']
['431', '274', '394', '93', '166', '78', '615', '843', '583', '31', '574', '428', '96', '88', '765', '602', '354', '468', '772', '205', '124', '459', '277', '67', '345', '214', '739', '845', '635', '114', '298', '380', '484', '721', '767']
['281', '183', '670', '379', '527', '657', '236', '544', '690', '26', '592', '90', '89', '418', '288', '709', '458', '485', '343', '226', '660', '518', '724', '258', '77', '165', '567', '406', '471', '91', '821', '142', '622', '351', '263']
['14', '511', '461', '692', '396', '74', '674', '589', '719', '799', '677', '817', '138', '648', '810', '253', '580', '172', '194', '716', '131', '481', '32', '177', '786', '557', '732', '424', '809', '770', '99', '100', '673', '528', '400']
['850', '630', '694', '794', '0', '637', '125', '447', '48', '426', '815', '344', '284', '607', '139', '605', '94', '526', '21', '193', '814', '603', '487', '403', '285', '317', '190', '43', '606', '245', '421', '658', '15', '818', '768']
['476', '554', '64', '372', '634', '625', '688', '333', '360', '45', '686', '126', '286', '795', '168', '92', '499', '180', '414', '192', '6', '671', '470', '268', '703', '514', '855', '87', '445', '604', '339', '296', '148', '723', '101']
['290', '568', '629', '185', '495', '735', '600', '701', '829', '62', '585', '233', '51', '255', '450', '725', '519', '118', '243', '626', '537', '70', '279', '713', '569', '434', '773', '823', '452', '393', '19', '763', '435', '248', '664']
['665', '831', '320', '778', '502', '464', '545', '42', '480', '73', '492', '47', '587', '477', '662', '530', '779', '4', '493', '155', '325', '597', '666', '576', '805', '158', '624', '547', '191', '324', '642', '377', '747', '152', '61']
['802', '562', '775', '667', '835', '541', '816', '491', '79', '717', '410', '374', '68', '811', '413', '76', '457', '364', '510', '232', '359', '417', '254', '50', '504', '224', '590', '486', '565', '159', '436', '771', '563', '387', '757']
['237', '69', '759', '455', '357', '497', '276', '221', '742', '299', '328', '536', '307', '134', '432', '251', '65', '714', '381', '390', '549', '280', '39', '352', '512', '401', '489', '564', '149', '143', '305', '842', '38', '261', '53']
['649', '546', '109', '102', '844', '346', '122', '278', '741', '371', '234', '848', '516', '437', '315', '542', '173', '446', '367', '198', '300', '95', '240', '513', '420', '120', '422', '824', '655', '388', '643', '611', '427', '644', '800']
