['836', '697', '561', '33', '162', '874', '336', '144', '511', '376', '554', '415', '729', '236', '131', '868', '66', '931', '390', '726', '249', '878', '206', '694', '940', '538', '109', '642', '870', '696', '30', '301', '240', '232', '334', '154', '137', '776', '230', '850', '335', '651']
['3', '767', '606', '481', '196', '702', '408', '567', '474', '722', '639', '13', '40', '700', '564', '310', '227', '57', '652', '37', '721', '417', '238', '470', '308', '185', '419', '968', '363', '869', '401', '77', '326', '657', '926', '942', '372', '124', '90', '911', '490', '887']
['12', '611', '38', '791', '841', '907', '701', '517', '98', '140', '165', '201', '629', '327', '921', '356', '453', '48', '934', '525', '739', '488', '860', '914', '122', '174', '65', '687', '519', '814', '63', '261', '556', '745', '531', '958', '633', '689', '364', '843', '275', '626']
['813', '71', '894', '285', '222', '225', '444', '191', '489', '703', '134', '565', '394', '355', '571', '479', '961', '586', '428', '46', '426', '516', '861', '75', '138', '818', '251', '152', '436', '677', '788', '288', '673', '82', '514', '62', '250', '575', '498', '899', '643', '577']
['332', '473', '541', '217', '773', '772', '545', '429', '792', '388', '674', '632', '583', '296', '129', '909', '383', '214', '913', '748', '941', '831', '39', '685', '264', '762', '617', '793', '518', '186', '852', '655', '851', '865', '593', '624', '316', '804', '774', '192', '616', '890']
['378', '93', '5', '381', '501', '682', '487', '442', '244', '4', '903', '654', '253', '515', '412', '366', '790', '298', '279', '128', '625', '243', '207', '433', '184', '939', '202', '881', '943', '157', '61', '631', '142', '8', '259', '435', '36', '602', '749', '136', '127', '963']
['252', '35', '180', '404', '197', '897', '371', '229', '397', '962', '649', '26', '18', '150', '448', '738', '294', '720', '312', '740', '402', '853', '52', '306', '187', '108', '267', '765', '95', '342', '927', '116', '862', '27', '557', '2', '54', '130', '70', '916', '896', '808', '492', '832', '908']
['764', '396', '328', '495', '737', '104', '620', '431', '258', '239', '807', '287', '265', '391', '16', '59', '424', '503', '635', '405', '313', '344', '797', '576', '594', '668', '658', '471', '666', '823', '771', '6', '523', '615', '133', '817', '960', '307', '410', '369', '605', '597', '163', '380', '468']
['97', '612', '507', '532', '608', '905', '919', '506', '377', '645', '885', '607', '141', '89', '499', '73', '176', '746', '135', '337', '937', '835', '493', '895', '341', '47', '178', '268', '891', '778', '923', '409', '145', '315', '803', '690', '957', '421', '297', '705', '420', '9', '783', '87', '361']
['585', '837', '882', '588', '637', '224', '846', '179', '938', '280', '295', '497', '504', '714', '587', '324', '508', '14', '353', '50', '944', '622', '562', '15', '211', '563', '826', '646', '592', '946', '101', '318', '857', '51', '19', '627', '375', '464', '25', '579', '912', '43', '17', '827', '235']
['732', '160', '824', '53', '55', '569', '662', '339', '786', '553', '730', '24', '198', '546', '945', '686', '329', '781', '863', '591', '932', '734', '589', '99', '888', '548', '457', '969', '691', '132', '208', '698', '902', '964', '193', '103', '455', '859', '794', '955', '775', '406', '84', '539', '80']
['277', '675', '866', '950', '304', '667', '810', '411', '848', '898', '952', '451', '284', '379', '262', '872', '718', '494', '610', '143', '28', '441', '596', '918', '452', '884', '628', '904', '544', '856', '893', '598', '925', '220', '478', '800', '346', '463', '956', '892', '953', '114', '636', '784', '672']
['537', '529', '522', '462', '472', '113', '766', '806', '679', '505', '437', '106', '430', '684', '512', '177', '535', '476', '723', '758', '971', '29', '118', '263', '76', '543', '901', '459', '935', '276', '231', '349', '580', '900', '438', '873', '879', '100', '299', '967', '549', '242', '595', '302', '159']
['102', '947', '676', '216', '314', '88', '760', '883', '223', '446', '560', '751', '386', '234', '83', '573', '210', '530', '559', '581', '147', '787', '664', '120', '96', '422', '256', '779', '427', '809', '663', '449', '79', '105', '149', '821', '966', '292', '389', '496', '483', '570', '121', '209', '717']
['485', '269', '385', '64', '343', '158', '67', '218', '155', '203', '574', '126', '374', '469', '382', '930', '785', '816', '181', '886', '200', '578', '164', '524', '125', '796', '970', '107', '91', '119', '226', '513', '683', '85', '169', '434', '699', '148', '358', '254', '761', '750', '656', '770', '609']
['661', '528', '170', '533', '395', '309', '398', '755', '621', '875', '692', '688', '527', '933', '948', '166', '757', '665', '440', '68', '272', '670', '756', '291', '445', '189', '78', '641', '768', '323', '644', '917', '281', '94', '21', '710', '117', '283', '855', '747', '351', '910', '41', '959', '44']
['733', '736', '839', '0', '486', '949', '906', '387', '321', '815', '257', '724', '805', '171', '32', '319', '274', '801', '811', '920', '156', '69', '45', '753', '558', '418', '373', '735', '828', '834', '618', '188', '540', '368', '844', '168', '551', '744', '780', '460', '273', '742', '929', '763', '706']
['802', '456', '42', '526', '311', '638', '365', '829', '648', '359', '443', '623', '924', '414', '367', '727', '634', '466', '833', '72', '812', '582', '194', '936', '467', '293', '10', '521', '219', '320', '237', '248', '640', '228', '842', '110', '743', '407', '289', '568', '954', '399', '245', '183', '357']
['393', '693', '432', '22', '199', '671', '604', '325', '502', '880', '547', '221', '348', '614', '647', '480', '20', '454', '175', '362', '491', '707', '858', '630', '820', '173', '350', '854', '195', '871', '789', '146', '413', '213', '840', '204', '725', '599', '584', '345', '260', '708', '161', '712', '153']
['482', '552', '799', '659', '233', '681', '795', '600', '278', '825', '331', '305', '965', '450', '613', '282', '534', '172', '704', '354', '590', '542', '23', '728', '500', '680', '711', '601', '92', '650', '400', '798', '266', '241', '555', '889', '139', '510', '370', '928', '922', '246', '115', '461', '520']
['286', '867', '619', '847', '340', '713', '112', '876', '951', '475', '819', '11', '392', '719', '167', '447', '271', '716', '709', '458', '572', '877', '769', '123', '300', '182', '822', '731', '347', '695', '60', '360', '31', '190', '660', '34', '255', '416', '603', '550', '74', '317', '270', '247', '338']
['81', '290', '58', '215', '678', '477', '322', '303', '741', '56', '669', '830', '403', '439', '509', '465', '752', '484', '849', '205', '352', '1', '566', '384', '151', '86', '754', '715', '864', '915', '111', '759', '330', '425', '782', '7', '333', '423', '212', '49', '838', '845', '536', '653', '777']
