['658', '695', '571', '110', '472', '393', '256', '720', '84', '580', '176', '556', '618', '258', '220', '63']
['650', '432', '323', '518', '583', '539', '338', '49', '716', '732', '356', '156', '801', '624', '66', '427']
['766', '605', '200', '713', '39', '286', '731', '189', '152', '593', '482', '10', '253', '491', '314', '736']
['255', '774', '798', '829', '735', '821', '614', '474', '649', '184', '71', '36', '47', '137', '250', '391']
['122', '608', '672', '29', '20', '492', '476', '652', '809', '654', '285', '352', '4', '438', '82', '212']
['758', '497', '647', '273', '28', '262', '834', '746', '199', '464', '546', '361', '168', '377', '0', '496']
['561', '706', '602', '782', '354', '420', '598', '134', '670', '419', '523', '479', '750', '315', '823', '814']
['263', '454', '708', '127', '201', '416', '41', '437', '89', '13', '544', '429', '171', '55', '197', '87']
['490', '635', '378', '310', '60', '724', '311', '503', '542', '767', '733', '243', '533', '408', '172', '754']
['588', '483', '194', '161', '521', '304', '557', '617', '35', '198', '743', '341', '163', '370', '297', '768']
['260', '577', '232', '206', '648', '33', '452', '118', '117', '167', '674', '210', '106', '307', '254', '786', '572']
['714', '530', '463', '6', '738', '808', '719', '595', '395', '190', '444', '235', '76', '531', '486', '819', '403']
['700', '72', '526', '615', '433', '787', '364', '371', '603', '405', '293', '481', '641', '145', '188', '514', '450']
['729', '397', '332', '778', '541', '343', '196', '26', '289', '740', '340', '803', '760', '676', '471', '385', '316']
['264', '462', '175', '741', '24', '149', '831', '162', '208', '436', '418', '621', '86', '566', '772', '745', '468']
['773', '524', '204', '426', '682', '21', '319', '718', '642', '292', '274', '601', '570', '775', '668', '407', '353']
['138', '631', '805', '1', '223', '399', '77', '559', '31', '836', '584', '107', '765', '694', '528', '596', '562']
['469', '158', '62', '453', '83', '449', '563', '287', '545', '180', '485', '358', '195', '73', '247', '575', '369']
['225', '681', '111', '564', '424', '813', '717', '351', '457', '511', '296', '193', '80', '12', '288', '730', '125']
['657', '303', '763', '512', '508', '818', '507', '291', '139', '51', '737', '627', '467', '828', '174', '628', '69']
['59', '27', '421', '797', '65', '771', '634', '248', '707', '381', '837', '100', '510', '131', '278', '309', '113']
['109', '120', '555', '68', '388', '46', '53', '22', '383', '589', '261', '266', '218', '16', '560', '249', '32']
['585', '272', '515', '425', '689', '664', '346', '181', '342', '594', '349', '328', '209', '550', '667', '699', '639']
['532', '246', '242', '236', '43', '350', '727', '525', '697', '121', '324', '709', '339', '489', '382', '690', '202']
['11', '498', '495', '616', '587', '56', '231', '237', '445', '499', '440', '294', '148', '207', '519', '547', '392']
['360', '442', '173', '37', '30', '417', '105', '749', '679', '410', '784', '211', '169', '632', '241', '552', '275']
['537', '653', '712', '367', '17', '423', '833', '671', '217', '578', '777', '155', '38', '565', '244', '355', '554']
['40', '366', '680', '363', '619', '839', '824', '764', '592', '93', '513', '215', '108', '344', '124', '762', '136']
['376', '245', '692', '78', '365', '686', '543', '662', '157', '345', '400', '132', '271', '302', '334', '691', '14']
['633', '151', '807', '759', '579', '170', '548', '693', '386', '663', '687', '466', '301', '7', '549', '696', '607']
['357', '229', '205', '455', '825', '372', '42', '574', '456', '379', '147', '335', '52', '643', '811', '95', '810']
['15', '620', '228', '150', '792', '368', '347', '704', '590', '336', '600', '527', '783', '67', '551', '153', '535']
['422', '752', '779', '591', '770', '98', '609', '226', '45', '435', '781', '3', '144', '830', '252', '661', '573']
['623', '651', '789', '414', '306', '103', '18', '439', '534', '409', '81', '58', '683', '806', '389', '48', '333']
['475', '233', '796', '613', '238', '219', '325', '645', '484', '502', '520', '430', '115', '290', '501', '715', '487']
['428', '576', '375', '135', '178', '815', '280', '384', '509', '415', '473', '396', '722', '282', '185', '625', '744']
['656', '166', '734', '673', '104', '517', '390', '726', '838', '61', '186', '143', '637', '313', '329', '160', '790']
['227', '636', '753', '8', '88', '644', '761', '320', '791', '257', '112', '678', '281', '465', '800', '398', '387']
['626', '685', '788', '99', '101', '116', '705', '558', '412', '832', '606', '630', '599', '25', '794', '92', '739']
['812', '94', '529', '75', '276', '283', '698', '327', '804', '611', '74', '279', '477', '480', '394', '130', '159']
['701', '751', '488', '54', '447', '748', '102', '268', '640', '816', '721', '44', '728', '817', '154', '64', '230']
['725', '659', '216', '822', '284', '612', '213', '299', '192', '214', '79', '90', '50', '187', '785', '470', '165']
['660', '538', '191', '133', '500', '240', '756', '478', '604', '757', '224', '769', '446', '540', '582', '380', '269']
['460', '443', '795', '19', '119', '298', '586', '85', '251', '597', '568', '504', '461', '799', '666', '622', '401']
['451', '413', '114', '23', '326', '505', '141', '646', '747', '411', '179', '406', '459', '34', '711', '9', '126']
['835', '129', '665', '536', '312', '164', '267', '755', '259', '317', '265', '322', '321', '96', '183', '610', '793']
['222', '182', '177', '688', '374', '684', '234', '494', '57', '638', '780', '128', '441', '629', '142', '5', '337']
['434', '308', '203', '710', '239', '702', '677', '140', '723', '703', '431', '675', '277', '362', '359', '305', '348']
['300', '655', '776', '506', '553', '91', '295', '522', '669', '827', '826', '581', '569', '493', '330', '742', '402']
['331', '318', '404', '270', '97', '802', '448', '221', '123', '820', '567', '2', '146', '516', '373', '458', '70']
