['434', '332', '309']
['524', '867', '153']
['735', '460', '384']
['436', '399', '441']
['951', '848', '95', '972']
['176', '564', '967', '581']
['375', '189', '237', '745']
['227', '902', '306', '78']
['225', '86', '941', '132', '928', '716', '669']
['610', '785', '662', '123', '470', '722', '482']
['924', '631', '954', '957', '5', '285', '432']
['125', '615', '440', '254', '101', '255', '836']
['649', '466', '29', '648', '408', '328', '142']
['871', '292', '194', '472', '495', '289', '151']
['501', '397', '937', '168', '799', '828', '612']
['923', '710', '248', '949', '145', '702', '407']
['889', '943', '877', '944', '554', '936', '908']
['191', '158', '563', '819', '353', '754', '98']
['261', '465', '316', '850', '200', '46', '23']
['449', '0', '496', '786', '437', '689', '622']
['28', '198', '582', '235', '479', '915', '555']
['1', '931', '424', '97', '714', '31', '112']
['317', '779', '448', '655', '431', '445', '550']
['661', '729', '613', '257', '62', '47', '250']
['761', '603', '147', '20', '590', '490', '379']
['418', '385', '784', '476', '873', '139', '540']
['341', '711', '55', '720', '388', '193', '157']
['854', '463', '916', '606', '699', '653', '446']
['821', '51', '691', '126', '489', '127', '96']
['887', '872', '334', '339', '744', '805', '279']
['100', '818', '769', '749', '753', '755', '674']
['12', '177', '645', '354', '494', '389', '767']
['473', '85', '562', '628', '172', '474', '274']
['478', '369', '372', '196', '344', '774', '207']
['221', '834', '824', '945', '580', '35', '531']
['584', '469', '869', '401', '438', '281', '810']
['259', '732', '359', '593', '336', '357', '904']
['82', '60', '74', '202', '504', '817', '533']
['539', '91', '93', '500', '459', '36', '868']
['197', '154', '291', '107', '49', '104', '695']
['971', '529', '734', '515', '135', '679', '94']
['955', '697', '412', '63', '246', '307', '932']
['595', '288', '920', '826', '809', '415', '2']
['739', '164', '963', '386', '262', '27', '642']
['363', '696', '461', '506', '398', '280', '54']
['331', '559', '218', '583', '598', '626', '133']
['52', '546', '447', '265', '230', '521', '639']
['687', '24', '632', '683', '410', '256', '596']
['304', '816', '136', '468', '748', '422', '210']
['343', '118', '493', '128', '444', '251', '577']
['283', '277', '106', '766', '17', '333', '678']
['897', '219', '117', '456', '428', '725', '681']
['492', '138', '843', '680', '523', '731', '751']
['840', '327', '790', '349', '561', '890', '960']
['45', '905', '406', '703', '913', '852', '591']
['6', '295', '487', '294', '657', '934', '170']
['161', '942', '616', '140', '143', '76', '573']
['220', '567', '759', '305', '162', '9', '638']
['807', '223', '321', '395', '743', '765', '625']
['576', '175', '541', '105', '845', '152', '239']
['271', '264', '131', '53', '498', '182', '682']
['721', '953', '709', '108', '320', '497', '968']
['269', '768', '33', '427', '880', '64', '485']
['804', '81', '242', '772', '670', '453', '169']
['452', '512', '275', '57', '32', '391', '950']
['411', '537', '935', '802', '528', '390', '835']
['322', '604', '205', '706', '355', '914', '611']
['301', '585', '876', '760', '548', '708', '394']
['213', '25', '144', '516', '508', '535', '921']
['71', '509', '538', '330', '121', '551', '676']
['65', '298', '770', '335', '764', '517', '919']
['373', '654', '688', '149', '886', '454', '789']
['156', '846', '238', '380', '569', '231', '542']
['467', '888', '899', '457', '290', '666', '792']
['775', '4', '66', '879', '293', '922', '851']
['730', '329', '795', '381', '602', '40', '917']
['742', '361', '403', '607', '733', '59', '405']
['325', '299', '671', '692', '300', '312', '532']
['491', '511', '813', '675', '718', '859', '962']
['842', '617', '966', '788', '416', '827', '342']
['800', '477', '455', '812', '892', '641', '458']
['10', '364', '637', '927', '570', '891', '181']
['420', '650', '287', '906', '429', '243', '621']
['844', '367', '393', '771', '738', '918', '41']
['513', '778', '185', '206', '201', '820', '15']
['864', '894', '141', '308', '620', '319', '183']
