['215', '510', '615', '254', '714', '18', '380', '39', '559', '167', '885', '841', '605', '880', '123', '139', '872', '136', '377', '694', '238', '616', '364', '135', '201', '16', '294', '398', '59', '321', '863']
['662', '351', '939', '378', '738', '280', '573', '253', '617', '186', '365', '959', '545', '159', '311', '513', '876', '790', '130', '434', '758', '245', '707', '659', '717', '518', '98', '65', '371', '789', '102']
['17', '99', '62', '456', '53', '340', '679', '903', '715', '11', '775', '930', '720', '606', '399', '491', '100', '645', '121', '55', '12', '832', '64', '759', '107', '690', '592', '27', '222', '528', '847']
['856', '414', '784', '705', '153', '511', '310', '171', '502', '951', '731', '356', '137', '128', '387', '300', '792', '416', '901', '189', '285', '816', '734', '858', '430', '549', '370', '359', '500', '754', '30']
['540', '602', '644', '151', '403', '111', '695', '376', '209', '362', '29', '809', '334', '771', '578', '267', '338', '843', '262', '621', '117', '650', '423', '88', '581', '609', '929', '314', '608', '663', '89']
['216', '767', '234', '207', '660', '344', '68', '821', '237', '179', '214', '388', '722', '661', '323', '211', '579', '551', '160', '630', '259', '342', '803', '405', '684', '915', '144', '384', '487', '910', '839']
['496', '859', '277', '598', '439', '490', '669', '748', '142', '656', '812', '82', '231', '676', '933', '938', '818', '134', '223', '335', '120', '531', '620', '443', '774', '101', '108', '745', '296', '887', '613']
['514', '242', '77', '761', '896', '431', '9', '516', '507', '875', '393', '611', '884', '279', '91', '352', '538', '275', '680', '501', '241', '851', '306', '498', '164', '147', '665', '470', '331', '96', '449']
['60', '582', '402', '418', '801', '116', '641', '258', '10', '360', '462', '527', '318', '57', '42', '350', '274', '664', '298', '51', '599', '949', '347', '328', '392', '400', '597', '802', '870', '154', '345']
['697', '631', '678', '348', '389', '412', '878', '673', '773', '521', '397', '820', '830', '243', '840', '426', '913', '250', '406', '232', '570', '401', '80', '838', '925', '503', '479', '797', '708', '489', '180']
['574', '889', '368', '683', '417', '548', '465', '871', '48', '419', '213', '701', '325', '746', '916', '825', '75', '553', '14', '247', '478', '937', '732', '113', '873', '572', '515', '927', '696', '447', '212']
['297', '794', '203', '191', '950', '836', '343', '831', '292', '169', '603', '562', '313', '942', '372', '357', '556', '948', '175', '227', '22', '853', '469', '862', '382', '643', '735', '544', '755', '193', '220']
['93', '192', '931', '627', '634', '828', '692', '922', '819', '422', '804', '308', '152', '892', '815', '145', '288', '50', '904', '440', '72', '648', '739', '877', '282', '954', '202', '442', '141', '593', '894']
['78', '918', '879', '525', '700', '198', '190', '218', '702', '480', '188', '374', '166', '255', '736', '787', '535', '712', '953', '652', '740', '133', '381', '461', '284', '529', '793', '670', '61', '149', '780']
['845', '567', '302', '301', '786', '404', '749', '8', '337', '781', '15', '263', '744', '926', '181', '119', '625', '909', '127', '837', '446', '577', '813', '886', '309', '106', '105', '235', '157', '610', '788']
['569', '485', '537', '612', '935', '914', '327', '81', '850', '588', '622', '762', '272', '66', '346', '568', '654', '677', '533', '438', '647', '686', '849', '523', '733', '353', '709', '834', '861', '268', '225']
['917', '493', '558', '85', '146', '468', '943', '304', '358', '860', '723', '772', '200', '941', '194', '893', '522', '499', '266', '349', '642', '125', '824', '823', '624', '519', '751', '760', '585', '928', '798']
['41', '854', '44', '791', '441', '32', '165', '249', '155', '132', '324', '671', '110', '628', '552', '623', '2', '691', '920', '204', '829', '520', '437', '747', '921', '63', '512', '283', '698', '675', '70']
['366', '868', '31', '604', '756', '494', '271', '960', '555', '319', '168', '924', '776', '52', '466', '341', '895', '636', '826', '83', '805', '668', '906', '26', '539', '867', '23', '796', '150', '295', '333']
['312', '451', '3', '483', '444', '182', '320', '600', '140', '629', '958', '728', '936', '655', '49', '173', '455', '783', '92', '115', '21', '473', '47', '432', '905', '383', '857', '742', '33', '195', '689']
