['719', '986', '475', '452', '471', '289', '39', '954', '805', '704', '76', '658', '789', '780', '700', '20', '493', '548', '834', '519']
['296', '287', '270', '863', '244', '733', '728', '74', '706', '499', '152', '913', '187', '648', '796', '101', '896', '738', '62', '786']
['115', '846', '440', '16', '943', '220', '625', '184', '976', '379', '677', '353', '277', '422', '965', '200', '941', '474', '40', '970']
['274', '569', '7', '495', '626', '791', '163', '416', '221', '178', '125', '442', '695', '451', '646', '473', '297', '96', '905', '763']
['528', '854', '320', '953', '245', '877', '240', '663', '597', '322', '974', '364', '570', '482', '952', '73', '684', '781', '828', '882']
['736', '533', '951', '560', '438', '543', '653', '132', '923', '492', '237', '479', '819', '189', '112', '281', '672', '342', '22', '940']
['810', '759', '311', '153', '860', '838', '595', '92', '431', '668', '304', '855', '724', '832', '428', '75', '501', '993', '514', '583']
['351', '339', '494', '585', '535', '949', '888', '714', '89', '2', '60', '637', '155', '430', '942', '717', '124', '464', '867', '303']
['981', '450', '338', '156', '922', '368', '355', '554', '404', '487', '659', '883', '675', '562', '624', '202', '587', '324', '845', '395']
['966', '181', '485', '779', '137', '185', '979', '374', '389', '806', '547', '847', '851', '336', '188', '327', '265', '527', '769', '195']
['670', '252', '715', '824', '66', '713', '773', '812', '18', '640', '921', '730', '765', '674', '960', '836', '545', '697', '580', '27']
['980', '106', '871', '130', '378', '54', '459', '3', '260', '467', '568', '449', '113', '42', '330', '425', '248', '484', '584', '216']
['521', '749', '498', '33', '698', '196', '817', '511', '790', '661', '131', '280', '135', '70', '251', '127', '214', '688', '699', '36']
['5', '147', '809', '934', '592', '437', '104', '908', '647', '52', '657', '88', '889', '664', '174', '635', '108', '268', '785', '725']
['141', '99', '266', '496', '376', '105', '739', '926', '598', '950', '741', '788', '691', '401', '722', '652', '83', '309', '171', '958']
['989', '620', '180', '604', '380', '861', '162', '424', '154', '213', '41', '881', '294', '45', '558', '230', '172', '799', '367', '915']
['505', '0', '839', '165', '690', '649', '226', '239', '434', '56', '752', '798', '263', '848', '641', '138', '110', '114', '328', '689']
['857', '631', '128', '827', '577', '903', '754', '208', '553', '305', '818', '797', '79', '879', '276', '777', '149', '232', '17', '111']
['67', '776', '743', '911', '510', '593', '139', '811', '392', '72', '775', '740', '271', '638', '634', '427', '308', '71', '928', '400']
['895', '841', '720', '123', '242', '807', '831', '982', '859', '316', '238', '555', '386', '764', '557', '146', '586', '318', '673', '357']
['880', '696', '556', '608', '421', '938', '219', '362', '85', '850', '102', '963', '563', '814', '987', '957', '931', '829', '247', '654']
['650', '359', '578', '703', '175', '279', '816', '348', '176', '490', '534', '581', '549', '737', '753', '988', '365', '231', '990', '457']
['169', '804', '11', '708', '826', '292', '874', '537', '407', '50', '939', '884', '978', '234', '477', '310', '991', '567', '920', '893']
['415', '343', '508', '768', '936', '984', '998', '628', '32', '491', '962', '448', '363', '340', '616', '937', '283', '613', '486', '899']
['417', '291', '727', '207', '439', '718', '370', '43', '53', '93', '48', '403', '95', '872', '822', '447', '288', '507', '770', '771']
['757', '286', '755', '927', '350', '97', '14', '956', '665', '381', '621', '758', '732', '225', '992', '326', '57', '402', '204', '849']
['734', '478', '429', '964', '201', '134', '623', '77', '358', '572', '702', '312', '82', '299', '996', '394', '243', '183', '611', '844']
['168', '762', '801', '236', '142', '282', '683', '909', '643', '118', '383', '747', '536', '571', '391', '120', '26', '538', '803', '512']
['971', '530', '692', '6', '502', '666', '250', '875', '885', '264', '873', '456', '783', '35', '645', '302', '856', '198', '109', '235']
['257', '968', '751', '210', '408', '369', '399', '774', '466', '241', '433', '862', '284', '566', '552', '331', '446', '398', '914', '869']
['205', '122', '107', '716', '655', '924', '167', '262', '559', '813', '772', '901', '432', '904', '669', '261', '166', '23', '306', '150']
['784', '159', '119', '947', '573', '735', '161', '525', '267', '100', '594', '890', '411', '959', '865', '944', '30', '591', '546', '215']
['627', '601', '37', '366', '462', '529', '84', '329', '605', '606', '878', '607', '275', '919', '802', '256', '868', '983', '995', '858']
['840', '632', '121', '393', '47', '217', '301', '651', '157', '787', '80', '610', '897', '746', '975', '298', '579', '866', '435', '98']
['203', '160', '678', '472', '596', '644', '520', '321', '87', '229', '618', '140', '833', '129', '461', '24', '820', '8', '853', '524']
