['636', '938', '882', '647', '946', '880', '954', '509', '199', '929', '352', '577', '282', '797', '367', '417', '604', '901', '813', '960', '694', '48', '711', '215', '930']
['493', '643', '98', '925', '935', '150', '231', '894', '376', '480', '580', '335', '66', '870', '492', '918', '301', '851', '34', '645', '3', '184', '510', '736', '837']
['767', '595', '211', '461', '501', '690', '819', '512', '469', '29', '447', '489', '125', '496', '758', '936', '442', '904', '600', '278', '163', '317', '446', '642', '268']
['14', '919', '131', '220', '39', '81', '576', '31', '872', '543', '115', '347', '437', '60', '795', '518', '941', '571', '311', '340', '631', '598', '809', '914', '383']
['302', '201', '549', '557', '583', '971', '842', '605', '466', '169', '977', '43', '392', '825', '425', '976', '752', '267', '129', '853', '46', '484', '35', '695', '420']
['905', '110', '858', '380', '188', '659', '124', '669', '785', '295', '172', '130', '63', '864', '293', '334', '563', '101', '985', '183', '963', '741', '95', '242', '203']
['348', '890', '26', '6', '54', '521', '911', '529', '538', '666', '379', '80', '528', '924', '878', '640', '822', '602', '89', '175', '358', '32', '740', '494', '555']
['307', '896', '103', '487', '47', '128', '544', '148', '193', '566', '460', '258', '381', '20', '360', '917', '748', '958', '725', '921', '13', '76', '216', '448', '879']
['286', '72', '906', '554', '845', '59', '908', '325', '253', '105', '928', '668', '756', '474', '370', '591', '988', '686', '482', '990', '444', '154', '113', '559', '833']
['868', '10', '344', '191', '284', '679', '874', '126', '223', '597', '599', '471', '511', '712', '663', '369', '371', '865', '264', '61', '731', '418', '323', '279', '186']
['167', '67', '390', '212', '910', '625', '801', '744', '500', '886', '603', '680', '915', '419', '414', '288', '652', '610', '429', '780', '969', '857', '732', '934', '22']
['889', '351', '225', '426', '472', '916', '540', '639', '102', '139', '619', '202', '475', '434', '451', '861', '907', '586', '875', '198', '368', '374', '728', '881', '534']
['877', '247', '588', '266', '535', '607', '50', '245', '964', '395', '623', '773', '759', '891', '784', '537', '224', '112', '151', '723', '90', '734', '803', '17', '269']
['386', '422', '171', '243', '178', '127', '802', '980', '297', '1', '287', '440', '561', '106', '644', '772', '428', '615', '818', '592', '23', '850', '164', '25', '834']
['942', '299', '238', '424', '457', '478', '545', '463', '432', '180', '397', '156', '290', '93', '147', '195', '852', '775', '786', '614', '136', '789', '298', '416', '638']
['820', '737', '100', '36', '79', '9', '984', '688', '657', '974', '92', '933', '860', '141', '196', '684', '727', '64', '804', '527', '932', '378', '320', '522', '897']
['754', '556', '319', '153', '943', '458', '328', '271', '923', '898', '810', '575', '187', '628', '229', '989', '823', '893', '835', '413', '806', '285', '944', '291', '355']
['308', '596', '648', '794', '55', '589', '250', '698', '912', '665', '273', '45', '88', '210', '337', '161', '33', '146', '524', '37', '676', '658', '961', '121', '408']
['506', '331', '398', '495', '687', '205', '661', '831', '565', '995', '805', '895', '708', '233', '553', '609', '74', '491', '82', '585', '219', '134', '436', '884', '957']
['356', '272', '24', '513', '681', '672', '841', '830', '637', '887', '787', '12', '87', '707', '473', '601', '309', '997', '656', '717', '821', '670', '292', '326', '548']
['558', '552', '114', '667', '551', '800', '962', '871', '405', '157', '91', '232', '401', '490', '450', '632', '913', '256', '814', '722', '950', '168', '455', '854', '792']
['735', '777', '464', '75', '316', '766', '263', '403', '438', '892', '811', '241', '145', '221', '909', '94', '174', '738', '965', '366', '468', '547', '862', '133', '763']
['402', '770', '863', '415', '7', '992', '866', '654', '441', '650', '838', '981', '421', '234', '617', '779', '296', '903', '743', '662', '629', '578', '608', '140', '314']
['883', '155', '927', '497', '190', '704', '149', '843', '812', '123', '764', '96', '550', '622', '574', '705', '342', '709', '729', '581', '83', '179', '606', '781', '975']
['562', '671', '244', '572', '703', '388', '620', '306', '587', '525', '69', '520', '303', '77', '885', '677', '387', '84', '251', '120', '828', '338', '993', '259', '859']
['310', '373', '152', '742', '612', '407', '951', '720', '280', '996', '900', '248', '377', '624', '359', '762', '920', '655', '959', '533', '289', '30', '940', '185', '516']
['304', '294', '972', '315', '836', '630', '465', '181', '99', '435', '627', '336', '782', '300', '486', '532', '771', '375', '567', '570', '768', '867', '675', '776', '97']
['713', '277', '382', '721', '19', '52', '696', '236', '693', '138', '778', '109', '449', '454', '162', '733', '228', '718', '991', '261', '173', '119', '330', '176', '322']
['385', '160', '649', '873', '998', '270', '433', '0', '504', '593', '646', '318', '790', '769', '18', '564', '239', '240', '194', '200', '678', '409', '634', '452', '353']
['922', '332', '832', '400', '208', '730', '197', '364', '641', '514', '945', '973', '389', '209', '502', '716', '116', '747', '137', '952', '488', '217', '343', '774', '51']
['476', '691', '829', '2', '411', '362', '807', '44', '5', '702', '855', '249', '970', '73', '467', '783', '68', '254', '539', '108', '117', '582', '955', '16', '132']
['404', '305', '213', '189', '21', '635', '967', '793', '177', '966', '235', '710', '483', '53', '546', '423', '978', '508', '697', '399', '345', '840', '982', '339', '86']
['275', '85', '755', '517', '391', '143', '333', '633', '49', '699', '542', '839', '692', '765', '664', '462', '846', '791', '827', '4', '372', '745', '327', '321', '56']
['456', '252', '394', '260', '165', '584', '204', '968', '57', '349', '653', '848', '503', '685', '719', '135', '8', '611', '515', '78', '324', '505', '313', '479', '519']
['751', '526', '281', '979', '899', '983', '459', '499', '485', '876', '849', '621', '28', '276', '107', '739', '255', '714', '11', '226', '573', '111', '808', '530', '42']
['948', '58', '613', '27', '118', '218', '937', '706', '689', '361', '536', '926', '888', '350', '312', '443', '158', '507', '283', '453', '71', '246', '182', '227', '144']
['207', '384', '262', '341', '701', '568', '38', '170', '396', '70', '363', '594', '626', '931', '445', '104', '410', '788', '824', '237', '40', '760', '274', '844', '346']
['616', '590', '579', '470', '265', '523', '439', '431', '947', '329', '192', '214', '673', '724', '817', '618', '994', '999', '569', '757', '683', '987', '798', '62', '230']
['816', '986', '357', '949', '953', '427', '142', '122', '761', '799', '65', '15', '660', '856', '560', '902', '257', '956', '406', '430', '749', '715', '365', '750', '869']
['354', '166', '726', '159', '477', '939', '847', '541', '498', '682', '481', '393', '531', '700', '412', '796', '41', '222', '746', '206', '753', '651', '674', '826', '815']
