['454', '1', '524', '865', '677', '492', '974', '170', '245', '925', '295', '118', '378', '551', '327', '389', '193', '818']
['303', '897', '715', '187', '928', '63', '242', '67', '44', '761', '689', '412', '152', '476', '78', '407', '469', '987']
['635', '119', '62', '418', '901', '488', '477', '373', '508', '705', '289', '13', '899', '243', '667', '627', '857', '537']
['40', '821', '997', '929', '153', '2', '475', '393', '862', '741', '916', '503', '790', '522', '467', '791', '688', '498']
['516', '647', '953', '718', '190', '238', '885', '657', '590', '154', '694', '233', '224', '470', '671', '894', '462', '946']
['95', '747', '457', '514', '849', '309', '399', '256', '555', '46', '830', '642', '427', '943', '576', '981', '878', '151']
['98', '675', '583', '932', '41', '159', '101', '49', '315', '361', '340', '156', '861', '366', '589', '433', '616', '957']
['600', '734', '766', '824', '74', '817', '495', '595', '833', '103', '425', '102', '639', '387', '338', '325', '958', '404', '632']
['460', '314', '207', '296', '379', '491', '342', '421', '343', '349', '777', '459', '826', '439', '234', '165', '90', '994', '203']
['449', '202', '27', '604', '176', '9', '220', '706', '392', '308', '774', '5', '329', '714', '108', '461', '360', '283', '298']
['654', '693', '272', '717', '622', '126', '72', '53', '762', '954', '552', '701', '124', '934', '638', '558', '729', '155', '322']
['565', '937', '799', '927', '629', '615', '631', '517', '879', '945', '770', '910', '906', '230', '168', '167', '481', '408', '279']
['700', '331', '306', '911', '396', '377', '335', '856', '764', '468', '69', '686', '738', '779', '321', '756', '610', '43', '914']
['984', '919', '429', '980', '971', '136', '371', '716', '855', '691', '725', '599', '896', '25', '831', '869', '135', '364', '26']
['417', '499', '356', '284', '271', '993', '17', '640', '19', '983', '672', '246', '447', '939', '951', '822', '572', '261', '888']
['285', '428', '137', '506', '35', '867', '21', '562', '546', '792', '776', '391', '976', '128', '900', '85', '652', '881', '466']
['419', '235', '105', '573', '570', '643', '841', '96', '290', '307', '487', '670', '138', '23', '248', '185', '673', '139', '362']
['909', '292', '538', '969', '71', '550', '177', '121', '259', '86', '52', '618', '409', '84', '676', '574', '796', '800', '682']
['255', '426', '703', '793', '581', '436', '68', '24', '473', '534', '920', '198', '723', '847', '350', '848', '918', '269', '908']
['422', '443', '606', '381', '302', '400', '926', '345', '985', '727', '601', '940', '736', '933', '225', '231', '437', '854', '300']
['608', '585', '930', '250', '333', '31', '221', '291', '972', '12', '358', '312', '127', '659', '557', '579', '258', '214', '54']
['813', '711', '720', '293', '482', '510', '160', '251', '567', '810', '267', '812', '843', '645', '375', '839', '771', '563', '266']
['931', '536', '967', '965', '305', '480', '882', '287', '699', '970', '566', '613', '236', '206', '584', '726', '964', '752', '816']
['370', '116', '674', '386', '197', '328', '76', '174', '658', '424', '336', '500', '199', '521', '158', '208', '277', '708', '730']
['410', '317', '765', '89', '870', '134', '147', '117', '915', '512', '264', '369', '710', '348', '663', '341', '596', '597', '938']
['6', '286', '846', '961', '254', '851', '588', '164', '11', '666', '998', '578', '649', '365', '215', '912', '36', '992', '191']
['713', '884', '832', '866', '195', '120', '146', '806', '651', '150', '999', '212', '803', '948', '963', '351', '472', '858', '405']
['758', '205', '834', '301', '665', '844', '319', '898', '438', '637', '547', '431', '274', '486', '22', '941', '82', '384', '56']
['226', '525', '543', '962', '14', '804', '374', '106', '357', '240', '568', '403', '612', '529', '444', '186', '763', '432', '875']
['50', '223', '624', '721', '430', '276', '180', '316', '748', '607', '519', '368', '960', '222', '484', '434', '107', '111', '450']
['587', '115', '402', '989', '678', '621', '526', '698', '681', '745', '680', '871', '87', '664', '65', '435', '859', '835', '988']
['144', '548', '825', '181', '367', '876', '471', '93', '446', '148', '201', '959', '759', '489', '737', '32', '311', '415', '383']
['731', '416', '533', '494', '650', '464', '413', '178', '4', '609', '786', '406', '668', '211', '330', '15', '842', '278', '217']
['653', '249', '463', '560', '753', '641', '323', '273', '683', '773', '372', '895', '299', '241', '515', '192', '39', '968', '662']
['42', '661', '133', '684', '768', '288', '733', '28', '162', '893', '807', '815', '696', '580', '778', '184', '872', '81', '140']
['216', '586', '474', '625', '973', '509', '354', '497', '561', '784', '814', '880', '724', '397', '575', '157', '603', '171', '905']
['145', '986', '559', '782', '33', '66', '827', '465', '75', '218', '907', '395', '582', '353', '59', '513', '141', '553', '593']
['746', '808', '294', '660', '149', '172', '252', '45', '490', '123', '57', '592', '819', '769', '966', '852', '411', '690', '100']
['239', '950', '29', '129', '709', '79', '798', '398', '532', '554', '755', '877', '297', '874', '540', '797', '97', '853', '982']
['783', '788', '485', '860', '772', '679', '722', '77', '750', '73', '166', '504', '441', '483', '318', '113', '270', '209', '735']
['204', '923', '794', '326', '80', '949', '780', '51', '268', '505', '37', '282', '501', '210', '244', '3', '809', '253', '692']
['775', '502', '623', '337', '644', '913', '828', '527', '390', '388', '805', '507', '530', '732', '802', '704', '564', '996', '740']
['263', '380', '188', '978', '455', '70', '591', '320', '493', '0', '955', '109', '539', '7', '8', '458', '743', '344', '262']
['556', '795', '947', '64', '200', '636', '977', '114', '61', '310', '781', '886', '194', '840', '767', '219', '549', '883', '189']
