['282', '402']
['912', '273']
['908', '970']
['525', '305']
['604', '60', '327']
['331', '288', '74']
['279', '230', '869']
['65', '890', '461']
['244', '644', '242']
['276', '552', '858']
['213', '972', '556']
['361', '801', '716']
['926', '45', '758']
['226', '105', '373']
['323', '968', '971']
['820', '301', '193']
['505', '300', '127']
['405', '205', '719']
['797', '140', '143']
['721', '365', '876']
['704', '819', '601']
['507', '376', '980']
['122', '274', '131']
['29', '286', '802']
['258', '590', '737']
['571', '511', '170']
['853', '743', '818']
['530', '221', '401']
['186', '175', '893']
['969', '550', '182']
['648', '293', '385']
['199', '903', '109']
['829', '811', '228']
['159', '202', '792']
['780', '123', '436']
['266', '6', '543']
['287', '41', '995']
['428', '410', '396']
['318', '654', '518']
['814', '375', '334']
['92', '922', '306']
['152', '682', '4']
['483', '635', '102']
['606', '938', '772']
['600', '437', '616']
['362', '503', '497']
['831', '369', '209']
['742', '83', '480']
['243', '345', '355']
['264', '523', '314']
['97', '843', '794']
['412', '458', '424']
['787', '324', '247']
['641', '471', '610']
['783', '59', '462']
['310', '567', '229']
['531', '325', '383']
['671', '689', '252']
['959', '173', '272']
['953', '923', '915']
['767', '677', '673']
['744', '187', '943']
['803', '57', '25']
['161', '566', '329']
['432', '698', '61']
['666', '308', '900']
['147', '332', '235']
['203', '514', '536']
['95', '348', '738']
['753', '473', '832']
['875', '569', '935']
['991', '492', '338']
['208', '534', '594']
['439', '914', '790']
['796', '499', '489']
['895', '118', '760']
['87', '393', '723']
['248', '880', '117']
['133', '501', '487']
['139', '420', '840']
['730', '749', '816']
['839', '622', '231']
['897', '168', '404']
['759', '66', '899']
['164', '149', '169']
['683', '91', '9']
['676', '381', '378']
['138', '685', '958']
['720', '315', '584']
['672', '574', '602']
['655', '275', '775']
['572', '882', '510']
['625', '37', '43']
['435', '72', '217']
['454', '14', '860']
['709', '630', '639']
['568', '3', '107']
['346', '422', '799']
['380', '366', '535']
['586', '686', '299']
['342', '174', '68']
['251', '135', '69']
['589', '633', '443']
['119', '379', '11']
['751', '354', '433']
['89', '824', '847']
['862', '948', '561']
['757', '234', '578']
['850', '955', '815']
['73', '917', '765']
['132', '218', '408']
['726', '681', '887']
['215', '23', '353']
['965', '320', '146']
['863', '227', '857']
['341', '996', '197']
['805', '729', '939']
['452', '916', '162']
['165', '754', '918']
['542', '512', '618']
