['351', '103', '26', '801', '118', '921', '670', '256', '705', '690', '160', '633', '558', '18', '564', '218', '326', '888', '651', '569', '792']
['819', '524', '984', '501', '22', '293', '425', '231', '964', '665', '514', '125', '520', '646', '310', '106', '377', '618', '505', '672', '37']
['413', '194', '140', '146', '360', '470', '702', '683', '946', '876', '570', '434', '244', '951', '471', '860', '207', '205', '716', '431', '775', '366']
['67', '791', '779', '732', '424', '686', '373', '226', '475', '805', '593', '444', '363', '666', '871', '147', '211', '749', '89', '306', '298', '531']
['978', '93', '304', '895', '949', '601', '8', '122', '725', '348', '87', '680', '511', '185', '553', '932', '421', '966', '95', '100', '49', '165']
['392', '903', '762', '821', '856', '661', '309', '740', '926', '959', '246', '674', '249', '885', '463', '916', '23', '759', '969', '785', '474', '469']
['684', '69', '330', '835', '318', '729', '45', '710', '711', '414', '443', '439', '892', '420', '30', '820', '760', '954', '248', '196', '696', '167']
['533', '972', '611', '612', '177', '541', '11', '390', '195', '643', '883', '721', '312', '608', '574', '621', '810', '64', '9', '265', '631', '893']
['832', '234', '320', '173', '124', '441', '353', '109', '291', '376', '487', '345', '374', '714', '430', '613', '485', '68', '278', '151', '472', '908']
['295', '322', '183', '957', '543', '427', '259', '904', '247', '909', '75', '154', '258', '170', '991', '855', '968', '206', '189', '763', '537', '222']
['230', '780', '402', '831', '804', '384', '389', '703', '863', '743', '238', '917', '212', '630', '286', '354', '975', '323', '843', '700', '308', '201']
['81', '422', '486', '735', '274', '84', '523', '411', '107', '98', '375', '435', '97', '623', '580', '52', '777', '706', '840', '40', '193', '21']
['358', '544', '691', '637', '168', '133', '641', '254', '187', '172', '930', '803', '794', '687', '603', '813', '334', '889', '184', '834', '239', '51']
['138', '364', '808', '671', '861', '77', '215', '445', '393', '789', '961', '277', '128', '787', '507', '589', '529', '723', '270', '560', '250', '989']
['492', '104', '678', '61', '433', '429', '110', '303', '552', '853', '519', '266', '689', '359', '894', '595', '313', '550', '260', '539', '512', '733']
['624', '497', '878', '963', '844', '837', '722', '459', '704', '950', '639', '53', '50', '214', '931', '880', '695', '790', '886', '210', '448', '922']
['648', '545', '58', '918', '667', '319', '408', '219', '592', '669', '673', '405', '368', '771', '640', '34', '707', '847', '499', '576', '772', '13']
['513', '634', '632', '718', '582', '504', '446', '870', '841', '542', '973', '33', '92', '385', '736', '119', '4', '597', '406', '344', '316', '456', '2']
['645', '88', '464', '42', '329', '933', '943', '875', '78', '800', '708', '419', '578', '331', '830', '300', '660', '865', '906', '292', '228', '200', '935']
['460', '120', '31', '397', '818', '399', '155', '709', '362', '224', '816', '688', '970', '105', '679', '90', '953', '854', '327', '208', '454', '114', '99']
['859', '65', '315', '616', '902', '761', '516', '179', '650', '235', '817', '737', '473', '332', '614', '233', '152', '900', '346', '901', '190', '822', '927']
['891', '741', '342', '157', '532', '112', '113', '186', '976', '191', '10', '192', '858', '897', '126', '967', '783', '237', '799', '489', '599', '55', '635']
['758', '934', '296', '369', '171', '57', '59', '579', '751', '503', '748', '132', '257', '383', '403', '15', '720', '518', '913', '101', '719', '654', '288']
['301', '169', '910', '925', '483', '29', '941', '814', '47', '920', '488', '797', '269', '395', '571', '336', '440', '658', '416', '41', '572', '872', '617']
['565', '271', '123', '806', '149', '534', '715', '178', '734', '738', '555', '502', '202', '980', '956', '663', '522', '498', '197', '567', '116', '824', '945']
['556', '862', '745', '977', '139', '333', '752', '685', '562', '378', '428', '833', '35', '573', '338', '638', '62', '365', '287', '587', '410', '509', '965']
['325', '649', '828', '829', '983', '940', '575', '396', '121', '371', '176', '28', '181', '204', '96', '874', '591', '627', '747', '43', '778', '357', '280']
['788', '506', '807', '276', '302', '317', '3', '465', '73', '388', '607', '936', '12', '282', '273', '981', '911', '890', '982', '590', '198', '675', '339']
['724', '827', '17', '852', '328', '559', '221', '739', '335', '768', '676', '914', '547', '912', '145', '929', '782', '305', '884', '866', '881', '566', '521']
['527', '102', '289', '602', '356', '162', '466', '86', '869', '699', '245', '868', '220', '628', '243', '134', '436', '784', '682', '769', '391', '426', '188']
['48', '622', '770', '657', '730', '115', '150', '268', '381', '979', '694', '701', '484', '540', '717', '795', '144', '500', '467', '554', '5', '987', '774']
['175', '898', '321', '163', '606', '153', '744', '698', '479', '644', '423', '182', '563', '129', '517', '478', '275', '974', '755', '773', '6', '284', '82']
['174', '857', '66', '549', '642', '728', '450', '494', '851', '802', '25', '826', '294', '713', '655', '495', '882', '647', '367', '629', '54', '242', '842']
