['707', '3', '892', '945', '290', '734', '23', '362', '769', '173', '416', '569', '926', '75', '861', '474', '916', '395', '862', '332', '232', '671', '406', '962', '236', '744', '90', '901', '857', '544', '203', '389']
['506', '407', '352', '929', '692', '515', '96', '881', '737', '709', '677', '250', '783', '564', '627', '883', '205', '975', '742', '787', '291', '358', '4', '810', '986', '615', '126', '993', '618', '971', '55', '384']
['984', '935', '554', '864', '234', '517', '597', '320', '622', '805', '329', '308', '326', '870', '215', '400', '341', '542', '363', '643', '327', '7', '74', '110', '144', '342', '496', '369', '148', '918', '518', '973']
['789', '208', '470', '608', '70', '728', '619', '461', '456', '571', '420', '910', '472', '642', '188', '784', '473', '739', '421', '855', '372', '689', '936', '573', '877', '632', '530', '476', '454', '966', '710', '678']
['245', '721', '987', '297', '292', '153', '634', '20', '523', '394', '54', '65', '102', '514', '8', '559', '764', '921', '156', '195', '388', '853', '528', '480', '431', '396', '471', '469', '512', '411', '410', '347']
['970', '504', '246', '745', '84', '367', '711', '429', '720', '944', '18', '443', '111', '302', '541', '104', '955', '112', '432', '393', '51', '586', '114', '357', '269', '876', '830', '898', '778', '812', '162', '149']
['957', '487', '493', '623', '859', '648', '254', '712', '654', '808', '676', '636', '545', '177', '331', '86', '847', '490', '635', '844', '39', '184', '304', '430', '942', '645', '361', '513', '969', '441', '150', '765']
['738', '816', '539', '582', '182', '198', '207', '570', '546', '134', '858', '486', '378', '307', '235', '912', '801', '426', '405', '891', '897', '994', '77', '30', '273', '959', '219', '786', '563', '321', '29', '452']
['708', '662', '230', '171', '722', '781', '795', '355', '777', '9', '601', '221', '98', '158', '753', '851', '346', '507', '137', '63', '79', '882', '129', '943', '11', '414', '879', '160', '630', '463', '140', '667']
['285', '735', '555', '483', '155', '194', '717', '821', '33', '136', '639', '296', '972', '930', '964', '26', '178', '653', '73', '811', '94', '228', '835', '169', '698', '373', '907', '25', '866', '477', '968', '494', '979']
['428', '628', '267', '214', '594', '640', '274', '625', '17', '884', '24', '204', '699', '938', '956', '391', '172', '834', '262', '93', '572', '175', '578', '283', '599', '531', '522', '259', '1', '368', '675', '946', '948']
['36', '505', '450', '845', '647', '607', '191', '371', '66', '142', '190', '143', '161', '218', '694', '99', '822', '231', '904', '249', '484', '69', '658', '751', '124', '49', '350', '566', '780', '626', '185', '132', '652', '580']
['663', '785', '754', '433', '117', '467', '179', '344', '706', '995', '880', '726', '276', '567', '716', '451', '343', '731', '610', '758', '889', '525', '337', '748', '843', '509', '500', '61', '849', '655', '464', '562', '875', '170']
['983', '315', '684', '508', '724', '682', '687', '222', '335', '59', '13', '370', '958', '324', '67', '568', '34', '837', '691', '804', '688', '768', '438', '997', '809', '700', '82', '807', '248', '836', '300', '446', '536', '665']
['766', '668', '261', '656', '165', '263', '47', '600', '316', '589', '761', '60', '401', '325', '865', '704', '683', '28', '767', '852', '760', '364', '996', '253', '243', '871', '497', '756', '516', '906', '616', '547', '166', '931']
['779', '560', '981', '788', '524', '799', '475', '841', '846', '832', '167', '154', '798', '803', '806', '445', '613', '453', '133', '629', '604', '417', '238', '908', '538', '434', '869', '982', '602', '217', '590', '399', '128', '899']
['328', '952', '12', '905', '520', '633', '750', '592', '727', '141', '793', '588', '0', '651', '56', '176', '501', '561', '157', '951', '833', '585', '68', '934', '206', '437', '264', '890', '679', '690', '928', '366', '52', '714']
['108', '336', '40', '5', '526', '43', '533', '813', '730', '37', '771', '229', '322', '186', '900', '932', '382', '574', '924', '27', '818', '611', '260', '447', '697', '301', '740', '927', '91', '275', '408', '415', '576', '174']
['197', '227', '294', '15', '303', '436', '685', '583', '19', '330', '941', '820', '701', '733', '374', '743', '212', '42', '790', '365', '886', '673', '976', '466', '268', '130', '76', '521', '998', '338', '48', '256', '848', '548']
['992', '867', '537', '773', '131', '305', '299', '211', '510', '732', '351', '670', '681', '105', '624', '353', '87', '893', '985', '660', '145', '226', '949', '749', '444', '703', '360', '386', '41', '71', '53', '878', '216', '377']
['21', '312', '894', '575', '271', '989', '491', '113', '950', '224', '152', '314', '631', '839', '196', '31', '925', '62', '492', '977', '146', '902', '596', '390', '868', '746', '237', '550', '278', '209', '419', '199', '404', '873']
['595', '376', '334', '939', '605', '187', '46', '44', '279', '974', '89', '644', '817', '103', '356', '527', '14', '755', '115', '57', '729', '293', '922', '584', '693', '465', '990', '168', '359', '551', '723', '32', '674', '763']
['289', '759', '988', '138', '686', '423', '375', '947', '284', '598', '680', '64', '856', '125', '151', '481', '35', '223', '620', '757', '511', '741', '201', '535', '587', '120', '455', '980', '2', '380', '220', '286', '440', '850']
['887', '233', '719', '534', '828', '953', '999', '424', '519', '88', '543', '265', '770', '323', '617', '392', '612', '78', '118', '815', '696', '379', '792', '896', '479', '489', '485', '107', '159', '895', '50', '116', '854', '840']
['502', '713', '241', '287', '657', '192', '189', '272', '920', '403', '402', '991', '147', '503', '277', '313', '641', '106', '306', '960', '340', '940', '72', '280', '715', '603', '449', '824', '200', '58', '319', '659', '825', '965']
['240', '123', '909', '121', '425', '532', '888', '345', '782', '468', '354', '95', '842', '409', '774', '135', '109', '202', '412', '45', '499', '310', '638', '270', '349', '127', '903', '796', '666', '827', '210', '838', '439', '333']
['317', '183', '255', '488', '193', '458', '119', '565', '552', '309', '819', '961', '298', '92', '164', '318', '664', '81', '311', '937', '911', '772', '919', '83', '775', '549', '457', '609', '621', '100', '435', '823', '978', '646']
['802', '913', '814', '348', '718', '762', '10', '38', '80', '558', '606', '427', '614', '16', '339', '860', '478', '557', '829', '872', '800', '794', '695', '705', '498', '556', '915', '725', '251', '258', '398', '422', '385', '495']
['239', '181', '661', '923', '540', '225', '101', '591', '242', '282', '448', '826', '954', '281', '244', '933', '6', '462', '163', '963', '702', '418', '577', '266', '863', '672', '295', '213', '459', '22', '797', '791', '649', '387']
['650', '460', '593', '581', '553', '381', '397', '776', '637', '383', '747', '917', '914', '85', '252', '139', '288', '180', '874', '529', '482', '247', '967', '885', '669', '579', '831', '752', '257', '736', '413', '97', '442', '122']
