['36', '992', '540', '334', '656', '534', '841', '619', '558', '914', '420', '394', '115', '306', '426', '365', '511', '529', '949', '695', '107', '168', '780', '264', '831', '497', '39', '590', '149', '522', '946', '548']
['239', '575', '662', '211', '330', '152', '543', '634', '933', '78', '409', '14', '75', '567', '803', '716', '447', '758', '437', '500', '723', '849', '275', '550', '53', '544', '369', '812', '918', '675', '763', '973']
['779', '663', '240', '766', '788', '988', '539', '179', '448', '750', '832', '709', '302', '173', '774', '401', '188', '27', '137', '332', '310', '538', '77', '273', '455', '291', '786', '127', '866', '414', '899', '714']
['706', '19', '190', '335', '443', '734', '846', '143', '991', '118', '783', '231', '924', '653', '473', '73', '451', '232', '876', '811', '833', '372', '585', '388', '997', '373', '268', '449', '635', '530', '55', '875']
['887', '123', '593', '436', '864', '920', '329', '461', '135', '51', '569', '412', '395', '751', '226', '883', '940', '340', '891', '269', '768', '417', '528', '144', '959', '599', '2', '824', '943', '521', '965', '347']
['668', '423', '777', '601', '687', '776', '622', '681', '59', '456', '564', '141', '492', '651', '106', '696', '627', '223', '775', '549', '757', '691', '705', '863', '885', '100', '934', '71', '408', '879', '368', '385']
['929', '315', '367', '131', '524', '947', '953', '747', '612', '699', '938', '427', '99', '654', '664', '81', '614', '958', '146', '818', '133', '683', '485', '41', '823', '270', '90', '871', '476', '166', '854', '765']
['506', '713', '305', '267', '101', '623', '597', '290', '728', '85', '215', '374', '313', '527', '861', '860', '445', '327', '921', '247', '280', '195', '94', '525', '659', '237', '257', '321', '655', '690', '97', '410', '422']
['376', '647', '945', '138', '583', '187', '265', '44', '161', '92', '87', '196', '486', '925', '416', '798', '391', '65', '346', '960', '702', '604', '79', '621', '110', '868', '129', '809', '217', '220', '666', '873', '440']
['428', '759', '913', '595', '555', '686', '214', '113', '592', '80', '298', '701', '523', '139', '642', '660', '57', '636', '801', '693', '453', '902', '34', '49', '741', '746', '847', '185', '278', '258', '160', '969', '979']
['708', '785', '802', '650', '193', '467', '165', '520', '429', '274', '600', '598', '770', '37', '326', '353', '769', '147', '904', '610', '794', '301', '201', '337', '740', '908', '638', '752', '415', '128', '464', '122', '150']
['458', '859', '33', '47', '637', '519', '279', '761', '104', '254', '125', '252', '481', '815', '916', '212', '26', '163', '829', '620', '919', '731', '568', '72', '260', '967', '498', '578', '61', '895', '531', '906', '516']
['328', '867', '5', '724', '397', '424', '999', '532', '961', '323', '617', '354', '808', '926', '545', '643', '45', '896', '697', '962', '253', '248', '844', '490', '679', '797', '791', '300', '413', '838', '174', '439', '678']
['317', '719', '505', '628', '799', '553', '371', '670', '296', '624', '956', '743', '325', '54', '937', '912', '102', '69', '145', '418', '609', '596', '703', '688', '760', '835', '509', '626', '857', '496', '645', '331', '710', '646']
['181', '450', '155', '939', '43', '517', '591', '224', '884', '46', '70', '712', '432', '307', '574', '977', '178', '963', '8', '922', '156', '364', '359', '159', '466', '744', '396', '512', '632', '132', '1', '387', '366', '384']
['227', '707', '470', '493', '828', '10', '309', '995', '941', '631', '589', '218', '503', '822', '911', '784', '478', '557', '739', '886', '28', '742', '431', '4', '901', '130', '573', '469', '398', '618', '616', '404', '840', '825']
['502', '183', '197', '287', '433', '119', '795', '552', '950', '198', '20', '694', '60', '62', '790', '363', '862', '63', '457', '603', '889', '350', '238', '936', '480', '843', '907', '982', '76', '11', '463', '649', '442', '389']
['407', '537', '487', '718', '192', '554', '292', '685', '510', '153', '66', '345', '880', '571', '541', '733', '393', '341', '755', '584', '83', '465', '177', '438', '669', '915', '869', '725', '251', '756', '319', '518', '966', '848']
['21', '289', '208', '845', '460', '171', '158', '570', '842', '356', '324', '474', '339', '42', '729', '514', '501', '764', '874', '405', '704', '157', '444', '499', '406', '435', '551', '976', '184', '878', '209', '928', '203', '216']
['241', '245', '754', '225', '381', '533', '17', '383', '805', '820', '105', '974', '229', '204', '112', '250', '277', '793', '109', '378', '865', '93', '175', '7', '579', '25', '471', '513', '419', '494', '441', '333', '948', '495']
['957', '255', '488', '294', '892', '299', '935', '242', '320', '726', '606', '400', '964', '276', '235', '586', '715', '489', '898', '673', '266', '587', '228', '213', '980', '736', '652', '29', '162', '968', '338', '199', '877', '667']
['738', '312', '352', '108', '271', '375', '234', '189', '314', '316', '89', '644', '910', '288', '67', '676', '56', '806', '613', '855', '872', '951', '360', '689', '390', '386', '74', '556', '698', '22', '615', '971', '361', '52']
['923', '3', '989', '732', '881', '182', '221', '111', '24', '753', '103', '588', '462', '35', '507', '343', '180', '124', '792', '749', '577', '975', '804', '700', '358', '219', '86', '807', '304', '430', '536', '931', '640', '170']
['233', '981', '526', '191', '282', '582', '639', '546', '392', '817', '186', '985', '249', '484', '293', '559', '572', '482', '830', '994', '30', '169', '810', '349', '890', '243', '283', '58', '993', '452', '942', '576', '547', '210']
['984', '40', '491', '730', '771', '134', '955', '322', '870', '932', '202', '16', '542', '205', '421', '611', '535', '767', '852', '853', '68', '236', '787', '927', '91', '459', '563', '903', '411', '126', '50', '796', '827', '377']
['789', '735', '745', '909', '773', '483', '194', '303', '12', '821', '608', '605', '136', '633', '88', '382', '851', '379', '897', '479', '357', '671', '882', '206', '996', '434', '778', '200', '477', '998', '454', '259', '116', '48']
['285', '504', '894', '983', '816', '261', '987', '348', '711', '781', '717', '263', '96', '344', '720', '944', '284', '222', '954', '18', '819', '403', '680', '98', '917', '308', '167', '244', '23', '930', '402', '858', '839', '900']
