['319', '229', '12', '669', '479', '575', '468']
['285', '452', '558', '441', '113', '304', '568']
['243', '404', '654', '384', '464', '118', '598']
['149', '561', '346', '176', '150', '204', '261']
['154', '613', '549', '515', '649', '147', '670']
['328', '96', '430', '157', '562', '107', '4']
['629', '596', '306', '625', '677', '8', '67']
['570', '191', '608', '470', '70', '290', '590']
['45', '486', '320', '416', '433', '622', '240']
['417', '49', '449', '432', '632', '557', '3']
['217', '361', '84', '593', '198', '182', '375']
['22', '403', '246', '349', '255', '48', '472']
['314', '10', '46', '621', '505', '574', '277']
['438', '696', '31', '128', '566', '555', '309']
['556', '511', '103', '651', '27', '144', '519']
['419', '194', '587', '137', '44', '458', '279']
['514', '77', '281', '652', '344', '71', '207']
['47', '552', '312', '334', '123', '610', '254']
['518', '542', '684', '266', '659', '72', '1']
['301', '620', '635', '303', '26', '335', '214']
['38', '446', '502', '435', '92', '516', '634']
['345', '351', '146', '454', '367', '233', '179']
['540', '329', '494', '628', '75', '616', '297']
['686', '485', '442', '680', '275', '385', '232']
['463', '513', '222', '498', '58', '409', '371']
['51', '109', '529', '308', '488', '475', '333']
['139', '226', '115', '482', '310', '687', '262']
['230', '268', '580', '493', '316', '421', '665']
['161', '203', '426', '377', '196', '564', '238']
['398', '641', '291', '530', '578', '444', '173']
['473', '57', '296', '219', '661', '187', '186']
['383', '111', '99', '647', '132', '93', '423']
['122', '559', '192', '180', '466', '148', '126']
['239', '506', '142', '311', '359', '143', '640']
['462', '662', '541', '244', '264', '594', '121']
['5', '406', '62', '396', '284', '17', '642']
['287', '299', '15', '674', '101', '474', '418']
['98', '302', '509', '318', '673', '199', '272']
['54', '386', '388', '655', '117', '363', '88']
['235', '168', '544', '224', '554', '523', '682']
['676', '295', '252', '490', '151', '391', '565']
['94', '427', '650', '200', '350', '251', '357']
['563', '165', '190', '177', '34', '370', '294']
['205', '666', '615', '76', '397', '108', '228']
['356', '691', '343', '339', '352', '276', '658']
['582', '527', '431', '633', '501', '23', '683']
['614', '520', '660', '14', '362', '467', '627']
['90', '428', '124', '631', '698', '278', '236']
['9', '53', '533', '35', '29', '106', '611']
['535', '97', '579', '50', '331', '218', '321']
['405', '600', '145', '503', '415', '576', '550']
['532', '170', '690', '175', '69', '41', '547']
['379', '59', '394', '481', '134', '116', '457']
['212', '267', '584', '400', '663', '389', '429']
['249', '410', '164', '248', '645', '100', '16']
['195', '78', '340', '313', '461', '298', '589']
['61', '332', '373', '213', '292', '360', '436']
['424', '491', '87', '55', '412', '86', '521']
['37', '369', '420', '536', '323', '522', '13']
['300', '250', '378', '534', '569', '508', '601']
['74', '85', '353', '163', '167', '517', '440']
['327', '89', '689', '392', '21', '135', '646']
['56', '20', '487', '567', '609', '32', '152']
['82', '692', '159', '197', '602', '528', '338']
['524', '2', '450', '453', '560', '439', '448']
['697', '543', '341', '546', '263', '413', '317']
['597', '63', '512', '595', '68', '237', '374']
['286', '401', '315', '497', '36', '476', '606']
['688', '469', '623', '206', '184', '11', '445']
['460', '120', '202', '477', '257', '227', '668']
['25', '459', '693', '155', '399', '270', '210']
['675', '193', '489', '189', '30', '282', '366']
['81', '495', '588', '402', '66', '531', '174']
['305', '492', '573', '181', '653', '42', '685']
['657', '0', '667', '208', '265', '140', '43']
['274', '330', '160', '325', '211', '242', '119']
['91', '215', '553', '381', '376', '507', '324']
['636', '7', '510', '347', '225', '443', '271']
['39', '127', '18', '80', '33', '158', '209']
['618', '639', '19', '183', '156', '354', '538']
['201', '583', '408', '372', '141', '136', '465']
['95', '269', '624', '52', '422', '581', '484']
['231', '526', '348', '169', '630', '153', '342']
['178', '551', '24', '425', '337', '643', '322']
['129', '644', '437', '259', '604', '289', '221']
['355', '626', '234', '545', '681', '382', '40']
['695', '664', '678', '171', '504', '395', '585']
['166', '260', '73', '571', '407', '6', '447']
['280', '358', '241', '500', '672', '364', '253']
['65', '83', '390', '591', '471', '548', '499']
['607', '138', '411', '114', '293', '572', '456']
['638', '64', '112', '223', '245', '365', '612']
['326', '131', '478', '648', '679', '656', '637']
['273', '539', '537', '599', '185', '247', '699']
['480', '525', '414', '60', '79', '216', '283']
['258', '380', '104', '256', '188', '368', '105']
['603', '172', '483', '592', '28', '102', '336']
['110', '694', '605', '577', '130', '133', '220']
['307', '288', '387', '455', '619', '393', '451']
['617', '496', '162', '586', '671', '434', '125']
