['875', '650', '417', '388', '602', '840', '903', '241', '305', '220', '47', '582', '102', '637', '36', '893', '543', '491', '842', '312', '422', '799', '848', '387', '196', '538', '404', '629', '490', '554', '235', '862', '175', '157', '809', '540', '265', '586', '202', '497', '693', '215', '237', '941', '87', '49']
['66', '926', '37', '498', '561', '286', '303', '189', '363', '593', '304', '187', '605', '97', '132', '920', '914', '255', '748', '140', '58', '884', '713', '365', '397', '535', '547', '239', '125', '217', '27', '93', '433', '348', '181', '942', '252', '945', '835', '747', '483', '976', '595', '737', '242', '410']
['121', '779', '72', '798', '146', '725', '468', '184', '587', '754', '415', '150', '318', '870', '402', '110', '114', '109', '104', '48', '116', '757', '79', '306', '183', '11', '916', '541', '883', '427', '113', '450', '129', '569', '223', '431', '176', '863', '987', '857', '793', '800', '489', '564', '816', '173']
['206', '341', '634', '459', '630', '221', '373', '424', '169', '324', '724', '665', '908', '205', '733', '314', '726', '635', '696', '526', '412', '154', '446', '82', '904', '7', '692', '652', '876', '850', '570', '398', '166', '311', '606', '796', '688', '360', '931', '546', '462', '225', '959', '657', '436', '95']
['103', '899', '92', '576', '896', '640', '791', '86', '111', '524', '555', '769', '775', '403', '719', '773', '39', '393', '22', '577', '516', '549', '449', '358', '955', '439', '704', '765', '584', '466', '672', '20', '683', '130', '738', '440', '607', '233', '880', '56', '504', '325', '690', '856', '347', '419']
['658', '172', '50', '573', '413', '292', '654', '537', '523', '171', '581', '964', '771', '452', '872', '326', '156', '539', '739', '717', '70', '3', '195', '705', '864', '399', '653', '999', '371', '52', '401', '269', '659', '458', '192', '910', '946', '432', '813', '155', '764', '836', '907', '699', '943', '794']
['805', '501', '494', '257', '21', '749', '267', '825', '686', '934', '288', '444', '69', '108', '694', '786', '418', '38', '845', '512', '751', '107', '178', '229', '40', '9', '278', '772', '613', '367', '438', '720', '906', '844', '873', '556', '723', '531', '645', '660', '99', '927', '249', '335', '515', '484']
['590', '823', '136', '469', '603', '143', '96', '485', '285', '961', '761', '994', '23', '368', '88', '548', '345', '473', '64', '355', '855', '762', '770', '617', '679', '681', '392', '414', '186', '174', '451', '956', '231', '391', '282', '100', '592', '574', '716', '461', '888', '474', '860', '434', '981', '949']
['471', '778', '746', '298', '522', '308', '170', '708', '344', '687', '5', '91', '682', '759', '246', '138', '280', '743', '295', '697', '615', '901', '487', '12', '638', '118', '375', '180', '812', '787', '316', '727', '519', '929', '232', '641', '703', '871', '611', '188', '909', '675', '244', '966', '127', '518']
['939', '803', '400', '443', '742', '352', '351', '700', '201', '448', '261', '668', '470', '977', '734', '895', '925', '122', '528', '830', '142', '377', '353', '320', '115', '826', '378', '465', '982', '599', '834', '905', '41', '199', '126', '105', '691', '10', '722', '924', '608', '986', '854', '177', '272', '144', '214']
['676', '203', '456', '260', '731', '495', '781', '139', '651', '892', '623', '878', '297', '988', '258', '370', '669', '902', '467', '663', '194', '340', '30', '814', '846', '662', '811', '411', '698', '822', '991', '736', '783', '881', '533', '718', '795', '594', '632', '51', '158', '0', '42', '472', '843', '550', '343', '59', '247']
['579', '643', '259', '604', '711', '678', '753', '777', '182', '281', '824', '62', '756', '636', '790', '936', '460', '730', '807', '423', '486', '918', '752', '390', '128', '372', '866', '922', '477', '520', '648', '919', '283', '425', '680', '262', '610', '250', '735', '193', '962', '940', '384', '575', '429', '544', '963', '867', '309']
['80', '135', '935', '386', '481', '958', '407', '885', '980', '299', '319', '818', '552', '442', '656', '101', '527', '75', '789', '897', '322', '732', '915', '383', '74', '359', '317', '236', '819', '81', '785', '923', '71', '597', '755', '162', '333', '488', '616', '744', '208', '476', '721', '273', '16', '859', '960', '677', '928']
['251', '46', '973', '120', '455', '937', '268', '951', '226', '639', '8', '827', '745', '302', '376', '94', '562', '806', '911', '148', '774', '802', '145', '153', '457', '147', '210', '886', '224', '506', '395', '829', '496', '6', '141', '287', '228', '63', '464', '85', '521', '149', '877', '921', '24', '346', '430', '965', '707']
['276', '54', '83', '596', '670', '664', '248', '124', '970', '563', '389', '185', '73', '583', '957', '463', '131', '230', '810', '78', '571', '530', '614', '508', '380', '514', '947', '293', '2', '975', '684', '758', '971', '191', '763', '300', '831', '428', '628', '327', '760', '357', '560', '974', '817', '887', '559', '179', '253']
['995', '339', '243', '211', '60', '330', '1', '482', '589', '712', '313', '274', '509', '45', '591', '847', '666', '979', '580', '545', '197', '119', '833', '572', '622', '441', '112', '67', '445', '447', '4', '374', '667', '426', '396', '938', '627', '801', '542', '76', '77', '950', '728', '776', '266', '437', '990', '821', '65']
['349', '671', '369', '200', '151', '808', '409', '168', '702', '478', '625', '315', '985', '624', '890', '17', '405', '782', '479', '954', '279', '350', '567', '661', '792', '685', '68', '853', '240', '294', '84', '839', '159', '164', '784', '160', '900', '123', '19', '245', '106', '310', '408', '852', '34', '649', '740', '227', '984']
['334', '502', '529', '379', '163', '600', '420', '797', '33', '609', '212', '381', '356', '837', '264', '366', '323', '207', '997', '851', '869', '213', '362', '26', '978', '536', '28', '133', '788', '90', '328', '534', '152', '32', '898', '969', '238', '588', '167', '913', '137', '500', '644', '715', '329', '780', '55', '551', '492']
['972', '729', '647', '998', '454', '912', '284', '865', '889', '394', '568', '503', '673', '626', '361', '336', '868', '598', '89', '832', '631', '992', '891', '31', '933', '849', '161', '601', '858', '750', '15', '674', '204', '511', '18', '307', '882', '234', '331', '29', '435', '61', '828', '917', '198', '364', '619', '14', '43']
['861', '804', '967', '254', '385', '874', '332', '952', '263', '338', '277', '566', '557', '382', '117', '768', '553', '618', '620', '741', '53', '996', '416', '689', '944', '930', '289', '532', '209', '296', '612', '337', '983', '525', '98', '256', '932', '301', '57', '695', '271', '558', '505', '13', '948', '766', '993', '714', '342']
['218', '894', '190', '421', '565', '354', '44', '820', '475', '499', '321', '709', '621', '275', '517', '222', '655', '480', '989', '134', '838', '841', '879', '706', '165', '216', '291', '642', '701', '35', '270', '290', '513', '633', '25', '507', '953', '968', '406', '219', '710', '578', '585', '815', '646', '453', '493', '510', '767']
