['383', '184', '644', '32', '37', '424', '435', '343', '660', '746', '717', '799', '10', '164', '240', '228', '8', '222', '586', '893', '603', '60', '235', '48', '763', '611', '483', '236', '254', '96', '655', '549', '737', '203', '45', '594', '779', '30', '694', '150', '294', '522', '877', '529', '542']
['472', '720', '508', '485', '345', '521', '571', '429', '738', '233', '585', '883', '635', '237', '142', '70', '444', '475', '466', '517', '407', '568', '245', '357', '501', '130', '264', '748', '310', '863', '59', '315', '220', '147', '584', '143', '550', '302', '291', '552', '368', '207', '776', '76', '171']
['56', '423', '221', '683', '272', '847', '426', '81', '419', '714', '896', '439', '282', '329', '815', '523', '564', '600', '831', '707', '894', '224', '80', '244', '209', '192', '405', '671', '42', '794', '55', '339', '167', '152', '123', '601', '787', '14', '548', '808', '583', '293', '658', '325', '65']
['785', '436', '565', '661', '491', '572', '226', '347', '190', '269', '6', '767', '283', '760', '183', '257', '691', '149', '578', '336', '69', '292', '678', '309', '394', '816', '647', '559', '204', '248', '155', '526', '132', '22', '5', '538', '759', '706', '146', '669', '116', '471', '305', '747', '614']
['166', '623', '29', '437', '701', '803', '891', '120', '299', '154', '700', '800', '554', '195', '729', '28', '87', '558', '626', '225', '798', '320', '396', '556', '261', '160', '229', '84', '38', '477', '602', '539', '365', '36', '351', '692', '880', '781', '189', '730', '366', '265', '791', '574', '533']
['656', '119', '102', '642', '422', '605', '592', '795', '67', '858', '170', '608', '372', '52', '3', '855', '449', '110', '92', '745', '513', '599', '360', '665', '713', '832', '839', '83', '185', '662', '668', '684', '49', '524', '180', '342', '73', '793', '402', '348', '211', '889', '238', '395', '672']
['61', '541', '688', '17', '648', '579', '822', '696', '617', '498', '356', '159', '505', '421', '716', '156', '276', '266', '382', '15', '712', '690', '242', '227', '864', '846', '547', '202', '676', '401', '54', '344', '493', '413', '573', '139', '433', '379', '416', '24', '274', '100', '417', '111', '18']
['26', '595', '515', '341', '125', '830', '645', '451', '376', '377', '699', '509', '181', '503', '569', '252', '19', '136', '144', '50', '770', '527', '728', '638', '452', '535', '561', '295', '593', '288', '400', '214', '827', '427', '178', '664', '588', '108', '551', '434', '596', '500', '841', '113', '374']
['62', '882', '250', '666', '398', '326', '528', '66', '168', '886', '279', '260', '685', '840', '359', '866', '590', '380', '732', '85', '783', '63', '560', '88', '363', '801', '223', '591', '667', '777', '243', '338', '618', '723', '845', '465', '403', '280', '175', '117', '331', '68', '268', '327', '86']
['25', '35', '256', '563', '385', '622', '0', '577', '802', '367', '774', '562', '511', '218', '619', '546', '321', '881', '82', '23', '652', '740', '734', '230', '726', '854', '387', '173', '659', '867', '399', '639', '41', '597', '97', '161', '673', '682', '819', '346', '172', '438', '12', '271', '641']
['131', '702', '316', '412', '856', '844', '758', '450', '756', '769', '768', '807', '580', '148', '604', '330', '20', '796', '352', '262', '632', '710', '200', '709', '722', '534', '358', '653', '212', '753', '680', '78', '64', '135', '246', '497', '631', '128', '869', '129', '251', '625', '40', '406', '7']
['553', '812', '663', '499', '674', '504', '627', '809', '306', '725', '711', '784', '410', '621', '487', '458', '239', '169', '715', '606', '127', '31', '381', '259', '481', '810', '697', '570', '871', '43', '775', '137', '215', '307', '408', '628', '698', '112', '536', '197', '275', '824', '897', '34', '182']
['470', '373', '879', '754', '598', '589', '703', '140', '58', '253', '704', '695', '457', '687', '199', '752', '328', '582', '198', '107', '353', '637', '837', '105', '445', '27', '133', '162', '719', '833', '876', '842', '420', '490', '290', '489', '425', '852', '415', '727', '273', '93', '540', '432', '689']
['455', '743', '650', '145', '543', '575', '480', '443', '797', '677', '576', '163', '761', '848', '609', '89', '462', '176', '277', '460', '187', '506', '469', '634', '124', '186', '158', '721', '324', '496', '629', '771', '362', '859', '109', '391', '350', '289', '805', '765', '414', '4', '646', '114', '231']
['817', '544', '813', '194', '317', '298', '53', '537', '557', '281', '636', '91', '232', '464', '814', '519', '134', '397', '213', '196', '520', '141', '337', '836', '766', '263', '806', '835', '507', '249', '868', '826', '71', '191', '657', '121', '566', '308', '206', '708', '286', '479', '323', '463', '750']
['188', '620', '208', '247', '764', '478', '219', '90', '820', '773', '640', '624', '474', '850', '411', '829', '205', '567', '633', '440', '693', '287', '153', '138', '388', '518', '13', '484', '782', '780', '297', '514', '675', '772', '892', '106', '823', '430', '428', '378', '739', '494', '849', '786', '681']
['303', '371', '502', '789', '442', '895', '57', '404', '118', '270', '151', '788', '853', '615', '751', '304', '735', '241', '47', '555', '103', '334', '39', '447', '516', '375', '898', '651', '319', '749', '386', '193', '314', '757', '630', '301', '312', '851', '870', '731', '98', '210', '587', '755', '74']
['616', '1', '126', '384', '72', '77', '545', '762', '825', '51', '79', '512', '884', '843', '486', '318', '157', '75', '670', '742', '361', '818', '296', '177', '370', '828', '165', '899', '255', '284', '482', '532', '890', '201', '878', '393', '448', '792', '492', '332', '340', '355', '488', '495', '322']
['95', '11', '216', '510', '821', '115', '865', '612', '217', '686', '349', '530', '790', '778', '104', '473', '354', '389', '313', '525', '446', '454', '122', '456', '705', '409', '459', '44', '872', '441', '649', '733', '861', '46', '860', '885', '2', '838', '679', '467', '643', '875', '392', '607', '804']
['179', '613', '390', '99', '369', '857', '724', '718', '610', '887', '16', '888', '258', '300', '736', '874', '654', '364', '33', '285', '811', '418', '234', '862', '21', '267', '174', '278', '741', '468', '333', '453', '461', '101', '94', '873', '581', '431', '834', '9', '744', '476', '311', '531', '335']
