['108', '722', '832', '336', '993', '135', '408', '943', '52', '973']
['5', '611', '471', '296', '386', '74', '843', '109', '216', '34']
['646', '207', '405', '485', '642', '821', '145', '921', '777', '166']
['338', '406', '232', '947', '835', '834', '716', '210', '994', '761']
['914', '284', '915', '988', '29', '556', '851', '258', '911', '432']
['589', '818', '878', '506', '768', '631', '82', '528', '58', '570']
['864', '165', '552', '783', '434', '482', '599', '21', '593', '760']
['73', '519', '55', '123', '387', '778', '303', '297', '480', '104']
['152', '399', '191', '691', '115', '614', '307', '688', '151', '3']
['41', '576', '902', '472', '275', '906', '312', '581', '91', '80']
['209', '683', '754', '855', '77', '963', '79', '899', '460', '679']
['842', '785', '431', '881', '673', '24', '610', '873', '955', '457']
['357', '774', '897', '200', '25', '738', '654', '198', '573', '992']
['860', '306', '402', '498', '220', '144', '858', '182', '893', '991']
['424', '106', '404', '90', '419', '410', '670', '238', '698', '625']
['229', '178', '591', '817', '454', '13', '854', '140', '38', '977']
['487', '502', '94', '446', '865', '36', '171', '574', '473', '11']
['260', '713', '127', '764', '635', '253', '69', '0', '96', '420']
['808', '949', '450', '736', '364', '373', '772', '638', '753', '355']
['762', '717', '187', '707', '985', '157', '212', '366', '186', '211']
['693', '320', '524', '868', '9', '838', '894', '490', '125', '885']
['948', '227', '116', '816', '980', '329', '285', '51', '230', '900']
['246', '895', '240', '263', '277', '54', '798', '66', '804', '181']
['637', '388', '455', '572', '484', '959', '521', '353', '602', '618']
['231', '703', '76', '219', '935', '45', '325', '721', '177', '655']
['561', '781', '114', '233', '819', '662', '731', '236', '496', '919']
['890', '266', '59', '322', '335', '603', '684', '862', '462', '629']
['850', '805', '613', '795', '961', '917', '369', '317', '776', '968']
['886', '636', '138', '298', '492', '396', '726', '526', '445', '969']
['884', '681', '620', '863', '156', '84', '39', '113', '892', '770']
['318', '164', '56', '737', '267', '314', '554', '323', '883', '136']
['174', '939', '587', '8', '728', '42', '982', '530', '463', '807']
['765', '234', '540', '142', '379', '415', '372', '942', '360', '447']
['598', '251', '223', '423', '272', '505', '543', '362', '497', '724']
['185', '790', '85', '124', '861', '553', '584', '595', '35', '913']
['371', '763', '130', '525', '743', '430', '500', '401', '122', '756']
['141', '414', '391', '733', '529', '956', '571', '311', '549', '953']
['680', '609', '634', '349', '112', '784', '48', '61', '440', '628']
['283', '811', '32', '249', '839', '840', '344', '699', '89', '527']
['729', '918', '153', '888', '245', '523', '606', '453', '255', '546']
['481', '504', '261', '206', '966', '378', '501', '566', '747', '676']
['475', '677', '715', '30', '394', '787', '479', '26', '548', '201']
['930', '601', '119', '824', '347', '44', '417', '331', '907', '802']
['129', '380', '327', '363', '352', '656', '343', '458', '488', '242']
['560', '912', '491', '575', '706', '700', '83', '291', '341', '604']
['169', '295', '478', '537', '199', '385', '250', '384', '62', '413']
['515', '518', '853', '979', '507', '43', '671', '932', '820', '577']
['675', '262', '215', '93', '10', '161', '650', '720', '661', '516']
['168', '903', '97', '217', '1', '512', '702', '254', '972', '15']
['780', '302', '682', '718', '632', '877', '856', '934', '257', '301']
['592', '951', '70', '456', '105', '927', '382', '867', '18', '195']
['531', '149', '771', '72', '786', '938', '98', '449', '741', '397']
['350', '984', '252', '559', '674', '354', '17', '12', '830', '908']
['658', '334', '464', '448', '78', '619', '652', '875', '346', '941']
['539', '468', '779', '541', '744', '876', '869', '118', '435', '962']
['137', '71', '659', '421', '759', '758', '590', '536', '208', '330']
['580', '436', '150', '623', '204', '270', '416', '871', '901', '621']
['983', '184', '866', '665', '998', '375', '111', '583', '146', '328']
['351', '269', '696', '822', '281', '374', '126', '340', '639', '67']
['154', '520', '22', '100', '600', '678', '849', '40', '837', '87']
['740', '224', '452', '685', '666', '359', '163', '235', '19', '859']
