['70', '630', '130', '419', '443', '421', '175', '135', '262', '823', '113', '320', '80', '535', '453', '856', '990', '146', '422', '73', '458', '646', '644', '182', '7', '324', '193']
['626', '701', '83', '383', '675', '845', '136', '279', '367', '557', '740', '931', '301', '429', '353', '475', '854', '91', '651', '518', '488', '849', '698', '775', '679', '607', '76']
['671', '962', '352', '745', '826', '548', '160', '483', '819', '63', '278', '168', '50', '713', '660', '232', '267', '304', '933', '46', '290', '74', '132', '511', '967', '323', '947', '649']
['159', '109', '654', '250', '39', '150', '934', '705', '9', '543', '469', '480', '476', '893', '334', '378', '211', '55', '733', '376', '459', '554', '24', '919', '827', '300', '633', '563']
['235', '831', '664', '472', '242', '147', '739', '305', '711', '619', '560', '898', '982', '689', '110', '40', '752', '22', '667', '257', '904', '624', '372', '980', '514', '184', '393', '385']
['5', '359', '438', '520', '368', '809', '317', '259', '407', '445', '371', '133', '608', '426', '836', '355', '920', '341', '779', '464', '875', '564', '216', '841', '276', '706', '724', '726']
['275', '428', '466', '299', '3', '69', '448', '354', '208', '258', '452', '144', '771', '615', '781', '928', '958', '90', '874', '892', '51', '873', '298', '932', '742', '403', '266', '269']
['617', '527', '696', '588', '568', '985', '935', '581', '245', '424', '523', '437', '714', '71', '974', '272', '888', '665', '861', '167', '853', '728', '129', '516', '595', '358', '335', '60']
['249', '578', '265', '787', '805', '640', '435', '788', '351', '756', '727', '905', '988', '549', '844', '901', '97', '143', '632', '177', '684', '503', '282', '72', '708', '434', '865', '158']
['589', '573', '614', '565', '197', '375', '4', '656', '246', '897', '45', '185', '602', '181', '14', '772', '119', '960', '85', '983', '400', '803', '382', '758', '336', '122', '19', '477']
['225', '260', '981', '268', '846', '314', '264', '710', '338', '118', '912', '174', '811', '940', '984', '785', '924', '653', '198', '363', '381', '457', '755', '760', '643', '65', '295', '487']
['325', '963', '883', '949', '311', '804', '749', '907', '627', '586', '828', '851', '326', '141', '603', '11', '131', '694', '808', '25', '163', '721', '387', '998', '309', '405', '390', '81']
['281', '896', '534', '761', '66', '294', '969', '544', '580', '817', '672', '748', '566', '659', '395', '834', '212', '859', '763', '810', '37', '850', '737', '833', '277', '18', '576', '870']
['599', '188', '531', '976', '447', '286', '329', '356', '979', '56', '871', '157', '662', '757', '30', '121', '47', '900', '285', '661', '540', '669', '43', '510', '474', '555', '916', '529', '180']
['29', '889', '668', '34', '460', '954', '715', '251', '816', '347', '289', '601', '678', '401', '430', '832', '604', '552', '20', '652', '670', '287', '638', '394', '914', '906', '255', '953', '164']
['96', '312', '49', '154', '207', '536', '571', '38', '915', '75', '243', '650', '957', '89', '605', '818', '327', '44', '978', '68', '302', '971', '747', '610', '824', '100', '795', '497', '284']
['21', '843', '412', '569', '965', '500', '377', '519', '310', '769', '77', '194', '481', '470', '780', '942', '59', '815', '753', '244', '929', '228', '922', '577', '717', '950', '729', '777', '618']
['178', '418', '473', '986', '750', '439', '636', '87', '736', '700', '945', '680', '32', '349', '333', '767', '895', '903', '478', '231', '776', '64', '88', '631', '730', '465', '172', '507', '484']
['676', '189', '449', '222', '770', '209', '956', '812', '899', '236', '697', '505', '621', '609', '402', '538', '280', '57', '587', '123', '999', '550', '704', '972', '190', '872', '13', '909', '891']
['54', '991', '6', '876', '362', '567', '111', '27', '241', '176', '712', '794', '547', '191', '570', '292', '886', '792', '975', '923', '0', '551', '768', '2', '291', '112', '682', '408', '539']
['203', '415', '681', '389', '340', '79', '902', '839', '683', '492', '179', '522', '641', '937', '105', '612', '766', '462', '433', '339', '545', '107', '427', '574', '848', '103', '308', '369', '702']
['798', '316', '658', '887', '802', '373', '666', '306', '951', '166', '205', '456', '102', '616', '414', '384', '625', '866', '703', '908', '521', '364', '237', '783', '699', '84', '53', '467', '127']
['691', '261', '322', '693', '513', '252', '350', '432', '425', '801', '388', '910', '814', '575', '217', '590', '145', '442', '140', '820', '436', '342', '223', '598', '98', '562', '153', '361', '120']
['471', '829', '489', '186', '219', '611', '821', '648', '116', '857', '593', '927', '837', '67', '623', '504', '201', '688', '273', '987', '635', '884', '31', '319', '35', '862', '366', '397', '677']
['220', '765', '398', '95', '800', '528', '321', '486', '847', '509', '744', '165', '283', '199', '695', '496', '318', '860', '948', '989', '337', '61', '93', '226', '463', '791', '786', '455', '585']
