['634', '664', '740', '507', '176']
['350', '285', '85', '207', '917']
['401', '303', '27', '449', '459']
['818', '700', '745', '373', '789']
['210', '310', '248', '909', '581']
['965', '765', '546', '756', '118']
['469', '551', '705', '805', '607']
['615', '385', '785', '532', '481']
['950', '544', '502', '335', '899']
['988', '44', '629', '193', '426']
['331', '612', '646', '643', '669']
['510', '984', '275', '972', '726']
['327', '262', '600', '910', '215']
['29', '23', '582', '57', '67']
['499', '489', '74', '790', '322']
['217', '80', '892', '749', '605']
['703', '337', '381', '843', '208']
['195', '866', '572', '256', '160']
['869', '960', '339', '390', '893']
['985', '589', '417', '37', '460']
['38', '948', '620', '708', '66']
['911', '312', '75', '680', '676']
['799', '477', '227', '166', '883']
['792', '974', '253', '219', '598']
['536', '822', '976', '252', '41']
['512', '2', '753', '806', '1']
['307', '249', '821', '903', '635']
['836', '300', '184', '51', '755']
['861', '435', '415', '701', '411']
['695', '53', '9', '382', '211']
['368', '973', '129', '492', '853']
['902', '490', '649', '601', '395']
['245', '858', '346', '552', '96']
['527', '782', '522', '994', '277']
['388', '922', '570', '501', '278']
['800', '556', '461', '961', '464']
['357', '168', '70', '398', '76']
['4', '198', '263', '529', '852']
['42', '136', '655', '783', '506']
['347', '182', '682', '126', '668']
['424', '937', '996', '379', '324']
['720', '82', '992', '829', '952']
['407', '260', '186', '33', '863']
['743', '568', '73', '288', '550']
['686', '442', '878', '850', '932']
['608', '505', '921', '194', '711']
['218', '491', '146', '583', '888']
['251', '16', '54', '780', '430']
['565', '394', '732', '362', '135']
['524', '534', '886', '709', '235']
['229', '795', '422', '723', '827']
['402', '99', '374', '244', '474']
['246', '576', '926', '933', '255']
['599', '63', '731', '956', '558']
['698', '667', '628', '685', '724']
['171', '592', '306', '823', '630']
['856', '290', '786', '487', '639']
['566', '935', '386', '294', '844']
['580', '282', '418', '14', '68']
['584', '541', '341', '623', '59']
['613', '735', '549', '645', '868']
['133', '804', '297', '791', '525']
['111', '266', '158', '716', '553', '396']
['913', '683', '120', '465', '557', '119']
['431', '391', '625', '777', '98', '162']
['953', '311', '981', '472', '231', '484']
['340', '897', '113', '281', '483', '687']
['991', '8', '19', '767', '692', '813']
['343', '833', '270', '86', '441', '466']
['470', '674', '750', '21', '250', '305']
['537', '31', '518', '164', '296', '414']
['520', '999', '540', '702', '138', '28']
['0', '706', '521', '264', '590', '661']
['930', '825', '621', '766', '775', '901']
['5', '482', '760', '216', '196', '989']
['102', '254', '867', '333', '454', '443']
['990', '842', '819', '808', '671', '39']
['535', '539', '602', '447', '476', '814']
['440', '898', '768', '134', '752', '812']
['672', '803', '228', '419', '448', '203']
['258', '201', '318', '585', '652', '918']
['323', '504', '936', '226', '596', '663']
['224', '87', '841', '594', '741', '153']
['187', '593', '204', '137', '35', '60']
['436', '429', '963', '739', '908', '742']
['473', '149', '640', '115', '811', '420']
['321', '234', '653', '163', '376', '644']
['191', '832', '468', '10', '929', '110']
['20', '925', '261', '359', '947', '83']
['696', '479', '289', '924', '969', '387']
['348', '213', '355', '679', '946', '575']
['200', '488', '796', '173', '304', '475']
['717', '530', '458', '954', '942', '177']
['670', '632', '495', '94', '606', '338']
['637', '923', '230', '412', '427', '846']
['802', '762', '380', '50', '971', '142']
['816', '715', '36', '320', '361', '885']
['873', '511', '91', '457', '945', '352']
['132', '728', '486', '657', '72', '15']
['603', '167', '276', '95', '478', '32']
['831', '712', '13', '405', '694', '180']
['144', '978', '889', '81', '143', '631']
['205', '480', '870', '152', '824', '178']
['772', '927', '363', '61', '851', '729']
['962', '912', '905', '325', '273', '353']
['365', '485', '871', '413', '875', '364']
['372', '299', '838', '865', '56', '233']
['128', '579', '154', '438', '693', '225']
['421', '404', '955', '968', '112', '554']
['150', '857', '26', '751', '763', '561']
['116', '714', '49', '707', '179', '145']
['627', '371', '437', '64', '604', '221']
['237', '242', '730', '450', '810', '562']
['377', '633', '127', '24', '567', '890']
['641', '699', '610', '900', '392', '571']
['578', '967', '509', '301', '764', '588']
['998', '48', '497', '269', '236', '591']
['79', '65', '114', '949', '367', '58']
['787', '995', '356', '428', '43', '334']
['983', '626', '826', '839', '25', '516']
['209', '872', '354', '797', '199', '656']
['847', '496', '403', '958', '188', '298']
['526', '907', '848', '523', '247', '329']
['291', '849', '757', '738', '375', '794']
['40', '597', '494', '358', '12', '784']
['697', '904', '624', '817', '286', '271']
['181', '409', '467', '90', '647', '287']
['563', '92', '243', '531', '587', '957']
['265', '393', '666', '894', '801', '279']
['52', '241', '915', '330', '774', '807']
['370', '183', '315', '268', '964', '809']
['444', '202', '462', '456', '727', '713']
['939', '555', '617', '471', '223', '820']
['862', '881', '542', '169', '573', '882']
['545', '159', '384', '423', '284', '979']
['906', '406', '172', '439', '47', '677']
['987', '314', '569', '151', '109', '951']
['577', '658', '18', '622', '369', '197']
['62', '636', '759', '815', '595', '719']
['859', '97', '586', '124', '710', '538']
['959', '34', '238', '232', '141', '78']
['840', '864', '559', '360', '280', '834']
['212', '513', '944', '747', '165', '837']
['754', '517', '638', '940', '830', '104']
['880', '533', '378', '170', '514', '399']
['997', '498', '874', '432', '30', '616']
['302', '106', '455', '673', '55', '272']
['342', '108', '308', '131', '914', '309']
['515', '292', '879', '267', '980', '389']
['122', '650', '349', '855', '704', '174']
['770', '410', '139', '928', '574', '161']
['69', '895', '434', '688', '689', '675']
['239', '648', '560', '916', '665', '508']
['445', '317', '345', '100', '328', '190']
['548', '758', '283', '140', '130', '3']
['614', '93', '148', '860', '344', '185']
['240', '105', '519', '543', '934', '938']
['619', '77', '618', '779', '660', '17']
['313', '214', '876', '977', '970', '771']
['71', '564', '547', '778', '986', '257']
['125', '609', '746', '316', '718', '107']
['22', '941', '659', '332', '684', '854']
['769', '446', '222', '737', '975', '611']
['651', '662', '725', '453', '45', '793']
['319', '828', '89', '147', '121', '336']
['157', '192', '463', '220', '835', '681']
['366', '425', '966', '416', '993', '259']
['887', '690', '326', '748', '845', '400']
['433', '293', '788', '721', '503', '189']
['736', '351', '982', '383', '7', '452']
['877', '123', '103', '943', '46', '744']
['884', '206', '891', '781', '920', '691']
['117', '175', '896', '500', '274', '734']
['776', '156', '84', '528', '931', '6']
['654', '761', '722', '155', '798', '642']
['101', '11', '493', '295', '397', '408']
['88', '733', '919', '678', '451', '773']
