['360', '251', '518']
['72', '207', '759']
['767', '775', '768']
['151', '408', '805']
['515', '204', '591']
['530', '132', '145']
['311', '430', '215']
['486', '717', '708']
['228', '216', '285']
['388', '246', '579']
['723', '355', '763']
['135', '705', '662']
['38', '560', '234']
['670', '661', '667']
['323', '764', '507']
['239', '535', '795']
['589', '257', '280']
['19', '29', '365']
['580', '810', '325']
['403', '751', '295']
['361', '629', '688']
['681', '327', '474']
['644', '584', '18']
['392', '277', '431']
['310', '815', '17']
['314', '492', '726']
['373', '593', '330']
['727', '39', '684']
['564', '308', '450']
['73', '272', '59']
['719', '788', '712']
['748', '648', '806']
['158', '128', '496']
['262', '781', '96', '67']
['432', '25', '603', '475']
['783', '342', '454', '131']
['186', '434', '679', '344']
['265', '178', '240', '464']
['338', '612', '782', '134']
['43', '520', '415', '182']
['570', '620', '61', '812']
['89', '318', '758', '452']
['412', '5', '16', '429']
['536', '548', '122', '693']
['411', '451', '745', '261']
['404', '799', '575', '724']
['678', '789', '424', '302']
['710', '268', '510', '4']
['27', '283', '602', '306']
['282', '106', '639', '557']
['521', '653', '769', '673']
['198', '124', '368', '614']
['8', '633', '192', '287']
['369', '339', '156', '642']
['152', '102', '210', '568']
['574', '416', '477', '616']
['171', '546', '497', '100']
['187', '354', '214', '585']
['305', '278', '610', '524']
['482', '559', '587', '335']
['316', '425', '221', '7']
['235', '531', '108', '2']
['236', '596', '367', '337']
['172', '499', '299', '467']
['284', '725', '493', '753']
['715', '626', '480', '190']
['52', '103', '721', '697']
['664', '28', '402', '266']
['785', '426', '792', '248']
['304', '141', '698', '136']
['458', '743', '533', '650']
['550', '334', '423', '288']
['417', '470', '677', '94']
['66', '23', '517', '150']
['301', '731', '509', '472']
['571', '460', '634', '750']
['121', '208', '270', '555']
['11', '63', '74', '439']
['382', '383', '362', '598']
['9', '465', '170', '605']
['93', '197', '765', '737']
['669', '704', '297', '543']
['755', '317', '729', '784']
['528', '619', '147', '801']
['358', '275', '551', '289']
['60', '237', '193', '516']
['53', '137', '641', '456']
['577', '490', '802', '718']
['406', '476', '255', '469']
['576', '118', '761', '180']
['643', '169', '563', '722']
['776', '162', '185', '58']
['794', '78', '12', '744']
['680', '54', '747', '199']
['44', '213', '0', '110']
['291', '495', '69', '326']
['279', '554', '188', '10']
['377', '741', '395', '627']
['176', '238', '260', '356']
['153', '184', '256', '397']
['166', '632', '556', '734']
['396', '34', '217', '542']
['76', '512', '567', '703']
['183', '473', '628', '549']
['292', '409', '322', '376']
['658', '243', '387', '294']
['211', '350', '254', '175']
['414', '56', '45', '462']
['713', '446', '300', '790']
['594', '48', '298', '245']
['233', '656', '105', '413']
['68', '15', '481', '79']
['22', '114', '92', '695']
['562', '651', '241', '273']
['3', '649', '378', '447']
['714', '346', '500', '463']
['191', '281', '565', '691']
['319', '505', '514', '606']
['600', '645', '303', '84']
['811', '604', '529', '125']
['660', '174', '582', '276']
['526', '607', '752', '312']
['762', '622', '545', '652']
['445', '787', '75', '46']
['47', '419', '506', '385']
['484', '267', '112', '293']
['777', '798', '142', '203']
['442', '552', '791', '523']
['485', '88', '87', '315']
['386', '732', '804', '636']
['391', '818', '115', '163']
['491', '130', '803', '194']
['428', '588', '390', '436']
['687', '816', '766', '466']
['6', '655', '286', '116']
['229', '225', '363', '227']
['448', '271', '471', '259']
['809', '666', '86', '773']
['690', '654', '133', '252']
['232', '779', '418', '30']
['384', '159', '242', '592']
['81', '659', '468', '544']
['95', '269', '64', '32']
['62', '709', '478', '148']
['800', '770', '746', '665']
['558', '250', '572', '422']
['336', '101', '189', '433']
['328', '569', '630', '167']
['33', '686', '754', '435']
['83', '349', '111', '711']
['26', '40', '331', '296']
['527', '676', '359', '372']
['617', '20', '663', '581']
['347', '618', '590', '578']
['730', '379', '494', '138']
['583', '778', '154', '702']
['508', '99', '410', '51']
['646', '814', '631', '70']
['540', '637', '689', '694']
['699', '231', '375', '440']
['640', '206', '157', '522']
['401', '357', '635', '541']
['728', '513', '181', '146']
['394', '218', '498', '212']
['461', '224', '780', '205']
['98', '539', '91', '329']
['774', '244', '36', '566']
['489', '209', '366', '716']
['547', '400', '561', '374']
['90', '127', '264', '155']
['707', '756', '35', '380']
['597', '503', '573', '757']
['113', '553', '421', '483']
['459', '50', '657', '808']
['117', '405', '706', '398']
['807', '332', '611', '165']
['200', '786', '226', '177']
['621', '453', '340', '37']
['161', '219', '735', '586']
['173', '813', '668', '343']
['682', '700', '196', '796']
['438', '263', '742', '65']
['324', '249', '671', '696']
['381', '55', '21', '738']
['253', '623', '625', '14']
['352', '740', '371', '220']
['455', '441', '351', '370']
['123', '230', '449', '624']
['599', '771', '179', '77']
['320', '348', '313', '353']
['488', '501', '595', '49']
['427', '479', '202', '139']
['504', '674', '511', '24']
['85', '129', '683', '817']
['538', '71', '733', '389']
['119', '692', '532', '772']
['149', '519', '613', '144']
['739', '1', '638', '109']
['364', '140', '601', '797']
['615', '399', '42', '120']
['341', '201', '290', '126']
['345', '309', '444', '685']
['57', '82', '736', '407']
['164', '104', '793', '168']
['672', '608', '321', '502']
['534', '222', '223', '675']
['41', '437', '525', '749']
['97', '420', '13', '487']
['195', '720', '31', '701']
['258', '393', '160', '760']
['80', '247', '647', '537']
['333', '274', '143', '107']
['609', '457', '443', '307']
