['815', '260', '682', '390']
['482', '56', '731', '853']
['353', '335', '695', '119']
['78', '777', '727', '470']
['734', '702', '125', '187']
['637', '41', '868', '934']
['509', '220', '605', '804']
['44', '157', '349', '581']
['664', '469', '944', '340']
['690', '769', '461', '776']
['326', '405', '832', '327']
['627', '31', '761', '238']
['745', '665', '294', '127']
['947', '524', '937', '587']
['498', '912', '131', '814']
['520', '879', '700', '49']
['431', '142', '96', '674']
['16', '535', '126', '77']
['885', '291', '582', '822']
['495', '173', '955', '337']
['114', '92', '109', '192']
['572', '808', '807', '105']
['297', '568', '439', '871']
['890', '728', '264', '603']
['40', '208', '42', '95']
['493', '448', '88', '618']
['941', '579', '253', '517']
['175', '534', '950', '296']
['307', '332', '685', '121']
['550', '361', '445', '543']
['819', '18', '840', '539']
['462', '601', '563', '901']
['624', '658', '620', '877']
['123', '232', '89', '778']
['894', '402', '122', '709']
['805', '221', '272', '435']
['207', '655', '724', '288']
['806', '443', '231', '545']
['784', '382', '61', '314']
['571', '733', '414', '24']
['551', '681', '619', '689']
['178', '67', '422', '892']
['617', '487', '598', '538']
['425', '613', '176', '322']
['802', '756', '935', '138']
['284', '15', '256', '468']
['250', '199', '303', '749']
['797', '269', '735', '391']
['846', '267', '464', '1']
['698', '511', '111', '897']
['350', '899', '866', '781']
['466', '139', '564', '908']
['599', '97', '943', '786']
['8', '286', '258', '515']
['719', '4', '793', '33']
['578', '194', '399', '233']
['829', '787', '848', '421']
['71', '744', '255', '279']
['825', '544', '926', '951']
['360', '625', '916', '726']
['458', '66', '946', '79']
['474', '872', '610', '169']
['244', '277', '93', '195']
['860', '640', '149', '555']
['415', '562', '94', '298']
['954', '328', '442', '334']
['835', '202', '213', '215']
['197', '858', '251', '218']
['590', '651', '384', '135']
['649', '290', '660', '404']
['669', '666', '554', '2']
['573', '865', '945', '763']
['374', '20', '883', '626']
['450', '693', '321', '622']
['418', '928', '592', '833']
['898', '753', '47', '679']
['243', '144', '377', '837']
['423', '401', '646', '419']
['9', '380', '86', '762']
['547', '737', '454', '59']
['936', '347', '379', '58']
['854', '830', '352', '852']
['416', '924', '876', '130']
['694', '499', '956', '891']
['156', '413', '236', '921']
['800', '23', '847', '902']
['826', '500', '556', '237']
['948', '36', '900', '230']
['502', '949', '525', '913']
['134', '14', '602', '743']
['684', '398', '356', '915']
['43', '34', '212', '812']
['836', '942', '308', '274']
['392', '629', '331', '663']
['570', '338', '160', '925']
['287', '767', '584', '179']
['811', '671', '164', '299']
['506', '190', '368', '911']
['73', '788', '222', '878']
['165', '447', '324', '373']
['188', '855', '612', '843']
['574', '576', '385', '594']
['166', '227', '485', '116']
['235', '704', '531', '262']
['172', '533', '648', '434']
['276', '225', '163', '565']
['103', '441', '796', '718']
['773', '765', '53', '200']
['862', '691', '794', '645']
['91', '496', '32', '158']
['701', '219', '494', '70']
['803', '722', '80', '214']
['755', '113', '711', '739']
['920', '644', '285', '318']
['771', '381', '939', '723']
['397', '580', '600', '6']
['519', '433', '917', '729']
['715', '742', '507', '874']
['363', '914', '907', '69']
['76', '893', '226', '148']
['813', '632', '348', '512']
['516', '839', '656', '623']
['204', '189', '888', '795']
['174', '473', '933', '387']
['51', '292', '205', '54']
['918', '304', '90', '265']
['7', '151', '817', '26']
['45', '823', '856', '72']
['263', '411', '635', '710']
['527', '406', '927', '504']
['844', '198', '182', '647']
['895', '696', '757', '643']
['607', '323', '270', '35']
['801', '313', '747', '13']
['463', '792', '522', '295']
['82', '467', '488', '46']
['842', '642', '932', '159']
['37', '87', '275', '532']
['938', '750', '530', '459']
['514', '528', '50', '115']
['670', '654', '683', '882']
['184', '3', '30', '217']
['64', '240', '779', '83']
['575', '697', '490', '452']
['548', '497', '821', '606']
['560', '372', '153', '631']
['667', '400', '52', '775']
['143', '738', '851', '254']
['561', '211', '583', '112']
['752', '703', '457', '234']
['300', '99', '705', '302']
['209', '155', '501', '652']
