['538', '275', '514', '943', '150']
['227', '665', '502', '326', '889']
['896', '721', '783', '255', '46']
['379', '654', '518', '238', '19']
['161', '883', '829', '272', '224']
['321', '352', '743', '644', '580']
['296', '900', '516', '30', '438']
['748', '579', '292', '607', '878']
['267', '367', '760', '356', '385']
['277', '426', '313', '218', '410']
['931', '102', '335', '700', '14']
['223', '749', '432', '87', '138']
['619', '136', '166', '547', '770']
['863', '436', '447', '563', '293']
['215', '3', '235', '435', '791']
['622', '689', '465', '231', '987']
['141', '616', '43', '106', '957']
['486', '907', '185', '90', '864']
['739', '52', '74', '29', '736']
['441', '645', '180', '119', '520']
['796', '930', '200', '961', '403']
['148', '217', '371', '594', '429']
['378', '167', '151', '591', '672']
['368', '492', '253', '434', '244']
['81', '602', '674', '28', '398']
['972', '678', '769', '248', '118']
['964', '908', '976', '928', '54']
['188', '64', '969', '683', '178']
['73', '545', '963', '641', '330']
['496', '9', '234', '757', '186']
['981', '471', '881', '418', '208']
['986', '873', '767', '424', '324']
['846', '219', '939', '444', '77']
['443', '835', '802', '315', '651']
['759', '67', '334', '299', '481']
['58', '51', '258', '937', '848']
['971', '393', '376', '489', '63']
['406', '875', '449', '175', '546']
['876', '952', '561', '712', '132']
['8', '209', '648', '304', '491']
['886', '821', '894', '25', '772']
['647', '948', '621', '348', '824']
['584', '804', '156', '929', '415']
['364', '484', '528', '405', '191']
['15', '211', '419', '176', '920']
['754', '601', '349', '808', '226']
['699', '390', '569', '657', '703']
['252', '312', '149', '650', '997']
['780', '941', '950', '273', '577']
['169', '708', '103', '745', '455']
['11', '59', '274', '344', '994']
['747', '62', '995', '467', '503']
['694', '495', '69', '109', '475']
['695', '682', '938', '718', '978']
['194', '856', '183', '811', '116']
['593', '830', '582', '707', '903']
['635', '172', '879', '970', '838']
['278', '548', '10', '975', '442']
['555', '126', '571', '716', '380']
['750', '664', '590', '794', '985']
['709', '597', '715', '276', '609']
['850', '872', '96', '482', '751']
['845', '643', '228', '137', '374']
['782', '779', '280', '880', '923']
['530', '702', '413', '206', '269']
['266', '357', '752', '560', '213']
['45', '476', '174', '76', '606']
['337', '318', '306', '991', '834']
['346', '440', '506', '448', '387']
['734', '926', '874', '112', '309']
['33', '251', '165', '898', '37']
['633', '125', '858', '336', '394']
['870', '803', '493', '911', '862']
['369', '20', '110', '198', '401']
['983', '646', '396', '104', '134']
['966', '924', '669', '944', '765']
['428', '308', '558', '655', '488']
['164', '714', '666', '933', '618']
['792', '921', '171', '88', '725']
['639', '686', '297', '472', '237']
['288', '287', '697', '422', '851']
['733', '620', '902', '527', '586']
['562', '844', '94', '642', '464']
['713', '581', '86', '205', '660']
['533', '12', '945', '852', '44']
['500', '416', '675', '677', '382']
['698', '454', '624', '114', '121']
['914', '347', '827', '91', '899']
['637', '891', '568', '884', '146']
['68', '289', '21', '22', '433']
['974', '888', '942', '605', '553']
['462', '679', '373', '790', '497']
['617', '630', '307', '973', '819']
['411', '256', '115', '451', '611']
['662', '916', '901', '16', '363']
['504', '423', '671', '36', '145']
['155', '473', '412', '526', '977']
['832', '629', '868', '507', '904']
['773', '450', '993', '890', '456']
['437', '130', '294', '722', '383']
['190', '567', '758', '360', '320']
['861', '521', '327', '182', '587']
['56', '201', '239', '552', '867']
['392', '439', '222', '687', '232']
['731', '319', '6', '325', '245']
['676', '460', '283', '984', '254']
['810', '652', '690', '724', '515']
['649', '549', '823', '117', '26']
['221', '501', '160', '815', '673']
['659', '912', '839', '511', '372']
['887', '786', '381', '737', '427']
['524', '384', '753', '271', '303']
['925', '544', '268', '557', '386']
['968', '5', '755', '604', '78']
['84', '556', '80', '249', '216']
['365', '756', '187', '105', '133']
['328', '653', '203', '710', '992']
['681', '917', '407', '466', '430']
['257', '469', '627', '53', '842']
['781', '459', '746', '946', '658']
['7', '18', '159', '614', '34']
['41', '795', '871', '588', '39']
['523', '909', '777', '181', '85']
['837', '785', '865', '92', '322']
['789', '140', '359', '831', '101']
['814', '60', '632', '738', '351']
['996', '225', '49', '720', '512']
['233', '247', '298', '72', '42']
['477', '816', '877', '47', '869']
['50', '265', '229', '954', '95']
['262', '543', '855', '822', '940']
['139', '123', '457', '860', '551']
['570', '744', '600', '626', '281']
['927', '295', '999', '40', '263']
['585', '65', '510', '775', '193']
['959', '38', '953', '163', '965']
['778', '290', '361', '264', '311']
['179', '573', '192', '793', '589']
['688', '279', '537', '4', '199']
['915', '841', '111', '212', '967']
['431', '859', '397', '599', '615']
['342', '766', '554', '805', '170']
['801', '661', '800', '735', '93']
['23', '420', '691', '613', '177']
['667', '144', '214', '866', '343']
['480', '540', '108', '168', '250']
['184', '31', '960', '857', '261']
['843', '575', '910', '1', '534']
['574', '494', '812', '196', '990']
['338', '414', '153', '71', '951']
['301', '2', '508', '66', '828']
['32', '833', '893', '559', '532']
['513', '0', '246', '818', '243']
['485', '882', '310', '701', '797']
['259', '732', '230', '375', '825']
['152', '331', '409', '470', '612']
['358', '813', '70', '680', '807']
['763', '487', '519', '762', '885']
['479', '408', '316', '284', '260']
['711', '17', '421', '490', '576']
['242', '774', '323', '341', '536']
['498', '24', '919', '173', '463']
['362', '740', '572', '849', '285']
['693', '922', '542', '670', '723']
['728', '305', '333', '370', '935']
['980', '340', '892', '798', '817']
['742', '207', '988', '122', '57']
['947', '771', '270', '402', '598']
['197', '906', '241', '564', '13']
['509', '395', '300', '499', '895']
['788', '195', '596', '162', '913']
['522', '48', '696', '220', '934']
['425', '853', '956', '355', '157']
['764', '236', '640', '458', '847']
['517', '124', '147', '332', '583']
['240', '905', '99', '474', '317']
['468', '391', '131', '668', '388']
['61', '529', '623', '127', '608']
['936', '75', '989', '730', '631']
['932', '979', '400', '628', '135']
['350', '719', '541', '603', '768']
['97', '535', '478', '417', '826']
['595', '286', '154', '525', '998']
['389', '741', '483', '202', '820']
['809', '704', '962', '100', '799']
['291', '592', '210', '446', '128']
['550', '578', '636', '726', '302']
['784', '377', '158', '955', '129']
['776', '35', '55', '625', '717']
['705', '761', '143', '82', '566']
['685', '107', '918', '120', '634']
['505', '663', '836', '461', '452']
['27', '840', '399', '329', '565']
['638', '684', '445', '854', '727']
['806', '89', '339', '98', '949']
['656', '314', '982', '958', '610']
['345', '729', '531', '404', '282']
['897', '787', '692', '539', '706']
['79', '354', '453', '83', '366']
['113', '353', '204', '189', '142']
