['492', '572', '774']
['830', '598', '738']
['388', '328', '587']
['305', '502', '688']
['174', '737', '358']
['797', '719', '814']
['801', '93', '85']
['397', '87', '164']
['250', '552', '460']
['266', '412', '475']
['326', '715', '571']
['563', '448', '211']
['550', '169', '189']
['387', '406', '526']
['383', '693', '613']
['68', '671', '599']
['706', '31', '51']
['453', '314', '146']
['376', '792', '765']
['659', '140', '459']
['237', '311', '423']
['780', '749', '539']
['452', '505', '292']
['226', '593', '53']
['223', '261', '278']
['253', '753', '3']
['614', '580', '42']
['507', '650', '432']
['483', '29', '827']
['356', '790', '221']
['9', '89', '277']
['309', '371', '74']
['135', '213', '831']
['789', '838', '497']
['649', '638', '229']
['616', '156', '610']
['440', '811', '77']
['586', '506', '795']
['205', '445', '106']
['758', '542', '115']
['75', '24', '487']
['745', '319', '447']
['557', '821', '4']
['56', '662', '678']
['796', '523', '219']
['14', '247', '32']
['60', '455', '401']
['642', '516', '336']
['629', '6', '48']
['291', '438', '672']
['155', '318', '82']
['768', '676', '514']
['806', '615', '58']
['588', '294', '596']
['73', '81', '799']
['674', '183', '181']
['463', '411', '147']
['786', '231', '577']
['823', '680', '225']
['462', '144', '835']
['234', '634', '312']
['224', '800', '489']
['699', '687', '249']
['303', '592', '161']
['1', '228', '129']
['748', '152', '341']
['832', '548', '622']
['424', '349', '605']
['465', '661', '533']
['299', '12', '421']
['168', '636', '280']
['581', '30', '725']
['524', '404', '384']
['159', '273', '648']
['567', '367', '718']
['337', '258', '813']
['251', '477', '775']
['22', '794', '583']
['710', '584', '461']
['770', '137', '379']
['202', '67', '695']
['338', '701', '591']
['742', '529', '723']
['604', '317', '139']
['544', '410', '372']
['389', '843', '190']
['340', '667', '13']
['468', '45', '844']
['810', '601', '576']
['91', '193', '756']
['537', '297', '763']
['151', '354', '643']
['194', '131', '645']
['313', '434', '623']
['59', '626', '196']
['97', '467', '530']
['267', '21', '807']
['405', '175', '63']
['220', '207', '100']
['403', '519', '5']
['669', '364', '180']
['549', '471', '8']
['62', '212', '787']
['574', '276', '498']
['504', '553', '34']
['818', '547', '132']
['138', '422', '443']
['17', '705', '803']
['820', '243', '339']
['203', '218', '683']
['454', '759', '485']
['366', '95', '802']
['509', '594', '590']
['125', '558', '618']
['522', '784', '757']
['808', '490', '11']
['322', '300', '170']
['804', '10', '66']
['49', '275', '76']
['126', '171', '617']
['532', '142', '724']
['222', '302', '670']
['47', '566', '157']
['235', '7', '306']
['451', '722', '717']
['560', '476', '630']
['204', '739', '352']
['178', '23', '639']
['690', '781', '582']
['20', '413', '511']
['836', '353', '573']
['361', '214', '173']
['279', '109', '259']
['675', '750', '208']
['187', '658', '301']
['52', '252', '260']
['673', '160', '165']
['248', '393', '118']
['788', '241', '733']
['602', '418', '272']
['488', '585', '691']
['824', '195', '624']
['540', '446', '679']
['685', '747', '429']
['342', '433', '761']
['290', '215', '578']
['209', '607', '40']
['86', '709', '554']
['840', '119', '307']
['230', '201', '515']
['470', '61', '402']
['265', '363', '377']
['112', '779', '435']
['16', '746', '754']
['782', '707', '570']
['240', '191', '346']
['646', '569', '562']
['347', '568', '242']
['491', '777', '531']
['464', '500', '469']
['665', '416', '677']
['579', '310', '117']
['199', '162', '396']
['324', '255', '711']
['167', '841', '668']
['43', '425', '321']
['503', '148', '608']
['298', '264', '206']
['163', '564', '348']
['640', '730', '335']
['651', '293', '120']
['816', '360', '271']
['771', '458', '785']
['527', '55', '628']
['600', '751', '449']
['18', '295', '494']
['122', '103', '632']
['575', '121', '15']
['262', '817', '702']
['734', '834', '809']
['186', '561', '28']
['720', '320', '368']
['518', '256', '512']
['369', '741', '172']
['378', '96', '239']
['755', '657', '839']
['365', '472', '538']
['619', '726', '535', '269']
['704', '270', '520', '703']
['731', '713', '473', '227']
['333', '791', '41', '776']
['825', '501', '546', '769']
['728', '442', '158', '400']
['182', '612', '444', '655']
['597', '110', '246', '149']
['474', '735', '482', '697']
['517', '36', '134', '420']
['185', '559', '541', '197']
['200', '689', '736', '727']
['528', '426', '345', '762']
['633', '419', '486', '712']
['479', '331', '289', '78']
['812', '660', '285', '653']
['793', '457', '380', '752']
['656', '50', '663', '496']
['395', '72', '621', '286']
['436', '177', '732', '381']
['609', '107', '244', '176']
['437', '57', '236', '150']
['375', '37', '828', '153']
['390', '714', '666', '773']
['329', '373', '198', '694']
['386', '188', '263', '408']
['44', '603', '80', '217']
['565', '25', '38', '394']
['344', '184', '555', '837']
['764', '833', '370', '652']
['480', '65', '431', '534']
['439', '99', '721', '766']
['417', '647', '819', '88']
['611', '829', '551', '27']
['743', '637', '0', '783']
['635', '536', '84', '101']
['641', '83', '357', '391']
['113', '79', '296', '284']
['407', '254', '130', '136']
['441', '644', '631', '124']
['323', '545', '456', '143']
['521', '428', '362', '450']
['2', '343', '606', '805']
['71', '179', '760', '102']
['392', '414', '274', '92']
['330', '589', '815', '315']
['98', '466', '245', '26']
['556', '128', '39', '374']
['481', '145', '772', '70']
['351', '166', '35', '325']
['116', '308', '510', '700']
['627', '233', '281', '513']
['350', '332', '141', '359']
['493', '499', '692', '19']
['798', '664', '46', '708']
['111', '620', '740', '484']
['684', '778', '192', '654']
['304', '399', '123', '744']
['543', '288', '409', '216']
['681', '625', '287', '104']
['94', '90', '686', '495']
['682', '508', '257', '729']
['327', '334', '114', '238']
['232', '127', '69', '696']
['154', '355', '767', '268']
['283', '64', '427', '478']
['210', '316', '716', '698']
['415', '398', '382', '595']
['105', '54', '842', '282']
['108', '525', '133', '385']
['826', '822', '33', '430']
