['510', '704', '346', '759', '990', '568', '836', '54', '641', '552', '632', '416', '272', '104', '198', '310', '964', '743', '927', '479']
['627', '805', '821', '324', '639', '331', '711', '14', '59', '930', '142', '816', '605', '280', '949', '603', '725', '942', '706', '858']
['66', '383', '934', '904', '956', '498', '392', '17', '435', '332', '103', '312', '890', '167', '58', '264', '335', '183', '60', '888']
['245', '656', '367', '523', '166', '33', '296', '440', '635', '277', '364', '261', '179', '629', '926', '779', '682', '778', '913', '90']
['87', '126', '615', '515', '657', '217', '135', '112', '505', '169', '826', '748', '380', '105', '729', '325', '674', '313', '500', '42']
['144', '899', '64', '859', '654', '472', '705', '939', '508', '597', '831', '56', '576', '875', '474', '512', '186', '628', '13', '525']
['454', '422', '10', '187', '921', '799', '334', '478', '723', '633', '800', '982', '882', '987', '161', '299', '765', '577', '901', '842']
['961', '838', '769', '773', '701', '983', '669', '537', '16', '750', '923', '434', '68', '503', '219', '740', '323', '73', '675', '172']
['393', '389', '130', '119', '116', '268', '747', '113', '228', '79', '738', '63', '424', '710', '933', '177', '203', '786', '687', '124']
['846', '636', '671', '772', '847', '446', '712', '583', '620', '969', '239', '266', '584', '379', '114', '363', '159', '856', '595', '598']
['69', '443', '777', '241', '221', '518', '249', '685', '607', '691', '626', '290', '216', '399', '760', '545', '133', '184', '427', '531']
['974', '462', '580', '118', '589', '223', '227', '438', '803', '263', '492', '943', '647', '129', '833', '762', '730', '170', '122', '193']
['624', '562', '278', '813', '92', '46', '117', '660', '806', '157', '661', '165', '88', '279', '617', '807', '2', '206', '551', '84']
['12', '787', '208', '608', '642', '992', '513', '291', '430', '354', '726', '770', '253', '874', '797', '946', '292', '403', '309', '560']
['908', '571', '619', '270', '212', '550', '655', '1', '895', '917', '327', '612', '841', '886', '343', '900', '265', '75', '413', '365']
['132', '892', '724', '83', '185', '749', '138', '255', '962', '549', '32', '745', '366', '885', '579', '452', '37', '26', '804', '466']
['830', '526', '429', '285', '465', '448', '814', '665', '857', '843', '541', '408', '801', '848', '171', '894', '381', '490', '369', '613']
['411', '145', '837', '791', '190', '250', '109', '473', '827', '41', '396', '471', '829', '898', '368', '794', '810', '201', '823', '65']
['719', '893', '844', '146', '637', '11', '696', '441', '910', '972', '708', '444', '789', '542', '385', '596', '9', '25', '29', '808']
['824', '713', '646', '570', '231', '622', '676', '451', '276', '998', '433', '717', '563', '538', '155', '197', '602', '254', '782', '733']
['50', '714', '181', '699', '225', '400', '53', '532', '828', '386', '788', '918', '99', '535', '648', '976', '566', '825', '160', '19']
['195', '658', '428', '173', '237', '955', '412', '419', '849', '686', '528', '520', '938', '211', '876', '23', '74', '259', '937', '156']
['306', '302', '141', '314', '702', '224', '123', '870', '864', '940', '688', '507', '502', '499', '812', '168', '52', '207', '404', '200']
['463', '915', '555', '914', '994', '734', '3', '852', '968', '357', '315', '7', '340', '483', '240', '442', '356', '77', '811', '49']
['378', '215', '149', '539', '742', '295', '174', '727', '978', '606', '834', '281', '798', '881', '911', '581', '274', '721', '754', '511']
['556', '623', '34', '230', '653', '374', '695', '679', '482', '178', '965', '258', '575', '6', '89', '388', '979', '338', '594', '573']
['809', '410', '880', '316', '971', '345', '303', '954', '417', '790', '220', '320', '929', '27', '592', '700', '226', '298', '609', '763']
['98', '966', '317', '355', '963', '475', '301', '873', '519', '337', '588', '722', '373', '869', '28', '643', '449', '673', '524', '8']
['407', '839', '311', '755', '489', '204', '329', '44', '134', '878', '822', '601', '319', '739', '903', '147', '694', '774', '275', '732']
['78', '43', '67', '460', '81', '289', '557', '916', '305', '414', '614', '326', '666', '587', '51', '390', '48', '947', '757', '945']
['582', '989', '958', '336', '950', '509', '751', '459', '650', '610', '533', '82', '889', '485', '877', '792', '959', '148', '352', '600']
['196', '863', '975', '152', '668', '924', '868', '297', '667', '194', '453', '4', '752', '494', '256', '282', '361', '872', '235', '469']
['286', '349', '861', '376', '180', '418', '260', '102', '883', '283', '715', '139', '477', '681', '300', '243', '45', '106', '995', '176']
['468', '398', '293', '382', '935', '920', '436', '71', '973', '209', '191', '199', '506', '242', '39', '879', '111', '244', '703', '461']
['101', '855', '493', '683', '437', '663', '456', '996', '257', '716', '308', '229', '553', '402', '795', '932', '353', '820', '421', '672']
['775', '85', '689', '884', '318', '967', '22', '574', '783', '360', '93', '377', '409', '162', '944', '851', '931', '737', '529', '222']
['693', '120', '397', '128', '835', '246', '735', '76', '94', '236', '333', '210', '15', '928', '561', '467', '534', '514', '153', '205']
