['689', '679', '83', '792', '534', '837', '220', '14', '272', '333', '938', '738', '92', '833', '200', '852', '633', '348', '352', '342', '536', '991', '586', '274', '435', '363', '276', '150', '65', '895']
['244', '715', '630', '546', '799', '127', '47', '383', '658', '813', '790', '225', '708', '289', '898', '555', '757', '459', '673', '794', '978', '442', '779', '551', '95', '888', '827', '966', '845', '972']
['611', '958', '129', '174', '250', '635', '676', '521', '240', '183', '980', '507', '380', '224', '81', '384', '306', '556', '615', '510', '458', '985', '50', '110', '670', '446', '711', '863', '212', '87']
['836', '408', '588', '639', '298', '935', '700', '420', '920', '337', '691', '89', '766', '771', '702', '11', '339', '539', '312', '315', '232', '394', '364', '731', '879', '302', '485', '926', '876', '616']
['417', '756', '386', '892', '943', '824', '939', '989', '261', '234', '815', '327', '607', '388', '84', '94', '878', '7', '91', '698', '195', '628', '128', '503', '441', '724', '262', '107', '209', '90']
['135', '105', '263', '747', '619', '869', '642', '844', '562', '133', '88', '49', '140', '959', '656', '954', '544', '722', '423', '117', '362', '816', '800', '871', '19', '469', '882', '621', '641', '395']
['320', '697', '721', '138', '280', '32', '728', '595', '552', '999', '236', '80', '366', '316', '801', '690', '399', '727', '716', '38', '211', '281', '130', '34', '254', '955', '726', '474', '487', '660']
['40', '480', '52', '36', '803', '758', '39', '940', '839', '703', '791', '909', '753', '933', '121', '6', '136', '549', '829', '338', '678', '20', '23', '184', '578', '278', '311', '76', '222', '157']
['491', '864', '812', '324', '357', '653', '223', '740', '759', '164', '786', '301', '132', '504', '674', '960', '269', '646', '344', '517', '452', '838', '776', '247', '924', '822', '61', '680', '538', '419']
['554', '31', '382', '253', '203', '686', '894', '111', '346', '131', '798', '886', '664', '361', '70', '25', '579', '106', '120', '273', '180', '267', '93', '717', '414', '986', '336', '512', '795', '964', '681']
['218', '540', '377', '307', '625', '797', '807', '826', '907', '64', '983', '657', '629', '187', '696', '82', '407', '713', '283', '74', '256', '460', '13', '241', '592', '328', '626', '746', '373', '566', '961']
['998', '284', '471', '360', '317', '275', '185', '548', '163', '369', '744', '853', '161', '56', '550', '748', '169', '814', '246', '483', '245', '568', '465', '573', '411', '340', '198', '644', '902', '436', '494']
['610', '347', '585', '319', '929', '760', '953', '645', '215', '264', '405', '505', '720', '445', '153', '194', '502', '648', '603', '329', '631', '12', '15', '685', '581', '704', '818', '189', '532', '669', '109']
['310', '969', '725', '196', '612', '751', '906', '205', '891', '385', '984', '979', '233', '928', '780', '851', '823', '258', '519', '905', '593', '977', '843', '37', '788', '877', '152', '9', '743', '662', '908']
['587', '375', '335', '542', '53', '862', '456', '500', '565', '404', '956', '102', '511', '197', '124', '257', '104', '574', '332', '42', '479', '430', '522', '881', '143', '475', '365', '75', '718', '858', '732']
['857', '493', '558', '893', '97', '145', '531', '22', '1', '177', '796', '125', '624', '46', '466', '134', '918', '228', '777', '453', '123', '231', '564', '701', '570', '904', '243', '865', '266', '288', '873', '415']
['994', '226', '238', '429', '993', '805', '57', '665', '849', '981', '677', '354', '520', '850', '860', '974', '186', '478', '371', '535', '141', '705', '98', '623', '305', '122', '501', '919', '41', '251', '947', '492']
['608', '821', '464', '147', '975', '545', '916', '934', '201', '594', '789', '376', '734', '682', '885', '118', '514', '597', '513', '590', '390', '640', '100', '952', '835', '496', '870', '343', '392', '750', '693', '495']
['946', '260', '191', '841', '598', '252', '921', '24', '59', '282', '875', '424', '248', '178', '965', '684', '497', '995', '331', '30', '825', '884', '846', '270', '547', '530', '847', '663', '313', '33', '915', '982']
['774', '473', '987', '165', '806', '182', '349', '572', '85', '291', '4', '490', '897', '434', '614', '773', '428', '650', '239', '26', '476', '709', '370', '96', '498', '584', '449', '242', '901', '389', '406', '842']
['866', '817', '601', '719', '213', '29', '8', '292', '688', '782', '73', '171', '450', '945', '988', '412', '666', '880', '190', '683', '425', '158', '900', '602', '170', '216', '930', '506', '154', '86', '767', '942']
['378', '951', '28', '963', '739', '937', '192', '119', '341', '627', '643', '451', '922', '179', '279', '541', '811', '356', '840', '787', '736', '113', '856', '707', '126', '391', '515', '204', '887', '582', '575', '210']
['992', '896', '309', '230', '559', '353', '151', '872', '470', '802', '60', '606', '457', '527', '167', '207', '620', '944', '142', '355', '379', '889', '144', '410', '115', '990', '583', '810', '970', '259', '387', '444']
['486', '932', '112', '671', '114', '162', '27', '396', '206', '219', '874', '903', '268', '489', '580', '931', '176', '809', '285', '149', '553', '589', '3', '752', '318', '772', '208', '804', '636', '913', '834', '596']
['899', '54', '941', '912', '526', '599', '976', '455', '397', '146', '971', '55', '297', '421', '523', '108', '322', '137', '63', '440', '668', '472', '10', '18', '524', '783', '68', '45', '368', '227', '482', '99']
['861', '381', '516', '694', '883', '462', '968', '299', '695', '820', '652', '156', '166', '422', '925', '402', '537', '831', '431', '699', '793', '5', '949', '557', '188', '962', '159', '647', '437', '426', '78', '467']
['706', '613', '51', '484', '730', '923', '300', '62', '508', '237', '308', '321', '785', '2', '577', '996', '948', '890', '235', '618', '509', '148', '0', '448', '638', '649', '667', '69', '351', '477', '427', '957']
['181', '290', '563', '481', '778', '193', '217', '67', '848', '286', '637', '249', '255', '499', '936', '997', '973', '741', '854', '433', '374', '784', '168', '400', '173', '737', '72', '17', '48', '202', '334', '525']
['808', '609', '859', '830', '543', '754', '359', '770', '632', '763', '358', '175', '438', '172', '116', '401', '367', '622', '617', '294', '950', '295', '569', '655', '71', '533', '729', '443', '675', '733', '323', '742']
