['456', '418', '102', '124', '954', '821', '10', '928', '514', '640', '174', '439', '898', '582', '547', '858', '663', '900', '854', '97', '923', '939', '713', '701', '94', '488', '626', '591', '296', '362']
['375', '404', '133', '44', '802', '574', '527', '571', '348', '958', '678', '23', '152', '222', '980', '922', '279', '30', '887', '270', '575', '425', '982', '771', '943', '245', '628', '503', '336', '330']
['953', '260', '355', '8', '482', '100', '835', '870', '392', '743', '921', '112', '840', '647', '437', '219', '830', '770', '809', '741', '531', '89', '82', '215', '288', '974', '262', '173', '19', '914']
['600', '473', '429', '319', '77', '642', '353', '668', '545', '118', '597', '635', '402', '859', '551', '697', '639', '337', '767', '177', '466', '308', '570', '735', '195', '720', '153', '800', '48', '669']
['661', '562', '956', '559', '88', '722', '457', '220', '167', '620', '259', '513', '590', '895', '496', '812', '359', '75', '249', '320', '493', '893', '22', '277', '926', '373', '415', '345', '867', '681']
['929', '686', '869', '322', '207', '612', '916', '45', '979', '780', '387', '383', '714', '356', '458', '391', '212', '588', '752', '86', '533', '339', '199', '616', '70', '649', '478', '371', '501', '964']
['4', '297', '416', '472', '889', '990', '363', '422', '750', '787', '985', '396', '863', '475', '553', '721', '973', '377', '655', '629', '407', '302', '742', '460', '948', '91', '325', '709', '816', '498']
['587', '976', '500', '608', '272', '196', '92', '381', '278', '9', '662', '47', '114', '301', '684', '290', '67', '776', '972', '367', '558', '506', '716', '315', '853', '955', '550', '483', '90', '641']
['774', '941', '619', '862', '832', '464', '147', '601', '350', '578', '762', '225', '143', '846', '452', '632', '530', '763', '175', '700', '145', '366', '16', '56', '904', '243', '579', '648', '631', '41']
['806', '230', '49', '897', '725', '18', '719', '751', '803', '142', '205', '385', '694', '823', '695', '927', '546', '159', '497', '825', '268', '903', '680', '318', '154', '51', '15', '328', '96', '717']
['747', '687', '565', '971', '108', '440', '40', '333', '738', '200', '144', '293', '753', '885', '136', '444', '28', '977', '880', '61', '38', '234', '607', '645', '340', '502', '535', '623', '584', '242', '389']
['554', '542', '197', '470', '480', '852', '410', '171', '342', '192', '343', '811', '178', '522', '848', '247', '637', '138', '772', '552', '636', '236', '918', '731', '564', '0', '287', '603', '705', '957', '986']
['610', '347', '253', '432', '805', '798', '104', '191', '940', '734', '933', '103', '341', '79', '699', '384', '306', '510', '589', '1', '64', '983', '300', '388', '7', '400', '667', '69', '494', '180', '819']
['53', '981', '291', '664', '68', '891', '988', '630', '179', '813', '188', '27', '206', '757', '181', '670', '78', '711', '966', '538', '801', '539', '624', '727', '726', '876', '592', '873', '427', '12', '463']
['665', '354', '520', '679', '372', '837', '866', '634', '36', '944', '934', '6', '468', '390', '831', '486', '658', '5', '110', '442', '779', '838', '683', '419', '125', '654', '211', '321', '879', '487', '644', '406']
['894', '140', '310', '39', '703', '781', '905', '20', '265', '398', '967', '495', '81', '430', '515', '176', '834', '134', '283', '453', '256', '161', '865', '505', '198', '737', '818', '560', '685', '469', '334', '492']
['55', '946', '860', '423', '984', '682', '810', '970', '378', '435', '611', '304', '715', '240', '790', '778', '313', '3', '420', '784', '443', '312', '508', '868', '231', '13', '618', '266', '573', '99', '919', '768']
['585', '992', '346', '896', '397', '511', '14', '975', '155', '201', '368', '73', '586', '258', '937', '627', '707', '794', '674', '960', '978', '95', '499', '280', '920', '998', '907', '11', '698', '209', '98', '871']
['135', '335', '844', '257', '938', '352', '412', '829', '693', '541', '556', '479', '409', '692', '269', '646', '204', '193', '543', '924', '170', '540', '942', '807', '766', '913', '80', '403', '364', '107', '122', '947']
['238', '599', '850', '817', '52', '791', '536', '462', '184', '127', '653', '132', '609', '87', '286', '149', '438', '401', '935', '622', '706', '71', '417', '168', '824', '577', '518', '509', '405', '882', '621', '109']
['490', '361', '332', '606', '755', '783', '833', '883', '338', '952', '963', '156', '925', '932', '214', '271', '113', '459', '856', '761', '995', '331', '769', '116', '386', '657', '237', '130', '254', '996', '512', '795']
['899', '31', '349', '111', '21', '677', '773', '395', '969', '583', '549', '276', '605', '250', '162', '786', '874', '845', '728', '294', '999', '284', '62', '369', '323', '74', '485', '878', '25', '329', '326', '842']
['226', '263', '993', '447', '151', '872', '60', '828', '26', '476', '991', '712', '244', '76', '157', '59', '875', '424', '673', '344', '489', '580', '732', '172', '602', '216', '433', '675', '815', '267', '449', '901']
['886', '614', '524', '376', '633', '450', '274', '917', '129', '788', '877', '555', '50', '446', '827', '691', '613', '702', '690', '46', '187', '261', '748', '169', '461', '902', '745', '775', '93', '305', '251', '525']
['54', '526', '139', '910', '434', '213', '758', '576', '519', '35', '150', '843', '710', '380', '908', '303', '24', '671', '708', '808', '517', '718', '847', '295', '989', '777', '566', '961', '441', '436', '273', '17']
['105', '66', '572', '534', '239', '117', '651', '101', '789', '299', '311', '537', '507', '224', '252', '561', '223', '289', '282', '736', '164', '126', '208', '374', '797', '317', '744', '2', '241', '264', '370', '72']
['455', '146', '656', '428', '137', '765', '604', '861', '221', '851', '820', '643', '557', '248', '659', '965', '481', '365', '307', '826', '471', '796', '733', '394', '84', '58', '568', '465', '43', '445', '128', '581']
['760', '85', '959', '841', '529', '292', '839', '782', '227', '945', '666', '119', '793', '749', '563', '504', '217', '857', '285', '158', '32', '930', '595', '548', '232', '723', '746', '314', '351', '477', '911', '202']
['912', '182', '413', '229', '523', '650', '29', '115', '516', '951', '652', '521', '799', '431', '491', '451', '357', '615', '210', '358', '255', '915', '596', '360', '730', '185', '281', '474', '814', '890', '194', '414']
['165', '454', '849', '131', '689', '83', '792', '544', '42', '906', '379', '764', '233', '528', '739', '37', '166', '949', '836', '822', '408', '997', '218', '617', '484', '399', '34', '327', '660', '393', '120', '532']
['994', '203', '309', '421', '63', '594', '567', '909', '121', '968', '593', '65', '183', '598', '426', '881', '888', '931', '33', '569', '756', '729', '892', '228', '123', '235', '148', '448', '411', '638', '160', '704']
['382', '987', '57', '855', '688', '676', '864', '324', '962', '740', '759', '672', '467', '884', '754', '190', '936', '298', '804', '625', '950', '316', '275', '163', '696', '785', '246', '186', '724', '106', '141', '189']
