['639', '440', '91', '471', '565', '310', '507', '770', '829', '510', '335', '939', '219', '73', '229', '303', '758', '136', '635', '154', '548', '460', '403', '831', '341', '130', '540', '178', '196', '246', '596', '820']
['469', '394', '741', '418', '2', '71', '198', '128', '86', '184', '436', '106', '707', '452', '27', '854', '539', '860', '624', '421', '455', '899', '895', '332', '146', '645', '827', '59', '856', '863', '592', '714']
['872', '120', '340', '882', '78', '21', '381', '627', '754', '694', '817', '423', '122', '722', '94', '6', '410', '915', '263', '422', '388', '563', '364', '62', '321', '402', '979', '989', '966', '968', '889', '215']
['83', '601', '181', '681', '559', '845', '783', '139', '987', '50', '162', '925', '992', '427', '194', '180', '940', '853', '476', '472', '453', '699', '1', '582', '304', '333', '393', '264', '794', '784', '521', '974']
['47', '561', '727', '186', '723', '841', '736', '607', '232', '477', '190', '273', '919', '944', '571', '638', '602', '387', '347', '519', '35', '171', '327', '496', '809', '807', '523', '297', '144', '766', '380', '149']
['963', '773', '374', '69', '39', '72', '298', '216', '633', '589', '346', '550', '623', '368', '936', '533', '170', '520', '843', '893', '546', '970', '105', '221', '478', '757', '948', '938', '782', '819', '931', '432']
['709', '319', '658', '568', '173', '790', '668', '785', '688', '442', '671', '362', '25', '268', '417', '497', '325', '914', '363', '973', '713', '780', '207', '981', '894', '711', '189', '874', '549', '13', '555', '141']
['608', '585', '859', '616', '822', '517', '779', '826', '169', '626', '862', '396', '665', '479', '330', '927', '781', '46', '660', '65', '604', '411', '138', '328', '373', '167', '150', '767', '116', '957', '41', '946']
['228', '463', '813', '646', '964', '485', '689', '823', '201', '96', '235', '375', '157', '737', '918', '750', '386', '351', '692', '486', '625', '663', '560', '224', '975', '193', '597', '838', '133', '849', '489', '256']
['777', '108', '434', '763', '24', '337', '796', '95', '792', '652', '801', '213', '509', '197', '836', '776', '352', '949', '876', '512', '38', '210', '252', '443', '64', '259', '482', '404', '379', '535', '812', '329']
['114', '898', '861', '712', '227', '935', '81', '60', '693', '29', '962', '965', '58', '881', '846', '288', '574', '683', '906', '481', '971', '18', '191', '366', '778', '294', '570', '3', '640', '371', '61', '261', '942']
['958', '606', '748', '734', '824', '350', '769', '0', '399', '536', '250', '102', '993', '384', '446', '655', '551', '271', '160', '361', '270', '174', '88', '634', '447', '358', '244', '285', '805', '309', '961', '564', '664']
['657', '237', '960', '631', '544', '356', '959', '372', '504', '651', '501', '151', '867', '865', '101', '262', '985', '701', '753', '884', '950', '928', '383', '242', '254', '14', '188', '667', '947', '988', '159', '435', '354']
['912', '111', '808', '994', '745', '208', '515', '323', '673', '209', '444', '873', '934', '203', '670', '148', '498', '621', '16', '806', '19', '34', '343', '885', '342', '691', '315', '466', '499', '901', '518', '525', '580']
['37', '786', '908', '887', '280', '54', '603', '449', '752', '617', '857', '284', '283', '647', '318', '377', '378', '904', '556', '456', '85', '426', '118', '172', '716', '451', '448', '290', '566', '629', '547', '614', '685', '834']
['907', '336', '305', '22', '678', '583', '605', '772', '983', '609', '832', '666', '33', '113', '127', '134', '511', '591', '164', '165', '115', '917', '161', '76', '622', '905', '628', '385', '493', '710', '345', '978', '424', '883']
['735', '240', '465', '951', '51', '815', '79', '969', '637', '67', '155', '218', '695', '45', '789', '730', '590', '576', '429', '17', '12', '200', '976', '461', '129', '494', '828', '459', '234', '457', '276', '308', '598', '682']
['924', '930', '732', '291', '835', '620', '503', '717', '506', '163', '177', '260', '206', '90', '397', '292', '277', '295', '953', '810', '359', '654', '382', '910', '572', '44', '4', '395', '991', '483', '756', '312', '433', '656']
['355', '799', '562', '142', '842', '30', '679', '729', '401', '839', '238', '742', '348', '764', '892', '36', '610', '392', '751', '718', '28', '649', '301', '87', '530', '697', '55', '980', '245', '225', '896', '851', '528', '522']
['500', '516', '705', '595', '97', '830', '921', '257', '360', '955', '746', '56', '66', '26', '821', '185', '233', '747', '725', '755', '890', '909', '721', '967', '941', '708', '353', '156', '526', '594', '311', '222', '943', '875']
['929', '554', '787', '168', '932', '320', '534', '454', '669', '686', '933', '31', '287', '390', '761', '158', '183', '220', '413', '524', '211', '491', '302', '53', '367', '760', '825', '880', '132', '420', '600', '306', '247', '611']
['299', '326', '369', '241', '109', '265', '296', '202', '986', '322', '20', '80', '412', '121', '922', '400', '52', '415', '437', '888', '331', '840', '864', '187', '464', '956', '338', '869', '690', '557', '467', '653', '84', '982']
['462', '891', '204', '70', '804', '762', '644', '643', '391', '68', '775', '100', '995', '249', '698', '538', '431', '588', '89', '286', '587', '107', '398', '532', '143', '92', '878', '811', '529', '632', '430', '289', '771', '470']
['937', '543', '650', '147', '480', '687', '274', '8', '802', '731', '702', '125', '615', '913', '866', '199', '212', '82', '473', '593', '492', '103', '376', '214', '104', '74', '612', '370', '5', '954', '567', '508', '703', '720']
['505', '11', '438', '231', '870', '176', '553', '684', '661', '768', '293', '662', '513', '868', '123', '42', '77', '619', '445', '409', '728', '984', '972', '897', '112', '674', '282', '98', '182', '166', '743', '48', '124', '923']
['586', '99', '871', '715', '251', '313', '407', '269', '833', '416', '243', '474', '527', '704', '43', '110', '672', '902', '696', '248', '744', '659', '278', '575', '537', '733', '798', '93', '569', '450', '117', '990', '126', '230']
['484', '205', '255', '487', '15', '9', '573', '630', '439', '558', '584', '765', '137', '406', '490', '57', '488', '814', '816', '740', '419', '680', '475', '945', '389', '414', '425', '140', '135', '300', '10', '32', '818', '837']
['795', '952', '738', '405', '739', '514', '49', '408', '900', '119', '226', '153', '850', '145', '217', '858', '903', '307', '844', '847', '797', '23', '676', '552', '253', '581', '579', '258', '618', '911', '749', '272', '179', '339']
['236', '458', '63', '152', '855', '223', '774', '468', '848', '349', '531', '879', '916', '40', '700', '545', '267', '920', '502', '314', '324', '279', '852', '175', '675', '800', '441', '7', '75', '542', '759', '877', '495', '192']
['642', '344', '541', '706', '677', '926', '977', '428', '793', '788', '578', '357', '886', '195', '641', '365', '726', '724', '613', '317', '266', '275', '648', '719', '239', '599', '636', '131', '316', '334', '281', '791', '803', '577']
