['369', '616', '870', '826', '630', '641', '613', '852', '599', '901', '131', '316', '7', '280', '54', '839', '789', '900', '217', '454', '586', '391', '68', '775', '570', '3', '640', '371', '696', '811', '224', '597']
['241', '109', '111', '63', '745', '848', '40', '436', '281', '791', '803', '606', '748', '759', '842', '941', '635', '697', '896', '341', '6', '158', '364', '62', '598', '989', '619', '385', '486', '625', '947', '354']
['487', '822', '781', '868', '531', '148', '216', '343', '266', '589', '267', '314', '518', '843', '546', '190', '478', '752', '512', '212', '29', '260', '90', '508', '99', '388', '382', '18', '984', '733', '112', '117']
['813', '485', '823', '662', '765', '773', '550', '300', '477', '786', '221', '887', '273', '590', '17', '290', '547', '831', '74', '206', '915', '574', '871', '481', '778', '416', '756', '704', '96', '798', '182', '256']
['777', '108', '434', '642', '763', '344', '873', '879', '365', '726', '724', '317', '691', '719', '239', '577', '495', '536', '729', '939', '650', '856', '615', '797', '358', '308', '712', '954', '968', '611', '126', '32']
['584', '814', '444', '680', '275', '194', '507', '952', '904', '199', '172', '447', '919', '376', '81', '962', '122', '678', '583', '288', '422', '321', '33', '979', '628', '345', '975', '889', '215', '690', '557', '230']
['585', '322', '20', '80', '121', '501', '400', '498', '170', '542', '645', '393', '794', '687', '909', '721', '492', '714', '834', '370', '832', '666', '191', '113', '127', '432', '470', '65', '663', '98', '166', '837']
['9', '337', '330', '323', '203', '469', '181', '681', '279', '987', '955', '770', '1', '582', '446', '521', '892', '36', '610', '974', '28', '87', '38', '134', '53', '164', '398', '161', '671', '493', '710', '41']
['265', '202', '986', '626', '372', '396', '186', '923', '123', '936', '539', '335', '147', '480', '229', '551', '213', '361', '776', '944', '571', '130', '524', '302', '367', '875', '825', '532', '529', '13', '489', '982']
['544', '236', '504', '922', '934', '437', '841', '840', '956', '882', '800', '603', '494', '272', '204', '804', '983', '183', '609', '511', '591', '668', '165', '917', '76', '622', '261', '306', '750', '188', '549', '653']
['463', '806', '140', '869', '639', '440', '135', '958', '705', '350', '310', '908', '332', '250', '449', '993', '284', '197', '461', '716', '535', '506', '694', '305', '292', '94', '722', '772', '688', '600', '737', '435']
['228', '960', '723', '816', '916', '700', '86', '860', '624', '79', '405', '739', '49', '755', '145', '676', '482', '851', '528', '522', '534', '790', '179', '686', '935', '35', '171', '995', '297', '766', '268', '659']
['657', '541', '706', '677', '926', '977', '428', '793', '796', '788', '578', '357', '95', '195', '753', '617', '702', '863', '307', '129', '847', '669', '762', '263', '178', '407', '431', '833', '243', '286', '110', '430', '771', '569']
['231', '646', '479', '927', '349', '545', '633', '346', '500', '240', '595', '51', '699', '218', '695', '937', '747', '274', '8', '805', '930', '732', '835', '103', '214', '961', '965', '720', '313', '201', '375', '931', '157', '560']
['438', '15', '985', '19', '394', '2', '71', '648', '128', '623', '355', '799', '637', '455', '142', '155', '30', '679', '238', '742', '827', '59', '348', '764', '850', '576', '200', '392', '751', '530', '460', '311', '474', '61']
['553', '573', '661', '208', '872', '101', '39', '601', '50', '162', '925', '520', '815', '21', '829', '333', '264', '459', '210', '252', '276', '526', '929', '258', '227', '932', '817', '933', '31', '287', '143', '409', '728', '159']
['709', '319', '237', '205', '173', '296', '727', '779', '963', '515', '490', '792', '262', '525', '783', '232', '948', '938', '858', '949', '448', '566', '629', '220', '246', '44', '107', '42', '819', '77', '918', '289', '167', '150']
['299', '326', '484', '439', '412', '151', '419', '864', '91', '769', '0', '399', '102', '655', '647', '429', '271', '903', '88', '758', '82', '473', '168', '594', '567', '564', '420', '380', '928', '978', '942', '424', '883', '254']
['561', '223', '468', '701', '389', '340', '425', '471', '441', '893', '105', '757', '821', '857', '12', '866', '828', '104', '638', '602', '387', '347', '58', '643', '881', '683', '14', '971', '4', '115', '664', '328', '282', '124']
['608', '658', '665', '152', '34', '920', '464', '418', '27', '854', '795', '304', '408', '226', '153', '967', '509', '802', '125', '844', '913', '876', '23', '253', '581', '579', '593', '807', '820', '144', '587', '92', '497', '373']
['689', '684', '862', '768', '670', '502', '845', '334', '992', '180', '853', '257', '472', '970', '453', '381', '782', '318', '285', '245', '309', '620', '177', '715', '496', '596', '366', '395', '527', '656', '325', '897', '116', '141']
['374', '865', '801', '607', '741', '414', '499', '175', '106', '476', '401', '514', '73', '456', '85', '426', '136', '301', '634', '55', '554', '861', '614', '703', '413', '211', '491', '943', '760', '880', '132', '93', '990', '149']
['631', '356', '293', '513', '209', '406', '867', '774', '652', '740', '736', '198', '636', '735', '746', '56', '283', '119', '556', '708', '718', '352', '649', '118', '457', '291', '397', '359', '251', '538', '43', '682', '667', '946']
['957', '568', '964', '169', '959', '52', '673', '888', '331', '69', '72', '368', '565', '562', '543', '378', '731', '898', '154', '234', '451', '787', '627', '519', '846', '906', '540', '294', '247', '383', '450', '767', '48', '84']
['855', '57', '415', '621', '885', '342', '324', '675', '465', '734', '830', '951', '510', '270', '174', '244', '64', '225', '685', '320', '612', '660', '572', '991', '966', '235', '248', '744', '445', '386', '604', '207', '138', '838']
['11', '859', '24', '458', '994', '298', '139', '940', '37', '895', '738', '66', '45', '185', '725', '784', '552', '980', '404', '379', '812', '5', '644', '810', '910', '483', '785', '672', '362', '632', '575', '711', '189', '555']
['176', '912', '886', '16', '46', '315', '466', '338', '184', '533', '75', '877', '421', '899', '503', '749', '717', '70', '423', '698', '402', '312', '878', '884', '950', '537', '351', '972', '242', '411', '193', '874', '10', '818']
['47', '133', '120', '187', '475', '559', '427', '824', '67', '730', '384', '377', '303', '160', '548', '911', '339', '60', '693', '907', '22', '222', '390', '605', '761', '563', '674', '25', '905', '467', '713', '981', '988', '849']
['255', '517', '808', '651', '137', '488', '83', '945', '707', '452', '192', '969', '219', '976', '156', '443', '618', '403', '163', '462', '891', '336', '277', '295', '953', '654', '249', '269', '588', '89', '433', '278', '780', '743']
['505', '558', '580', '516', '97', '921', '146', '360', '78', '26', '233', '890', '114', '836', '592', '353', '924', '259', '754', '410', '327', '100', '196', '809', '523', '329', '442', '902', '417', '914', '363', '973', '692', '894']
