['482', '11', '128', '649', '266', '161', '483', '41', '607', '350', '415', '37', '395', '634', '80', '662', '336', '405', '428', '10', '126', '680']
['639', '619', '643', '346', '671', '629', '451', '471', '44', '218', '494', '276', '110', '661', '470', '194', '250', '698', '549', '652', '86', '373']
['55', '225', '646', '302', '493', '635', '678', '660', '246', '371', '245', '227', '534', '306', '485', '181', '442', '404', '453', '235', '188', '36']
['537', '448', '35', '651', '309', '317', '432', '397', '401', '189', '464', '174', '511', '116', '294', '146', '27', '25', '212', '581', '329', '556']
['296', '94', '481', '20', '538', '299', '425', '151', '195', '600', '427', '220', '258', '446', '503', '513', '633', '378', '676', '253', '548', '539', '529']
['314', '183', '370', '396', '553', '654', '368', '170', '611', '256', '9', '443', '354', '514', '216', '699', '172', '569', '675', '518', '105', '567', '322']
['45', '510', '83', '113', '497', '609', '360', '211', '284', '603', '345', '282', '673', '402', '144', '197', '598', '669', '280', '406', '254', '444', '636']
['275', '563', '551', '690', '686', '76', '352', '408', '99', '270', '472', '628', '46', '118', '81', '318', '193', '664', '255', '65', '69', '16', '251']
['8', '509', '570', '68', '303', '694', '200', '385', '381', '447', '247', '560', '424', '191', '616', '311', '532', '58', '224', '589', '638', '351', '593']
['579', '450', '374', '283', '583', '140', '356', '525', '445', '158', '584', '70', '369', '552', '87', '120', '417', '214', '650', '575', '582', '222', '51']
['199', '469', '435', '313', '681', '505', '361', '205', '520', '148', '530', '463', '75', '38', '277', '291', '543', '507', '380', '622', '42', '506', '295']
['491', '576', '337', '358', '558', '492', '615', '522', '272', '682', '573', '393', '555', '127', '231', '286', '594', '177', '580', '310', '242', '12', '263']
['180', '431', '390', '495', '452', '66', '167', '142', '131', '328', '249', '501', '434', '61', '382', '166', '74', '244', '0', '4', '13', '375', '467']
['281', '488', '588', '196', '335', '403', '301', '229', '486', '233', '319', '366', '78', '123', '53', '620', '43', '208', '372', '95', '186', '364', '479']
['512', '526', '330', '438', '102', '63', '536', '130', '333', '540', '696', '632', '50', '559', '150', '541', '624', '587', '115', '455', '528', '547', '688']
['133', '279', '93', '223', '411', '612', '516', '517', '419', '362', '230', '421', '238', '565', '363', '21', '478', '355', '344', '154', '657', '608', '656']
['54', '465', '152', '637', '106', '315', '697', '252', '321', '521', '259', '595', '64', '157', '179', '334', '341', '141', '176', '389', '668', '7', '617', '590']
['515', '32', '349', '145', '300', '15', '137', '399', '107', '257', '533', '641', '6', '267', '386', '566', '153', '586', '677', '135', '692', '262', '456', '207']
['523', '139', '542', '19', '531', '77', '647', '17', '409', '614', '610', '92', '599', '72', '691', '234', '684', '67', '578', '73', '84', '685', '577', '100']
['320', '48', '89', '285', '550', '122', '155', '436', '39', '111', '209', '49', '160', '96', '23', '206', '430', '410', '480', '26', '79', '655', '327', '618']
['564', '274', '228', '667', '524', '416', '535', '307', '477', '297', '298', '592', '331', '132', '695', '338', '674', '57', '458', '359', '40', '134', '391', '104']
['261', '642', '572', '323', '357', '187', '5', '103', '585', '124', '484', '22', '260', '627', '164', '169', '171', '31', '504', '243', '439', '312', '398', '264']
['59', '14', '499', '348', '143', '601', '288', '271', '687', '129', '182', '475', '119', '108', '236', '332', '269', '460', '215', '121', '203', '114', '476', '544']
['265', '198', '400', '502', '672', '426', '239', '462', '640', '117', '178', '527', '240', '226', '490', '392', '604', '597', '689', '185', '666', '47', '241', '571']
['138', '97', '377', '631', '343', '1', '441', '287', '28', '384', '388', '644', '308', '159', '33', '71', '125', '407', '468', '591', '562', '412', '248', '213']
['326', '273', '561', '353', '24', '339', '500', '316', '496', '473', '292', '112', '268', '645', '175', '168', '474', '394', '519', '342', '433', '278', '85', '414']
['626', '449', '596', '379', '602', '429', '376', '149', '184', '62', '30', '217', '418', '163', '34', '487', '679', '162', '454', '52', '88', '90', '383', '324']
['545', '56', '437', '290', '221', '60', '653', '98', '18', '232', '204', '237', '325', '147', '605', '82', '683', '422', '420', '192', '202', '457', '621', '508']
['568', '574', '387', '423', '459', '91', '466', '367', '630', '365', '2', '210', '190', '498', '461', '625', '293', '440', '557', '554', '623', '156', '305', '289']
['109', '173', '658', '340', '693', '136', '613', '201', '665', '219', '546', '413', '101', '606', '165', '659', '648', '304', '489', '670', '3', '29', '663', '347']
