['147', '151', '152', '157', '158', '162', '150', '116', '103', '109', '99']
['229', '240', '243', '245', '246', '248', '108', '95', '107', '105', '104']
['231', '233', '234', '236', '238', '239', '126', '124', '102', '97', '106']
['242', '244', '247', '249', '250', '252', '153', '148', '145', '143', '122']
['251', '262', '254', '259', '256', '257', '149', '133', '128', '125', '121']
['213', '215', '217', '232', '235', '237', '241', '136', '130', '123', '114']
['253', '255', '258', '260', '263', '220', '225', '227', '228', '230', '131']
['55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65']
['33', '34', '35', '36', '37', '38', '39', '40', '41', '42', '43']
['44', '45', '46', '47', '48', '49', '50', '51', '52', '53', '54']
['0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10']
['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']
['11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21']
['110', '111', '112', '113', '115', '117', '118', '119', '120', '127', '129']
['66', '67', '68', '69', '70', '71', '72', '73', '74', '75', '76']
['88', '89', '90', '91', '92', '93', '94', '96', '98', '100', '101']
['77', '78', '79', '80', '81', '82', '83', '84', '85', '86', '87']
['132', '134', '135', '137', '138', '139', '140', '141', '142', '144', '146']
['154', '155', '156', '159', '160', '161', '163', '164', '165', '166', '175']
['167', '168', '169', '170', '171', '172', '173', '174', '192', '195', '197']
['185', '187', '188', '189', '191', '193', '194', '196', '201', '202', '204']
['176', '177', '178', '179', '180', '181', '182', '183', '184', '186', '190']
['198', '199', '200', '203', '205', '206', '207', '208', '210', '212', '218']
['209', '211', '214', '216', '219', '221', '222', '223', '224', '226', '261']
