['4', '267', '12', '398', '18', '147', '20', '285', '413', '290', '40', '304', '306', '180', '314', '444', '63', '64', '456', '333', '207', '335', '81', '84', '213', '349', '222', '107', '251', '382', '127']
['129', '258', '266', '395', '15', '144', '271', '277', '279', '407', '412', '29', '33', '47', '436', '182', '189', '199', '327', '201', '89', '346', '478', '98', '230', '103', '360', '361', '235', '239', '121', '125']
['130', '137', '139', '270', '16', '276', '404', '28', '157', '294', '422', '426', '300', '302', '431', '194', '323', '196', '461', '79', '475', '223', '479', '226', '483', '241', '114', '372', '247', '379', '124', '383']
['131', '6', '13', '146', '21', '408', '287', '159', '423', '297', '173', '430', '303', '51', '435', '311', '193', '195', '451', '454', '332', '466', '211', '214', '227', '355', '358', '111', '245', '373', '248', '249']
['388', '389', '396', '397', '273', '274', '19', '401', '409', '155', '30', '169', '43', '305', '52', '59', '198', '76', '78', '336', '345', '474', '356', '101', '359', '362', '363', '108', '113', '370', '378', '252', '381']
['256', '263', '269', '148', '414', '418', '35', '163', '293', '421', '39', '41', '42', '171', '191', '320', '65', '452', '197', '329', '458', '331', '460', '334', '464', '220', '482', '484', '487', '104', '237', '242', '115']
['386', '387', '133', '391', '23', '156', '158', '288', '416', '36', '292', '172', '175', '432', '178', '183', '313', '188', '445', '190', '62', '321', '322', '457', '330', '459', '341', '470', '91', '221', '94', '351', '376']
['259', '134', '140', '150', '151', '280', '24', '282', '27', '406', '31', '291', '419', '167', '295', '424', '170', '174', '177', '433', '67', '74', '77', '210', '468', '218', '480', '353', '228', '357', '366', '369', '117']
['262', '11', '275', '403', '149', '26', '283', '32', '298', '176', '53', '309', '437', '440', '58', '447', '69', '70', '326', '463', '80', '93', '350', '95', '352', '100', '105', '234', '236', '368', '118', '377', '380']
['257', '10', '141', '400', '411', '284', '286', '289', '165', '166', '48', '434', '308', '56', '312', '317', '446', '448', '324', '325', '209', '82', '83', '212', '471', '217', '90', '476', '488', '233', '250', '254', '255']
['0', '385', '7', '392', '265', '393', '143', '145', '402', '34', '38', '429', '184', '187', '316', '443', '319', '71', '206', '462', '342', '215', '88', '344', '473', '348', '96', '481', '102', '231', '106', '243', '244']
['384', '1', '138', '394', '22', '161', '37', '168', '428', '181', '310', '438', '57', '441', '315', '60', '192', '453', '328', '203', '204', '339', '467', '87', '343', '477', '375', '97', '229', '489', '109', '365', '119']
['261', '268', '399', '272', '278', '281', '410', '162', '45', '55', '439', '185', '186', '61', '449', '450', '68', '72', '75', '338', '340', '85', '472', '225', '485', '238', '367', '240', '371', '246', '122', '123', '126']
['128', '3', '132', '5', '260', '390', '8', '9', '17', '405', '25', '154', '415', '420', '299', '49', '50', '179', '54', '318', '200', '73', '202', '208', '337', '219', '92', '347', '486', '364', '112', '120', '253']
['2', '135', '136', '264', '14', '142', '152', '153', '160', '417', '164', '296', '425', '427', '44', '301', '46', '307', '442', '66', '455', '205', '465', '469', '86', '216', '224', '354', '99', '232', '110', '116', '374']
