['77', '90', '117', '130', '133', '188', '202', '224', '234', '237', '245', '291', '302', '311', '343', '378', '382', '389', '392', '403', '409', '433', '446', '485']
['3', '34', '42', '43', '75', '82', '91', '108', '113', '120', '198', '207', '212', '218', '253', '280', '284', '325', '327', '338', '349', '414', '424', '486', '497']
['2', '12', '14', '21', '29', '94', '118', '151', '153', '172', '184', '192', '201', '219', '271', '277', '347', '354', '365', '388', '401', '412', '481', '492', '495']
['10', '37', '60', '70', '79', '138', '140', '167', '170', '180', '203', '221', '236', '239', '242', '257', '259', '264', '265', '297', '373', '436', '461', '484', '491']
['16', '33', '36', '38', '45', '50', '102', '127', '136', '152', '181', '211', '216', '227', '230', '248', '262', '275', '298', '306', '346', '361', '452', '468', '482']
['28', '110', '122', '131', '149', '160', '163', '276', '278', '295', '313', '336', '344', '359', '375', '394', '410', '413', '426', '434', '437', '438', '471', '472', '494']
['17', '22', '68', '72', '88', '99', '134', '162', '174', '187', '190', '194', '229', '249', '250', '251', '255', '281', '320', '330', '380', '384', '404', '435', '489']
['4', '63', '66', '76', '93', '128', '135', '142', '183', '204', '209', '231', '232', '269', '282', '287', '296', '315', '331', '341', '379', '395', '399', '415', '467']
['0', '6', '46', '48', '55', '103', '143', '156', '196', '210', '238', '272', '279', '289', '318', '353', '368', '374', '376', '397', '430', '440', '443', '457', '465']
['23', '39', '44', '59', '67', '83', '95', '96', '158', '191', '222', '228', '235', '260', '270', '286', '303', '317', '329', '339', '357', '370', '419', '451', '479']
['52', '54', '56', '62', '69', '119', '126', '147', '148', '157', '173', '179', '294', '304', '307', '323', '369', '386', '402', '405', '416', '423', '439', '469', '480']
['31', '40', '57', '65', '85', '86', '104', '115', '123', '200', '205', '206', '225', '233', '240', '293', '300', '358', '377', '391', '428', '458', '462', '475', '476']
['5', '20', '27', '35', '105', '109', '129', '132', '137', '155', '195', '213', '215', '217', '223', '321', '333', '352', '366', '381', '390', '418', '422', '429', '450']
['53', '71', '78', '161', '176', '182', '185', '226', '243', '261', '263', '266', '268', '322', '332', '335', '363', '372', '385', '417', '448', '456', '460', '474', '488']
['8', '13', '32', '41', '47', '61', '73', '98', '168', '171', '193', '199', '273', '290', '316', '340', '356', '371', '393', '407', '427', '442', '445', '483', '496']
['1', '9', '24', '81', '89', '121', '139', '145', '146', '159', '164', '175', '186', '214', '246', '247', '252', '258', '310', '351', '360', '364', '459', '463', '473']
['15', '64', '74', '80', '84', '92', '106', '114', '116', '292', '301', '305', '308', '312', '328', '342', '348', '367', '387', '420', '425', '431', '432', '447', '493']
['7', '19', '49', '58', '101', '112', '150', '154', '208', '220', '241', '244', '285', '299', '309', '337', '355', '406', '408', '411', '421', '441', '444', '455', '466']
['11', '25', '26', '30', '87', '100', '111', '124', '141', '166', '178', '254', '274', '283', '319', '326', '345', '383', '398', '400', '449', '464', '478', '487', '490']
['18', '51', '97', '107', '125', '144', '165', '169', '177', '189', '197', '256', '267', '288', '314', '324', '334', '350', '362', '396', '453', '454', '470', '477', '498']
